metric,value
zones_total,35
zones_triggered,19
zones_reached,3
hit_rate_among_triggered,0.15789473684210525
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10991
suppressions_active_open,7726
suppressions_active_triggered,3235
suppressions_cooldown,30
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,3
unique_reached_moves,1
duplicate_move_credits,2
raw_triggered_hit_rate,0.15789473684210525
unique_move_adjusted_hit_rate,0.05263157894736842
status_RESOLVED_REACHED,3
direction_SHORT,20
status_INVALIDATED,12
direction_LONG,15
status_RESOLVED_FAILED,16
status_NO_TRIGGER,4
