symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-SHORT-1774224201000-1,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-03-23T00:03:21.000Z,2026-03-23T00:14:57.000Z,2026-03-23T00:36:11.000Z,2026-03-24T00:36:11.000Z,67738.25,68085.95,67676.35,66322.823,0.8123,1.0000,0.4010,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.383,6.059,,,,,,candidate@2026-03-23T00:03:21.000Z|confirmed@2026-03-23T00:14:57.000Z|trigger@2026-03-23T00:36:11.000Z|expire@2026-03-24T00:36:11.000Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-SHORT-1774224316000-2,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-03-23T00:05:16.000Z,2026-03-23T00:14:57.000Z,2026-03-23T00:36:11.000Z,2026-03-24T00:36:11.000Z,67738.25,68085.95,67676.35,66322.823,0.8123,1.0000,-0.0321,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.383,6.059,,,,,,candidate@2026-03-23T00:05:16.000Z|confirmed@2026-03-23T00:14:57.000Z|trigger@2026-03-23T00:36:11.000Z|expire@2026-03-24T00:36:11.000Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-LONG-1774224466000-3,LONG,ACCUMULATION,INVALIDATED,2026-03-23T00:07:46.000Z,2026-03-23T00:10:46.000Z,,2026-03-23T00:40:05.000Z,67892.68667499999,68014.45,,,0.7808,1.0000,0.0792,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-03-23T00:07:46.000Z|confirmed@2026-03-23T00:10:46.000Z|invalidate@2026-03-23T00:40:05.000Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-LONG-1774224518000-4,LONG,ACCUMULATION,INVALIDATED,2026-03-23T00:08:38.000Z,2026-03-23T00:22:01.000Z,,2026-03-23T00:41:23.000Z,67762.85,68085.95,,,0.6008,1.0000,0.3262,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-03-23T00:08:38.000Z|confirmed@2026-03-23T00:22:01.000Z|invalidate@2026-03-23T00:41:23.000Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-LONG-1774228686000-7,LONG,ACCUMULATION,RESOLVED_REACHED,2026-03-23T01:18:06.000Z,2026-03-23T01:21:06.000Z,2026-03-23T01:23:01.000Z,2026-03-23T11:05:37.461Z,67840.45,68016.55,68059.55,69420.74100000001,0.6797,1.0000,0.0671,0.9787,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,582.61,5.462,0.867,,1,8,yes,no,candidate@2026-03-23T01:18:06.000Z|confirmed@2026-03-23T01:21:06.000Z|trigger@2026-03-23T01:23:01.000Z|expire@2026-03-23T11:05:37.461Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-LONG-1774230340000-9,LONG,ACCUMULATION,RESOLVED_REACHED,2026-03-23T01:45:40.000Z,2026-03-23T01:53:23.000Z,2026-03-23T02:26:25.000Z,2026-03-23T11:05:43.935Z,67870.75,68095.35,68138.85,69501.62700000001,0.7790,1.0000,0.2242,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,519.32,5.339,0.982,,1,8,no,yes,candidate@2026-03-23T01:45:40.000Z|confirmed@2026-03-23T01:53:23.000Z|trigger@2026-03-23T02:26:25.000Z|expire@2026-03-23T11:05:43.935Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-LONG-1774228797000-8,LONG,ACCUMULATION,RESOLVED_REACHED,2026-03-23T01:19:57.000Z,2026-03-23T01:22:57.000Z,2026-03-23T02:31:01.000Z,2026-03-23T11:05:47.463Z,67850.05,68016.55,68198.35,69562.31700000001,0.7368,1.0000,0.0643,0.9665,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,514.77,5.247,1.068,,1,8,no,yes,candidate@2026-03-23T01:19:57.000Z|confirmed@2026-03-23T01:22:57.000Z|trigger@2026-03-23T02:31:01.000Z|expire@2026-03-23T11:05:47.463Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-LONG-1774233261000-11,LONG,ACCUMULATION,RESOLVED_REACHED,2026-03-23T02:34:21.000Z,2026-03-23T02:40:31.000Z,2026-03-23T03:02:51.000Z,2026-03-23T11:05:56.916Z,68162.65,68260.55,68549.45,69920.439,0.6193,1.0000,-0.0484,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,483.10,4.708,1.575,,1,8,no,yes,candidate@2026-03-23T02:34:21.000Z|confirmed@2026-03-23T02:40:31.000Z|trigger@2026-03-23T03:02:51.000Z|expire@2026-03-23T11:05:56.916Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-SHORT-1774236610000-13,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-03-23T03:30:10.000Z,2026-03-23T03:35:45.000Z,2026-03-23T04:02:50.000Z,2026-03-24T04:02:50.000Z,68076.994475,68198.55,68029.45,66668.86099999999,0.6950,1.0000,-0.0868,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.823,5.509,,,,,,candidate@2026-03-23T03:30:10.000Z|confirmed@2026-03-23T03:35:45.000Z|trigger@2026-03-23T04:02:50.000Z|expire@2026-03-24T04:02:50.000Z
BTC-USDT-SWAP,2026-03-23,BTC-USDT-SWAP-LONG-1774237251000-14,LONG,ACCUMULATION,RESOLVED_REACHED,2026-03-23T03:40:51.000Z,2026-03-23T03:44:14.000Z,2026-03-23T04:30:54.000Z,2026-03-23T11:05:49.105Z,68064.55,68171.21857499999,68209.95,69574.149,0.6897,1.0000,-0.1088,0.9699,4h|8h|24h,4h:failed_by_timeout|8h:reached|24h:reached,394.92,5.230,1.085,,1,8,no,yes,candidate@2026-03-23T03:40:51.000Z|confirmed@2026-03-23T03:44:14.000Z|trigger@2026-03-23T04:30:54.000Z|expire@2026-03-23T11:05:49.105Z
