date,symbol,direction,zoneType,status,zoneStartTs,zoneConfirmedTs,triggerTs,zoneLow,zoneHigh,triggerPrice,targetPrice,target4h,target8h,target24h,mfe,mae,timeToTarget,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T00:00:37.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:07:10.000Z,78606.75,79375.45,78566.05,76994.729,failed_by_timeout,failed_by_timeout,reached,3.719,0.799,859.01,1,4,yes,no,"candidate@2026-02-01T00:00:37.000Z{buyPressure=0.604,askRefillScore=0.600,upMovePct=0.000,absorbScore=0.664,rangeCompression=true} | confirmed@2026-02-01T00:18:54.000Z{cyclesSeen=56.000,ageMin=18.283,defendedPersistenceSec=1097.000,oppositeThinning=0.498,voidScore=0.532} | trigger@2026-02-01T01:07:10.000Z{breakPct=0.052,flowMultiplier=7.703,sideFlowOK=true,triggerPrice=78566.050,targetPrice=76994.729} | expire@2026-02-01T15:26:10.637Z{earliestReachedHorizon=24h,targetPrice=76994.729}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T00:01:41.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:11:00.000Z,78581.839425,79375.45,78538.75,76967.975,failed_by_timeout,failed_by_timeout,reached,3.686,0.834,855.18,1,4,no,yes,"candidate@2026-02-01T00:01:41.000Z{buyPressure=0.553,askRefillScore=0.525,upMovePct=0.000,absorbScore=0.608,rangeCompression=true} | confirmed@2026-02-01T00:18:54.000Z{cyclesSeen=7.000,ageMin=17.217,defendedPersistenceSec=1033.000,oppositeThinning=0.498,voidScore=0.532} | trigger@2026-02-01T01:11:00.000Z{breakPct=0.055,flowMultiplier=3.539,sideFlowOK=true,triggerPrice=78538.750,targetPrice=76967.975} | expire@2026-02-01T15:26:10.677Z{earliestReachedHorizon=24h,targetPrice=76967.975}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T01:12:33.000Z,2026-02-01T01:15:55.000Z,-,78512.55,78683.45,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T01:12:33.000Z{sellPressure=0.580,bidRefillScore=0.499,downMovePct=0.000,absorbScore=0.638,rangeCompression=true} | confirmed@2026-02-01T01:15:55.000Z{cyclesSeen=137.000,ageMin=3.367,defendedPersistenceSec=202.000,oppositeThinning=0.495,voidScore=0.262} | invalidate@2026-02-01T07:04:52.000Z{mid=78082.250,zoneLow=78512.550,zoneHigh=78683.450}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T01:13:03.000Z,2026-02-01T01:16:03.000Z,-,78512.55,78683.45,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T01:13:03.000Z{sellPressure=0.560,bidRefillScore=0.504,downMovePct=0.000,absorbScore=0.616,rangeCompression=true} | confirmed@2026-02-01T01:16:03.000Z{cyclesSeen=130.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.500,voidScore=0.266} | invalidate@2026-02-01T07:04:52.000Z{mid=78082.250,zoneLow=78512.550,zoneHigh=78683.450}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T01:57:14.000Z,2026-02-01T02:26:02.000Z,2026-02-01T06:48:08.000Z,78343.25,78871.75,78273.45,76707.981,failed_by_timeout,failed_by_timeout,reached,3.359,1.176,820.40,1,4,no,yes,"candidate@2026-02-01T01:57:14.000Z{buyPressure=0.575,askRefillScore=0.499,upMovePct=0.001,absorbScore=0.614,rangeCompression=true} | confirmed@2026-02-01T02:26:02.000Z{cyclesSeen=52.000,ageMin=28.800,defendedPersistenceSec=1728.000,oppositeThinning=0.502,voidScore=0.474} | trigger@2026-02-01T06:48:08.000Z{breakPct=0.089,flowMultiplier=5.138,sideFlowOK=true,triggerPrice=78273.450,targetPrice=76707.981} | expire@2026-02-01T20:28:31.921Z{earliestReachedHorizon=24h,targetPrice=76707.981}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T02:17:24.000Z,2026-02-01T03:00:32.000Z,-,78474.45,79020.45,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T02:17:24.000Z{sellPressure=0.550,bidRefillScore=0.499,downMovePct=0.000,absorbScore=0.605,rangeCompression=true} | confirmed@2026-02-01T03:00:32.000Z{cyclesSeen=51.000,ageMin=43.133,defendedPersistenceSec=2588.000,oppositeThinning=0.492,voidScore=0.438} | invalidate@2026-02-01T07:06:18.000Z{mid=78081.050,zoneLow=78474.450,zoneHigh=79020.450}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T03:00:32.000Z,2026-02-01T03:14:14.000Z,2026-02-01T04:17:40.000Z,78703.45,78969.515025,79054.45,80635.539,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.177,4.314,,,,,,"candidate@2026-02-01T03:00:32.000Z{sellPressure=0.592,bidRefillScore=0.497,downMovePct=0.000,absorbScore=0.651,rangeCompression=true} | confirmed@2026-02-01T03:14:14.000Z{cyclesSeen=41.000,ageMin=13.700,defendedPersistenceSec=822.000,oppositeThinning=0.501,voidScore=0.300} | trigger@2026-02-01T04:17:40.000Z{breakPct=0.108,flowMultiplier=1.577,sideFlowOK=true,triggerPrice=79054.450,targetPrice=80635.539} | expire@2026-02-02T04:17:40.000Z{allHorizonsFailed=true,targetPrice=80635.539}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T06:53:07.000Z,2026-02-01T06:56:07.000Z,-,78268.496175,78346.803825,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T06:53:07.000Z{sellPressure=0.655,bidRefillScore=0.494,downMovePct=0.001,absorbScore=0.671,rangeCompression=true} | confirmed@2026-02-01T06:56:07.000Z{cyclesSeen=108.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.501,voidScore=0.426} | invalidate@2026-02-01T14:28:09.000Z{mid=77870.050,zoneLow=78268.496,zoneHigh=78346.804}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T06:58:01.000Z,2026-02-01T07:01:01.000Z,2026-02-01T07:04:55.000Z,78247.506675,78325.79332499999,78109.65,76547.457,failed_by_timeout,failed_by_timeout,reached,3.157,1.388,803.77,1,4,no,yes,"candidate@2026-02-01T06:58:01.000Z{buyPressure=0.665,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.732,rangeCompression=true} | confirmed@2026-02-01T07:01:01.000Z{cyclesSeen=171.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.498,voidScore=0.512} | trigger@2026-02-01T07:04:55.000Z{breakPct=0.176,flowMultiplier=1.410,sideFlowOK=true,triggerPrice=78109.650,targetPrice=76547.457} | expire@2026-02-01T20:28:41.239Z{earliestReachedHorizon=24h,targetPrice=76547.457}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T07:09:41.000Z,2026-02-01T07:12:41.000Z,-,78158.251325,78327.95,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T07:09:41.000Z{sellPressure=0.593,bidRefillScore=0.499,downMovePct=0.000,absorbScore=0.653,rangeCompression=true} | confirmed@2026-02-01T07:12:41.000Z{cyclesSeen=170.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.491,voidScore=0.476} | invalidate@2026-02-01T14:31:19.000Z{mid=77764.700,zoneLow=78158.251,zoneHigh=78327.950}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T07:12:53.000Z,2026-02-01T07:20:36.000Z,-,77968.65,78239.05,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T07:12:53.000Z{sellPressure=0.558,bidRefillScore=0.510,downMovePct=0.000,absorbScore=0.614,rangeCompression=true} | confirmed@2026-02-01T07:20:36.000Z{cyclesSeen=10.000,ageMin=7.717,defendedPersistenceSec=463.000,oppositeThinning=0.507,voidScore=0.512} | invalidate@2026-02-01T14:34:28.000Z{mid=77555.050,zoneLow=77968.650,zoneHigh=78239.050}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T08:01:05.000Z,2026-02-01T08:21:22.000Z,2026-02-01T08:38:17.000Z,78229.15,78500.35,78767.45,80342.799,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.542,3.965,,,,,,"candidate@2026-02-01T08:01:05.000Z{sellPressure=0.592,bidRefillScore=0.501,downMovePct=0.000,absorbScore=0.652,rangeCompression=true} | confirmed@2026-02-01T08:21:22.000Z{cyclesSeen=11.000,ageMin=20.283,defendedPersistenceSec=1217.000,oppositeThinning=0.508,voidScore=0.243} | trigger@2026-02-01T08:38:17.000Z{breakPct=0.340,flowMultiplier=1.410,sideFlowOK=true,triggerPrice=78767.450,targetPrice=80342.799} | expire@2026-02-02T08:38:17.000Z{allHorizonsFailed=true,targetPrice=80342.799}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T10:22:38.000Z,2026-02-01T10:45:44.000Z,-,78285.05,79043.35,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T10:22:38.000Z{sellPressure=0.578,bidRefillScore=0.511,downMovePct=0.000,absorbScore=0.636,rangeCompression=true} | confirmed@2026-02-01T10:45:44.000Z{cyclesSeen=66.000,ageMin=23.100,defendedPersistenceSec=1386.000,oppositeThinning=0.501,voidScore=0.353} | invalidate@2026-02-01T14:28:03.000Z{mid=77891.350,zoneLow=78285.050,zoneHigh=79043.350}"
