date,symbol,direction,zoneType,status,zoneStartTs,zoneConfirmedTs,triggerTs,zoneLow,zoneHigh,triggerPrice,targetPrice,target4h,target8h,target24h,mfe,mae,timeToTarget,reasons
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T00:00:37.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:07:10.000Z,78606.75,79375.45,78566.05,76994.729,failed_by_timeout,failed_by_timeout,reached,3.719,0.799,859.01,"candidate@2026-02-01T00:00:37.000Z{buyPressure=0.604,askRefillScore=0.600,upMovePct=0.000,absorbScore=0.664,rangeCompression=true} | confirmed@2026-02-01T00:18:54.000Z{cyclesSeen=56.000,ageMin=18.283,defendedPersistenceSec=1097.000,oppositeThinning=0.498,voidScore=0.532} | trigger@2026-02-01T01:07:10.000Z{breakPct=0.052,flowMultiplier=7.703,sideFlowOK=true,triggerPrice=78566.050,targetPrice=76994.729} | expire@2026-02-01T15:26:10.637Z{earliestReachedHorizon=24h,targetPrice=76994.729}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T01:12:33.000Z,2026-02-01T01:15:55.000Z,-,78512.55,78683.45,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-02-01T01:12:33.000Z{sellPressure=0.580,bidRefillScore=0.499,downMovePct=0.000,absorbScore=0.638,rangeCompression=true} | confirmed@2026-02-01T01:15:55.000Z{cyclesSeen=137.000,ageMin=3.367,defendedPersistenceSec=202.000,oppositeThinning=0.495,voidScore=0.262} | invalidate@2026-02-01T07:04:52.000Z{mid=78082.250,zoneLow=78512.550,zoneHigh=78683.450}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T01:57:14.000Z,2026-02-01T02:26:02.000Z,2026-02-01T06:48:08.000Z,78343.25,78871.75,78273.45,76707.981,failed_by_timeout,failed_by_timeout,reached,3.359,1.176,820.40,"candidate@2026-02-01T01:57:14.000Z{buyPressure=0.575,askRefillScore=0.499,upMovePct=0.001,absorbScore=0.614,rangeCompression=true} | confirmed@2026-02-01T02:26:02.000Z{cyclesSeen=52.000,ageMin=28.800,defendedPersistenceSec=1728.000,oppositeThinning=0.502,voidScore=0.474} | trigger@2026-02-01T06:48:08.000Z{breakPct=0.089,flowMultiplier=5.138,sideFlowOK=true,triggerPrice=78273.450,targetPrice=76707.981} | expire@2026-02-01T20:28:31.921Z{earliestReachedHorizon=24h,targetPrice=76707.981}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T06:57:50.000Z,2026-02-01T07:00:50.000Z,2026-02-01T07:04:52.000Z,78262.95,78366.913875,78082.25,76520.605,failed_by_timeout,failed_by_timeout,reached,3.123,1.424,844.60,"candidate@2026-02-01T06:57:50.000Z{buyPressure=0.696,askRefillScore=0.500,upMovePct=0.005,absorbScore=0.605,rangeCompression=true} | confirmed@2026-02-01T07:00:50.000Z{cyclesSeen=163.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.513,voidScore=0.504} | trigger@2026-02-01T07:04:52.000Z{breakPct=0.231,flowMultiplier=1.420,sideFlowOK=true,triggerPrice=78082.250,targetPrice=76520.605} | expire@2026-02-01T21:09:27.819Z{earliestReachedHorizon=24h,targetPrice=76520.605}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T07:09:41.000Z,2026-02-01T07:12:41.000Z,-,78158.251325,78327.95,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-02-01T07:09:41.000Z{sellPressure=0.593,bidRefillScore=0.499,downMovePct=0.000,absorbScore=0.653,rangeCompression=true} | confirmed@2026-02-01T07:12:41.000Z{cyclesSeen=170.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.491,voidScore=0.476} | invalidate@2026-02-01T14:31:19.000Z{mid=77764.700,zoneLow=78158.251,zoneHigh=78327.950}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-02-01T07:45:22.000Z,2026-02-01T07:55:37.000Z,-,78373.65,78547.65,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-02-01T07:45:22.000Z{buyPressure=0.641,askRefillScore=0.502,upMovePct=0.001,absorbScore=0.682,rangeCompression=true} | confirmed@2026-02-01T07:55:37.000Z{cyclesSeen=11.000,ageMin=10.250,defendedPersistenceSec=615.000,oppositeThinning=0.500,voidScore=0.412} | invalidate@2026-02-01T09:58:07.000Z{mid=78949.950,zoneLow=78373.650,zoneHigh=78547.650}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T10:03:04.000Z,2026-02-01T10:16:44.000Z,2026-02-01T10:36:21.000Z,78840.65,79193.85,78500.35,76930.34300000001,failed_by_timeout,reached,reached,3.639,0.431,290.69,"candidate@2026-02-01T10:03:04.000Z{buyPressure=0.601,askRefillScore=0.512,upMovePct=0.000,absorbScore=0.661,rangeCompression=true} | confirmed@2026-02-01T10:16:44.000Z{cyclesSeen=17.000,ageMin=13.667,defendedPersistenceSec=820.000,oppositeThinning=0.502,voidScore=0.526} | trigger@2026-02-01T10:36:21.000Z{breakPct=0.432,flowMultiplier=1.758,sideFlowOK=true,triggerPrice=78500.350,targetPrice=76930.343} | expire@2026-02-01T15:27:02.143Z{earliestReachedHorizon=8h,targetPrice=76930.343}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T10:41:28.000Z,2026-02-01T11:12:01.000Z,2026-02-01T14:28:51.000Z,78099.85,78482.55,77816.25,76259.925,failed_by_timeout,failed_by_timeout,reached,2.792,0.879,517.79,"candidate@2026-02-01T10:41:28.000Z{buyPressure=0.556,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.611,rangeCompression=true} | confirmed@2026-02-01T11:12:01.000Z{cyclesSeen=100.000,ageMin=30.550,defendedPersistenceSec=1833.000,oppositeThinning=0.507,voidScore=0.452} | trigger@2026-02-01T14:28:51.000Z{breakPct=0.363,flowMultiplier=1.404,sideFlowOK=true,triggerPrice=77816.250,targetPrice=76259.925} | expire@2026-02-01T23:06:38.230Z{earliestReachedHorizon=24h,targetPrice=76259.925}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T15:01:25.000Z,2026-02-01T15:09:06.000Z,2026-02-01T15:17:03.000Z,77841.65,78241.251075,77288.35,75742.583,failed_by_timeout,reached,reached,2.128,1.466,472.50,"candidate@2026-02-01T15:01:25.000Z{buyPressure=0.551,askRefillScore=0.505,upMovePct=0.000,absorbScore=0.607,rangeCompression=true} | confirmed@2026-02-01T15:09:06.000Z{cyclesSeen=87.000,ageMin=7.683,defendedPersistenceSec=461.000,oppositeThinning=0.496,voidScore=0.481} | trigger@2026-02-01T15:17:03.000Z{breakPct=0.711,flowMultiplier=1.412,sideFlowOK=true,triggerPrice=77288.350,targetPrice=75742.583} | expire@2026-02-01T23:09:32.974Z{earliestReachedHorizon=8h,targetPrice=75742.583}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T15:42:21.000Z,2026-02-01T15:45:21.000Z,-,77113.45,77299.95,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-02-01T15:42:21.000Z{sellPressure=0.553,bidRefillScore=0.500,downMovePct=0.000,absorbScore=0.608,rangeCompression=true} | confirmed@2026-02-01T15:45:21.000Z{cyclesSeen=135.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.500,voidScore=0.579} | invalidate@2026-02-01T20:28:32.000Z{mid=76699.250,zoneLow=77113.450,zoneHigh=77299.950}"
