date,symbol,direction,zoneType,status,zoneStartTs,zoneConfirmedTs,triggerTs,zoneLow,zoneHigh,triggerPrice,targetPrice,target4h,target8h,target24h,mfe,mae,timeToTarget,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-03-01T00:01:02.000Z,2026-03-01T00:58:31.000Z,2026-03-01T01:08:04.000Z,66593.75,67066.55,66550.15,65219.14699999999,failed_by_timeout,failed_by_timeout,reached,2.313,2.463,1162.52,1,8,yes,no,"candidate@2026-03-01T00:01:02.000Z{buyPressure=0.641,askRefillScore=0.578,upMovePct=0.002,absorbScore=0.654,rangeCompression=true} | confirmed@2026-03-01T00:58:31.000Z{cyclesSeen=6.000,ageMin=57.483,defendedPersistenceSec=3449.000,oppositeThinning=0.499,voidScore=0.407} | trigger@2026-03-01T01:08:04.000Z{breakPct=0.065,flowMultiplier=5.144,sideFlowOK=true,triggerPrice=66550.150,targetPrice=65219.147} | expire@2026-03-01T20:30:35.171Z{earliestReachedHorizon=24h,targetPrice=65219.147}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T00:02:07.000Z,2026-03-01T00:05:21.000Z,-,66909.37857500001,67066.55,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T00:02:07.000Z{sellPressure=0.590,bidRefillScore=0.523,downMovePct=0.000,absorbScore=0.649,rangeCompression=true} | confirmed@2026-03-01T00:05:21.000Z{cyclesSeen=53.000,ageMin=3.233,defendedPersistenceSec=194.000,oppositeThinning=0.482,voidScore=0.394} | invalidate@2026-03-01T01:04:56.000Z{mid=66570.550,zoneLow=66909.379,zoneHigh=67066.550}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T00:05:21.000Z,2026-03-01T00:11:55.000Z,-,66775.95,67028.84767500001,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T00:05:21.000Z{sellPressure=0.552,bidRefillScore=0.513,downMovePct=0.000,absorbScore=0.607,rangeCompression=true} | confirmed@2026-03-01T00:11:55.000Z{cyclesSeen=52.000,ageMin=6.567,defendedPersistenceSec=394.000,oppositeThinning=0.498,voidScore=0.263} | invalidate@2026-03-01T01:09:46.000Z{mid=66439.450,zoneLow=66775.950,zoneHigh=67028.848}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T00:11:55.000Z,2026-03-01T00:14:55.000Z,-,66806.05,66899.48302500001,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T00:11:55.000Z{sellPressure=0.675,bidRefillScore=0.514,downMovePct=0.004,absorbScore=0.619,rangeCompression=true} | confirmed@2026-03-01T00:14:55.000Z{cyclesSeen=74.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.501,voidScore=0.266} | invalidate@2026-03-01T01:09:36.000Z{mid=66458.600,zoneLow=66806.050,zoneHigh=66899.483}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T00:37:18.000Z,2026-03-01T00:40:41.000Z,-,66710.15,66792.629625,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T00:37:18.000Z{sellPressure=0.571,bidRefillScore=0.501,downMovePct=0.000,absorbScore=0.628,rangeCompression=true} | confirmed@2026-03-01T00:40:41.000Z{cyclesSeen=133.000,ageMin=3.383,defendedPersistenceSec=203.000,oppositeThinning=0.503,voidScore=0.221} | invalidate@2026-03-01T01:11:03.000Z{mid=66279.400,zoneLow=66710.150,zoneHigh=66792.630}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T00:47:06.000Z,2026-03-01T00:50:06.000Z,-,66618.05,66718.992825,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T00:47:06.000Z{sellPressure=0.562,bidRefillScore=0.496,downMovePct=0.000,absorbScore=0.618,rangeCompression=true} | confirmed@2026-03-01T00:50:06.000Z{cyclesSeen=169.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.498,voidScore=0.215} | invalidate@2026-03-01T01:11:03.000Z{mid=66279.400,zoneLow=66618.050,zoneHigh=66718.993}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T00:49:00.000Z,2026-03-01T00:52:00.000Z,-,66598.534075,66734.75,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T00:49:00.000Z{sellPressure=0.612,bidRefillScore=0.497,downMovePct=0.000,absorbScore=0.673,rangeCompression=true} | confirmed@2026-03-01T00:52:00.000Z{cyclesSeen=134.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.499,voidScore=0.252} | invalidate@2026-03-01T01:11:04.000Z{mid=66167.150,zoneLow=66598.534,zoneHigh=66734.750}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-03-01T00:58:31.000Z,2026-03-01T01:16:21.000Z,-,66158.25,66818.942775,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T00:58:31.000Z{buyPressure=0.553,askRefillScore=0.499,upMovePct=0.000,absorbScore=0.608,rangeCompression=true} | confirmed@2026-03-01T01:16:21.000Z{cyclesSeen=10.000,ageMin=17.833,defendedPersistenceSec=1070.000,oppositeThinning=0.503,voidScore=0.380} | invalidate@2026-03-01T01:49:55.000Z{mid=67205.550,zoneLow=66158.250,zoneHigh=66818.943}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-03-01T01:17:21.000Z,2026-03-01T01:20:37.000Z,-,66039.75,66234.95,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-03-01T01:17:21.000Z{buyPressure=0.553,askRefillScore=0.498,upMovePct=0.000,absorbScore=0.608,rangeCompression=true} | confirmed@2026-03-01T01:20:37.000Z{cyclesSeen=10.000,ageMin=3.267,defendedPersistenceSec=196.000,oppositeThinning=0.498,voidScore=0.391} | invalidate@2026-03-01T01:36:51.000Z{mid=66567.750,zoneLow=66039.750,zoneHigh=66234.950}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-03-01T02:08:26.000Z,2026-03-01T02:16:06.000Z,2026-03-01T16:49:24.000Z,67655.45,68059.35,65919.75,64601.354999999996,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.379,1.469,,,,,,"candidate@2026-03-01T02:08:26.000Z{buyPressure=0.558,askRefillScore=0.500,upMovePct=0.000,absorbScore=0.614,rangeCompression=true} | confirmed@2026-03-01T02:16:06.000Z{cyclesSeen=4.000,ageMin=7.667,defendedPersistenceSec=460.000,oppositeThinning=0.500,voidScore=0.438} | trigger@2026-03-01T16:49:24.000Z{breakPct=2.565,flowMultiplier=1.426,sideFlowOK=true,triggerPrice=65919.750,targetPrice=64601.355} | expire@2026-03-02T16:49:24.000Z{allHorizonsFailed=true,targetPrice=64601.355}"
