zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,LONG,,,1743466748000,1743468729000,1743502596743,,,82818.95,,,,,,,1,true,false
,LONG,,,1743466748000,1743468770000,1743502581078,,,82777.95,,,,,,,1,false,true
,LONG,,,1743474157000,1743475804000,1743520407064,,,83087.95,,,,,,,1,false,true
,LONG,,,1743474391000,1743475804000,1743520407064,,,83087.95,,,,,,,1,false,true
,SHORT,,,1743467356000,,1743477150000,,,,,,,,,,,,
,LONG,,,1743477212000,1743477631000,1743520492555,,,83243.15,,,,,,,1,false,true
,LONG,,,1743478870000,1743484781000,1743520593092,,,83319.95,,,,,,,1,false,true
,LONG,,,1743486191000,1743490180000,1743520649867,,,83414.05,,,,,,,1,false,true
,SHORT,,,1743476851000,,1743493256000,,,,,,,,,,,,
,LONG,,,1743490540000,1743494477000,1743522231756,,,83587.95,,,,,,,1,false,true
,SHORT,,,1743478125000,,1743494878000,,,,,,,,,,,,
,LONG,,,1743493947000,1743494878000,1743522294722,,,83668.85,,,,,,,1,false,true
,SHORT,,,1743486715000,,1743495353000,,,,,,,,,,,,
,LONG,,,1743495753000,1743496137000,1743582537000,,,84022.55,,,,,,,,,
,SHORT,,,1743493411000,,1743496146000,,,,,,,,,,,,
,LONG,,,1743497232000,1743497499000,1743583899000,,,84215.45,,,,,,,,,
,LONG,,,1743498686000,1743500035000,1743586435000,,,84352.25,,,,,,,,,
,LONG,,,1743500426000,1743502603000,1743589003000,,,84472.15,,,,,,,,,
,LONG,,,1743497052000,1743502736000,1743589136000,,,84499.25,,,,,,,,,
,SHORT,,,1743501344000,1743503596000,1743517284176,,,84247.95,,,,,,,2,true,false
,SHORT,,,1743502927000,1743505353000,1743591753000,,,84120.15,,,,,,,,,
,LONG,,,1743503905000,,1743511263000,,,,,,,,,,,,
,SHORT,,,1743504691000,1743514666000,1743601066000,,,83423.95,,,,,,,,,
,SHORT,,,1743496635000,1743516112000,1743602512000,,,83380.05,,,,,,,,,
,SHORT,,,1743497542000,1743516122000,1743602522000,,,83276.55,,,,,,,,,
,SHORT,,,1743518298000,,1743518609000,,,,,,,,,,,,
,SHORT,,,1743518298000,,1743518609000,,,,,,,,,,,,
,SHORT,,,1743519476000,,1743520460000,,,,,,,,,,,,
,LONG,,,1743520333000,1743520464000,1743606864000,,,84817.55,,,,,,,,,
,LONG,,,1743520392000,1743520464000,1743606864000,,,84817.55,,,,,,,,,
,LONG,,,1743523051000,,1743530678000,,,,,,,,,,,,
,SHORT,,,1743525441000,1743530678000,1743617078000,,,84771.65,,,,,,,,,
,SHORT,,,1743525441000,1743530678000,1743617078000,,,84771.65,,,,,,,,,
,LONG,,,1743523891000,,1743531732000,,,,,,,,,,,,
,SHORT,,,1743531850000,,1743540668000,,,,,,,,,,,,
,LONG,,,1743529155000,1743550404000,1743636804000,,,85574.15,,,,,,,,,
,LONG,,,1743545877000,1743550404000,1743636804000,,,85574.15,,,,,,,,,
,LONG,,,1743545877000,1743550404000,1743636804000,,,85574.15,,,,,,,,,
,LONG,,,1743521432000,,,,,,,,,,,,,,
,LONG,,,1743521432000,,,,,,,,,,,,,,
,SHORT,,,1743544012000,,,,,,,,,,,,,,
