date,round,regime,day_return_pct,range_pct,feasibility_2pct,feasibility_1pct,fullday_runtime_seconds,zones_total,zones_triggered,zones_reached_raw,unique_reached_moves,duplicate_move_credits,raw_triggered_hit_rate,unique_move_adjusted_hit_rate,direction_LONG,direction_SHORT,long_reached,short_reached,duplicate_suppression_count,status_RESOLVED_REACHED,status_RESOLVED_FAILED,status_INVALIDATED,status_NO_TRIGGER,status_EXPIRED
2024-01-01,calibration,bullish,4.545,4.901,True,True,3802.4,43,23,13,1,12,0.5652173913043478,0.043478260869565216,21,22,13,0,15210,13,10,17,3,0
2025-10-01,calibration,bullish,4.002,4.171,True,True,3025.2,41,24,4,1,3,0.16666666666666666,0.041666666666666664,21,20,4,0,15287,4,20,15,2,0
2025-12-01,calibration,bearish,-4.508,7.317,True,True,6579.7,42,20,11,1,10,0.55,0.05,21,21,0,11,10829,11,9,20,2,0
2024-10-01,calibration,bearish,-3.973,6.274,True,True,5202.5,38,20,13,1,12,0.65,0.05,19,19,0,13,10744,13,7,17,1,0
2024-07-01,calibration,choppy,0.216,2.148,True,True,3551.1,17,9,0,0,0,0,0,8,9,0,0,15104,0,9,7,1,0
2026-04-01,calibration,choppy,-0.237,2.587,True,True,3514.5,30,21,1,1,0,0.047619047619047616,0.047619047619047616,17,13,1,0,12987,1,20,9,0,0
2025-04-01,oos_v1,bullish,3.157,3.821,True,True,5833.5,41,26,10,2,8,0.38461538461538464,0.07692307692307693,24,17,9,1,11992,10,16,12,3,0
2025-05-01,oos_v1,bullish,2.477,3.538,True,True,4136.6,44,28,8,1,7,0.2857142857142857,0.03571428571428571,25,19,8,0,16053,8,20,13,1,2
2024-05-01,oos_v1,bearish,-3.877,7.134,True,True,8680.7,42,25,14,3,11,0.56,0.12,23,19,7,7,7599,14,11,13,2,2
2024-09-01,oos_v1,bearish,-2.857,3.282,True,True,3576.2,42,20,7,1,6,0.35,0.05,25,17,0,7,10705,7,13,19,3,0
2024-06-01,oos_v1,choppy,0.311,0.697,False,False,1600.4,9,8,0,0,0,0,0,4,5,0,0,18361,0,8,0,1,0
2025-11-01,oos_v1,choppy,0.459,1.068,False,True,1731.3,13,9,0,0,0,0,0,7,6,0,0,16077,0,9,2,2,0
2026-05-01,v2,bullish,2.467,3.424,True,True,2465.5,28,15,4,1,3,0.26666666666666666,0.06666666666666667,15,13,4,0,13470,4,11,9,4,0
2025-03-01,v2,bullish,2.021,3.258,True,True,6368.4,32,19,2,1,1,0.10526315789473684,0.05263157894736842,17,15,2,0,12739,2,17,11,2,0
2024-03-01,v2,bullish,1.986,3.823,True,True,7346.5,32,23,8,1,7,0.34782608695652173,0.043478260869565216,21,11,8,0,10751,8,15,7,2,0
2026-01-01,v2,bullish,1.384,1.574,False,True,1429.5,18,11,0,0,0,0,0,10,8,0,0,18121,0,11,2,5,0
2024-02-01,v2,bullish,1.2,3.35,True,True,6029.2,36,25,6,1,5,0.24,0.04,19,17,6,0,11763,6,19,9,2,0
2024-04-01,v2,bearish,-2.316,4.651,True,True,6212.1,38,22,14,1,13,0.6363636363636364,0.045454545454545456,14,24,0,14,13178,14,8,15,1,0
2026-02-01,v2,bearish,-2.228,4.707,True,True,6750.3,28,17,7,1,6,0.4117647058823529,0.058823529411764705,14,14,0,7,9469,7,10,11,0,0
2025-08-01,v2,bearish,-2.123,2.878,True,True,7355.0,35,19,3,1,2,0.15789473684210525,0.05263157894736842,15,20,0,3,10991,3,16,12,4,0
2026-03-01,v2,bearish,-1.79,4.745,True,True,5624.2,43,26,7,1,6,0.2692307692307692,0.038461538461538464,19,24,0,7,12402,7,19,15,2,0
2025-02-01,v2,bearish,-1.757,2.477,True,True,4145.1,34,20,3,1,2,0.15,0.05,18,16,0,3,14091,3,17,11,3,0
2024-12-01,v2,choppy,0.796,2.794,True,True,4592.8,27,16,0,0,0,0,0,11,16,0,0,14815,0,16,9,2,0
2025-09-01,v2,choppy,0.908,2.502,True,True,7449.7,31,23,0,0,0,0,0,10,21,0,0,15048,0,23,7,0,1
