zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,LONG,,,1767226532000,1767229533000,1767315933000,,,87819.55,,,,,,,,,
,LONG,,,1767231713000,1767232661000,1767319061000,,,87939.95,,,,,,,,,
,LONG,,,1767230712000,1767234831000,1767321231000,,,88014.65,,,,,,,,,
,SHORT,,,1767229268000,1767240484000,1767326884000,,,87688.15,,,,,,,,,
,SHORT,,,1767226408000,1767240955000,1767327355000,,,87582.05,,,,,,,,,
,SHORT,,,1767241398000,,1767288047000,,,,,,,,,,,,
,LONG,,,1767282820000,1767288047000,1767374447000,,,88123.35,,,,,,,,,
,SHORT,,,1767232013000,,1767288658000,,,,,,,,,,,,
,LONG,,,1767295246000,1767296522000,1767382922000,,,88300.55,,,,,,,,,
,LONG,,,1767289417000,1767305315000,1767391715000,,,88563.55,,,,,,,,,
,LONG,,,1767289746000,1767305317000,1767391717000,,,88551.35,,,,,,,,,
,LONG,,,1767307239000,1767307974000,1767394374000,,,88632.65,,,,,,,,,
,LONG,,,1767310524000,1767311119000,1767397519000,,,88842.55,,,,,,,,,
,SHORT,,,1767288926000,,,,,,,,,,,,,,
,SHORT,,,1767290138000,,,,,,,,,,,,,,
,SHORT,,,1767307678000,,,,,,,,,,,,,,
,SHORT,,,1767310698000,,,,,,,,,,,,,,
,LONG,,,,,,,,,,,,,,,,,
