date,symbol,direction,zoneType,status,zoneStartTs,zoneConfirmedTs,triggerTs,zoneLow,zoneHigh,triggerPrice,targetPrice,target4h,target8h,target24h,mfe,mae,timeToTarget,reasons
2026-01-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T00:00:31.000Z,2026-01-01T00:03:31.000Z,2026-01-01T00:05:15.000Z,87560.048075,87659.75,87719.45,89473.83899999999,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.325,0.241,,"candidate@2026-01-01T00:00:31.000Z{sellPressure=0.761,bidRefillScore=0.684,downMovePct=0.005,absorbScore=0.667,rangeCompression=true} | confirmed@2026-01-01T00:03:31.000Z{cyclesSeen=182.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.476,voidScore=0.702} | trigger@2026-01-01T00:05:15.000Z{breakPct=0.068,flowMultiplier=1.866,sideFlowOK=true,triggerPrice=87719.450,targetPrice=89473.839} | expire@2026-01-02T00:05:15.000Z{allHorizonsFailed=true,targetPrice=89473.839}"
2026-01-01,BTCUSDT,SHORT,DISTRIBUTION,NO_TRIGGER,2026-01-01T00:10:28.000Z,2026-01-01T00:13:28.000Z,,87690.582775,88064.95,,,no_trigger,no_trigger,no_trigger,,,,"candidate@2026-01-01T00:10:28.000Z{buyPressure=0.585,askRefillScore=0.529,upMovePct=0.000,absorbScore=0.643,rangeCompression=true} | confirmed@2026-01-01T00:13:28.000Z{cyclesSeen=81.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.490,voidScore=0.298} | expire@2026-01-01T23:59:59.948Z{reason=End of replay; no trigger seen}"
2026-01-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T00:31:13.000Z,2026-01-01T00:54:33.000Z,2026-01-01T01:07:04.000Z,87691.18247500001,87799.95,87843.95,89600.829,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.181,0.382,,"candidate@2026-01-01T00:31:13.000Z{sellPressure=0.560,bidRefillScore=0.502,downMovePct=0.000,absorbScore=0.616,rangeCompression=true} | confirmed@2026-01-01T00:54:33.000Z{cyclesSeen=84.000,ageMin=23.333,defendedPersistenceSec=1400.000,oppositeThinning=0.495,voidScore=0.467} | trigger@2026-01-01T01:07:04.000Z{breakPct=0.050,flowMultiplier=1.425,sideFlowOK=true,triggerPrice=87843.950,targetPrice=89600.829} | expire@2026-01-02T01:07:04.000Z{allHorizonsFailed=true,targetPrice=89600.829}"
2026-01-01,BTCUSDT,LONG,ACCUMULATION,NO_TRIGGER,2026-01-01T01:22:05.000Z,2026-01-01T01:25:05.000Z,,87797.95,88064.95,,,no_trigger,no_trigger,no_trigger,,,,"candidate@2026-01-01T01:22:05.000Z{sellPressure=0.781,bidRefillScore=0.505,downMovePct=0.004,absorbScore=0.715,rangeCompression=true} | confirmed@2026-01-01T01:25:05.000Z{cyclesSeen=63.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.500,voidScore=0.406} | expire@2026-01-01T23:59:59.948Z{reason=End of replay; no trigger seen}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T00:00:37.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:07:10.000Z,78606.75,79375.45,78566.05,76994.729,failed_by_timeout,failed_by_timeout,reached,3.719,0.799,859.01,"candidate@2026-02-01T00:00:37.000Z{buyPressure=0.604,askRefillScore=0.600,upMovePct=0.000,absorbScore=0.664,rangeCompression=true} | confirmed@2026-02-01T00:18:54.000Z{cyclesSeen=56.000,ageMin=18.283,defendedPersistenceSec=1097.000,oppositeThinning=0.498,voidScore=0.532} | trigger@2026-02-01T01:07:10.000Z{breakPct=0.052,flowMultiplier=7.703,sideFlowOK=true,triggerPrice=78566.050,targetPrice=76994.729} | expire@2026-02-01T15:26:10.637Z{earliestReachedHorizon=24h,targetPrice=76994.729}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,NO_TRIGGER,2026-02-01T01:12:33.000Z,2026-02-01T01:15:55.000Z,,78278.55,79020.45,,,no_trigger,no_trigger,no_trigger,,,,"candidate@2026-02-01T01:12:33.000Z{sellPressure=0.580,bidRefillScore=0.499,downMovePct=0.000,absorbScore=0.638,rangeCompression=true} | confirmed@2026-02-01T01:15:55.000Z{cyclesSeen=137.000,ageMin=3.367,defendedPersistenceSec=202.000,oppositeThinning=0.495,voidScore=0.262} | expire@2026-02-01T23:59:59.820Z{reason=End of replay; no trigger seen}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,NO_TRIGGER,2026-02-01T01:57:14.000Z,2026-02-01T02:26:02.000Z,,78343.25,79020.45,,,no_trigger,no_trigger,no_trigger,,,,"candidate@2026-02-01T01:57:14.000Z{buyPressure=0.575,askRefillScore=0.499,upMovePct=0.001,absorbScore=0.614,rangeCompression=true} | confirmed@2026-02-01T02:26:02.000Z{cyclesSeen=52.000,ageMin=28.800,defendedPersistenceSec=1728.000,oppositeThinning=0.502,voidScore=0.474} | expire@2026-02-01T23:59:59.820Z{reason=End of replay; no trigger seen}"
2026-03-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-03-01T00:01:02.000Z,2026-03-01T00:58:31.000Z,2026-03-01T01:08:04.000Z,66593.75,67066.55,66550.15,65219.14699999999,failed_by_timeout,failed_by_timeout,reached,2.313,2.463,1162.52,"candidate@2026-03-01T00:01:02.000Z{buyPressure=0.641,askRefillScore=0.578,upMovePct=0.002,absorbScore=0.654,rangeCompression=true} | confirmed@2026-03-01T00:58:31.000Z{cyclesSeen=6.000,ageMin=57.483,defendedPersistenceSec=3449.000,oppositeThinning=0.499,voidScore=0.407} | trigger@2026-03-01T01:08:04.000Z{breakPct=0.065,flowMultiplier=5.144,sideFlowOK=true,triggerPrice=66550.150,targetPrice=65219.147} | expire@2026-03-01T20:30:35.171Z{earliestReachedHorizon=24h,targetPrice=65219.147}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-03-01T00:02:07.000Z,2026-03-01T00:05:21.000Z,,66909.37857500001,67066.55,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-03-01T00:02:07.000Z{sellPressure=0.590,bidRefillScore=0.523,downMovePct=0.000,absorbScore=0.649,rangeCompression=true} | confirmed@2026-03-01T00:05:21.000Z{cyclesSeen=53.000,ageMin=3.233,defendedPersistenceSec=194.000,oppositeThinning=0.482,voidScore=0.394} | invalidate@2026-03-01T01:04:56.000Z{mid=66570.550,zoneLow=66909.379,zoneHigh=67066.550}"
2026-03-01,BTCUSDT,LONG,ACCUMULATION,EXPIRED,2026-03-01T01:06:00.000Z,,,66039.75,68171.4,,,no_trigger,no_trigger,no_trigger,,,,"candidate@2026-03-01T01:06:00.000Z{sellPressure=0.561,bidRefillScore=0.501,downMovePct=0.000,absorbScore=0.617,rangeCompression=true} | expire@2026-03-01T02:06:01.000Z{dwellMin=60.017,maxFormationDurationMin=60.000}"
