zoneId,direction,status,startTs,confirmedTs,triggerTs,resolvedTs,zoneLow,zoneHigh,triggerPrice,targetPrice,isTriggered,reached,earliestHorizonReached,mfePct,maePct,timeToTargetMin,overlapGroupId,uniqueMoveId
BTCUSDT-SHORT-1769904037000-1,SHORT,RESOLVED_REACHED,2026-02-01T00:00:37.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:07:10.000Z,2026-02-01T15:26:10.637Z,78606.75,79375.45,78566.05,76994.729,yes,yes,24h,3.719,0.799,859.01,1,1
BTCUSDT-LONG-1769908353000-2,LONG,INVALIDATED,2026-02-01T01:12:33.000Z,2026-02-01T01:15:55.000Z,-,2026-02-01T07:04:52.000Z,78512.55,78683.45,,,no,no,-,,,,2,
BTCUSDT-SHORT-1769911034000-3,SHORT,RESOLVED_REACHED,2026-02-01T01:57:14.000Z,2026-02-01T02:26:02.000Z,2026-02-01T06:48:08.000Z,2026-02-01T20:28:31.921Z,78343.25,78871.75,78273.45,76707.981,yes,yes,24h,3.359,1.176,820.40,1,1
BTCUSDT-SHORT-1769929070000-4,SHORT,RESOLVED_REACHED,2026-02-01T06:57:50.000Z,2026-02-01T07:00:50.000Z,2026-02-01T07:04:52.000Z,2026-02-01T21:09:27.819Z,78262.95,78366.913875,78082.25,76520.605,yes,yes,24h,3.123,1.424,844.60,1,1
BTCUSDT-LONG-1769929781000-5,LONG,INVALIDATED,2026-02-01T07:09:41.000Z,2026-02-01T07:12:41.000Z,-,2026-02-01T14:31:19.000Z,78158.251325,78327.95,,,no,no,-,,,,3,
BTCUSDT-SHORT-1769931922000-6,SHORT,INVALIDATED,2026-02-01T07:45:22.000Z,2026-02-01T07:55:37.000Z,-,2026-02-01T09:58:07.000Z,78373.65,78547.65,,,no,no,-,,,,1,
BTCUSDT-SHORT-1769940184000-7,SHORT,RESOLVED_REACHED,2026-02-01T10:03:04.000Z,2026-02-01T10:16:44.000Z,2026-02-01T10:36:21.000Z,2026-02-01T15:27:02.143Z,78840.65,79193.85,78500.35,76930.34300000001,yes,yes,8h,3.639,0.431,290.69,1,1
BTCUSDT-SHORT-1769942488000-8,SHORT,RESOLVED_REACHED,2026-02-01T10:41:28.000Z,2026-02-01T11:12:01.000Z,2026-02-01T14:28:51.000Z,2026-02-01T23:06:38.230Z,78099.85,78482.55,77816.25,76259.925,yes,yes,24h,2.792,0.879,517.79,1,1
BTCUSDT-SHORT-1769958085000-9,SHORT,RESOLVED_REACHED,2026-02-01T15:01:25.000Z,2026-02-01T15:09:06.000Z,2026-02-01T15:17:03.000Z,2026-02-01T23:09:32.974Z,77841.65,78241.251075,77288.35,75742.583,yes,yes,8h,2.128,1.466,472.50,1,1
BTCUSDT-LONG-1769960541000-10,LONG,INVALIDATED,2026-02-01T15:42:21.000Z,2026-02-01T15:45:21.000Z,-,2026-02-01T20:28:32.000Z,77113.45,77299.95,,,no,no,-,,,,4,
BTCUSDT-SHORT-1769962684000-11,SHORT,INVALIDATED,2026-02-01T16:18:04.000Z,2026-02-01T17:03:12.000Z,-,2026-02-01T18:08:40.000Z,77100.65,77810.85,,,no,no,-,,,,5,
BTCUSDT-SHORT-1769969766000-12,SHORT,RESOLVED_FAILED,2026-02-01T18:16:06.000Z,2026-02-01T18:43:04.000Z,2026-02-01T19:57:09.000Z,2026-02-02T19:57:09.000Z,77964.85,78404.5,76978.35,75438.78300000001,yes,no,-,1.733,1.007,,1,
BTCUSDT-SHORT-1769977518000-13,SHORT,RESOLVED_FAILED,2026-02-01T20:25:18.000Z,2026-02-01T20:57:29.000Z,2026-02-01T21:09:28.000Z,2026-02-02T21:09:28.000Z,76556.95,77707.95,76505.75,74975.635,yes,no,-,1.126,1.631,,6,
BTCUSDT-LONG-1769977944000-14,LONG,INVALIDATED,2026-02-01T20:32:24.000Z,2026-02-01T20:51:07.000Z,-,2026-02-01T21:09:38.000Z,76850.905325,77707.95,,,no,no,-,,,,7,
BTCUSDT-SHORT-1769980511000-15,SHORT,INVALIDATED,2026-02-01T21:15:11.000Z,2026-02-01T21:43:33.000Z,-,2026-02-01T22:12:21.000Z,76507.15,77134.85,,,no,no,-,,,,6,
BTCUSDT-LONG-1769980916000-16,LONG,RESOLVED_FAILED,2026-02-01T21:21:56.000Z,2026-02-01T21:51:05.000Z,2026-02-01T22:11:01.000Z,2026-02-02T22:11:01.000Z,76410.20000000001,77134.85,77276.75,78822.285,yes,no,-,0.617,2.113,,8,
BTCUSDT-LONG-1769985661000-17,LONG,RESOLVED_FAILED,2026-02-01T22:41:01.000Z,2026-02-01T23:12:12.000Z,2026-02-01T23:36:10.000Z,2026-02-02T23:36:10.000Z,75668.95,77516.25,77560.5,79111.71,yes,no,-,0.034,0.925,,8,
BTCUSDT-SHORT-1769986285000-18,SHORT,RESOLVED_FAILED,2026-02-01T22:51:25.000Z,2026-02-01T22:54:25.000Z,2026-02-01T23:05:47.000Z,2026-02-02T23:05:47.000Z,77118.05,77374.71802500001,76740.35,75205.543,yes,no,-,1.429,1.103,,6,
BTCUSDT-LONG-1769989443000-19,LONG,NO_TRIGGER,2026-02-01T23:44:03.000Z,-,-,-,76846.25,77321.25,,,no,no,-,,,,8,
BTCUSDT-SHORT-1769990315000-20,SHORT,NO_TRIGGER,2026-02-01T23:58:35.000Z,-,-,-,76899.15,77035.04827500001,,,no,no,-,,,,6,
