gate,phase,blocker,setups_before,setups_after,pf_before_0,pf_after_0,pf_after_5,hit2_before,hit2_after
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10E,7,7,,,,0.0,0.0
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10F,7,3,,,,0.0,0.0
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10E,19,17,2.268,2.268,2.023,21.1,23.5
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10F,19,10,2.268,2.268,2.023,21.1,20.0
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10E,4,3,999,999,999,100.0,100.0
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10F,4,0,999,,,100.0,
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10E,16,13,0.567,0.567,0.506,25.0,23.1
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10F,16,4,0.567,0.0,0.0,25.0,0.0
g6A,LOW_VOL_NO_CONTROL_CHOP,b10E,104,78,2.268,1.248,1.113,21.2,14.1
g6A,LOW_VOL_NO_CONTROL_CHOP,b10F,104,15,2.268,0.567,0.506,21.2,13.3
g6A,UNKNOWN,b10E,12,11,3.402,2.835,2.529,50.0,45.5
g6A,UNKNOWN,b10F,12,11,3.402,2.835,2.529,50.0,45.5
g6A,ALL_VALID_SHORT,b10E,26,24,2.268,2.268,2.023,15.4,16.7
g6A,ALL_VALID_SHORT,b10F,26,13,2.268,2.268,2.023,15.4,15.4
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10E,2,2,,,,0.0,0.0
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10F,2,1,,,,0.0,0.0
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10E,9,9,999,999,999,11.1,11.1
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10F,9,6,999,999,999,11.1,16.7
g6E,LOW_VOL_NO_CONTROL_CHOP,b10E,47,44,3.97,3.97,3.54,14.9,15.9
g6E,LOW_VOL_NO_CONTROL_CHOP,b10F,47,6,3.97,999,999,14.9,16.7
g6E,UNKNOWN,b10E,10,9,6.805,5.671,5.057,60.0,55.6
g6E,UNKNOWN,b10F,10,9,6.805,5.671,5.057,60.0,55.6
g6E,ALL_VALID_SHORT,b10E,11,11,999,999,999,9.1,9.1
g6E,ALL_VALID_SHORT,b10F,11,7,999,999,999,9.1,14.3
