gate,phase,blocker,orig_fp_pct,after_fp_pct,abs_reduction_pp,rel_reduction_pct
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10A,41.2,40.8,0.4,1.0
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10B,41.2,27.2,14.0,34.0
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10C,41.2,40.8,0.4,1.0
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10D,41.2,38.1,3.1,7.5
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10E,41.2,33.8,7.4,18.0
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10F,41.2,18.1,23.1,56.1
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10A,29.3,27.1,2.2,7.5
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10B,29.3,12.2,17.1,58.4
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10C,29.3,28.7,0.6,2.0
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10D,29.3,27.9,1.4,4.8
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10E,29.3,13.7,15.6,53.2
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10F,29.3,4.5,24.8,84.6
g6A,LOW_VOL_NO_CONTROL_CHOP,b10A,10.6,9.2,1.4,13.2
g6A,LOW_VOL_NO_CONTROL_CHOP,b10B,10.6,6.3,4.3,40.6
g6A,LOW_VOL_NO_CONTROL_CHOP,b10C,10.6,10.1,0.5,4.7
g6A,LOW_VOL_NO_CONTROL_CHOP,b10D,10.6,10.5,0.1,0.9
g6A,LOW_VOL_NO_CONTROL_CHOP,b10E,10.6,8.4,2.2,20.8
g6A,LOW_VOL_NO_CONTROL_CHOP,b10F,10.6,4.1,6.5,61.3
g6E,TREND_DOWN_ABSORPTION_REVERSAL,b10A,0.0,0.0,0.0,0.0
g6E,TREND_DOWN_ABSORPTION_REVERSAL,b10B,0.0,0.0,0.0,0.0
g6E,TREND_DOWN_ABSORPTION_REVERSAL,b10C,0.0,0.0,0.0,0.0
g6E,TREND_DOWN_ABSORPTION_REVERSAL,b10D,0.0,0.0,0.0,0.0
g6E,TREND_DOWN_ABSORPTION_REVERSAL,b10E,0.0,0.0,0.0,0.0
g6E,TREND_DOWN_ABSORPTION_REVERSAL,b10F,0.0,0.0,0.0,0.0
g6E,RANGE_ACCUMULATION_UNDER_PRESSURE,b10A,0.0,0.0,0.0,0.0
g6E,RANGE_ACCUMULATION_UNDER_PRESSURE,b10B,0.0,0.0,0.0,0.0
g6E,RANGE_ACCUMULATION_UNDER_PRESSURE,b10C,0.0,0.0,0.0,0.0
g6E,RANGE_ACCUMULATION_UNDER_PRESSURE,b10D,0.0,0.0,0.0,0.0
g6E,RANGE_ACCUMULATION_UNDER_PRESSURE,b10E,0.0,0.0,0.0,0.0
g6E,RANGE_ACCUMULATION_UNDER_PRESSURE,b10F,0.0,0.0,0.0,0.0
g6E,LOW_VOL_NO_CONTROL_CHOP,b10A,5.3,4.8,0.5,9.4
g6E,LOW_VOL_NO_CONTROL_CHOP,b10B,5.3,3.4,1.9,35.8
g6E,LOW_VOL_NO_CONTROL_CHOP,b10C,5.3,5.0,0.3,5.7
g6E,LOW_VOL_NO_CONTROL_CHOP,b10D,5.3,5.3,0.0,0.0
g6E,LOW_VOL_NO_CONTROL_CHOP,b10E,5.3,5.0,0.3,5.7
g6E,LOW_VOL_NO_CONTROL_CHOP,b10F,5.3,2.8,2.5,47.2
