gate,phase,blocker,n_before,n_after,pf_before_0bps,pf_after_0bps,net_before,net_after,hit2_before,hit2_after
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10A,700,689,1.735,1.715,200.2,192.3,36.3,36.0
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10B,700,359,1.735,1.516,200.2,77.9,36.3,34.3
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10C,700,700,1.735,1.735,200.2,200.2,36.3,36.3
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10D,700,682,1.735,1.733,200.2,191.2,36.3,35.6
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10E,700,504,1.735,1.539,200.2,113.9,36.3,34.7
g6A,TREND_DOWN_ACTIVE_MARKDOWN,b10F,700,288,1.735,1.347,200.2,45.5,36.3,33.0
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10A,152,138,3.402,3.289,78.8,75.1,39.5,42.0
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10B,152,109,3.402,3.24,78.8,51.4,39.5,36.7
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10C,152,144,3.402,3.289,78.8,75.1,39.5,40.3
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10D,152,147,3.402,3.582,78.8,80.4,39.5,40.8
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10E,152,123,3.402,3.044,78.8,63.7,39.5,41.5
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,b10F,152,72,3.402,2.966,78.8,41.9,39.5,47.2
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10A,396,392,0.643,0.655,-123.1,-116.5,30.1,30.4
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10B,396,261,0.643,0.633,-123.1,-83.1,30.1,29.5
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10C,396,392,0.643,0.635,-123.1,-125.1,30.1,29.8
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10D,396,366,0.643,0.689,-123.1,-94.9,30.1,30.9
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10E,396,325,0.643,0.536,-123.1,-137.1,30.1,26.2
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10F,396,174,0.643,0.587,-123.1,-59.0,30.1,25.9
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10A,700,649,1.471,1.581,135.2,152.4,32.4,34.4
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10B,700,298,1.471,1.391,135.2,48.1,32.4,30.9
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10C,700,682,1.471,1.488,135.2,136.0,32.4,32.7
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10D,700,662,1.471,1.538,135.2,141.2,32.4,32.8
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10E,700,331,1.471,1.421,135.2,62.8,32.4,34.4
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10F,700,111,1.471,1.663,135.2,32.6,32.4,39.6
g6A,LOW_VOL_NO_CONTROL_CHOP,b10A,700,589,2.023,1.837,162.7,126.3,24.7,25.3
g6A,LOW_VOL_NO_CONTROL_CHOP,b10B,700,424,2.023,2.377,162.7,117.5,24.7,25.7
g6A,LOW_VOL_NO_CONTROL_CHOP,b10C,700,661,2.023,1.949,162.7,149.5,24.7,25.0
g6A,LOW_VOL_NO_CONTROL_CHOP,b10D,700,693,2.023,1.964,162.7,153.4,24.7,24.2
g6A,LOW_VOL_NO_CONTROL_CHOP,b10E,700,560,2.023,1.872,162.7,118.7,24.7,24.5
g6A,LOW_VOL_NO_CONTROL_CHOP,b10F,700,275,2.023,2.13,162.7,76.0,24.7,28.0
g6A,UNKNOWN,b10A,700,688,1.507,1.493,129.0,125.2,29.4,29.7
g6A,UNKNOWN,b10B,700,434,1.507,1.375,129.0,69.5,29.4,31.6
g6A,UNKNOWN,b10C,700,699,1.507,1.507,129.0,129.0,29.4,29.5
g6A,UNKNOWN,b10D,700,700,1.507,1.507,129.0,129.0,29.4,29.4
g6A,UNKNOWN,b10E,700,689,1.507,1.5,129.0,127.1,29.4,29.8
g6A,UNKNOWN,b10F,700,430,1.507,1.365,129.0,67.6,29.4,31.6
g6A,ALL_VALID_SHORT,b10A,700,686,1.917,1.91,233.1,231.3,37.4,38.0
g6A,ALL_VALID_SHORT,b10B,700,384,1.917,2.112,233.1,145.9,37.4,38.8
g6A,ALL_VALID_SHORT,b10C,700,698,1.917,1.917,233.1,233.1,37.4,37.5
g6A,ALL_VALID_SHORT,b10D,700,676,1.917,1.903,233.1,220.6,37.4,37.0
g6A,ALL_VALID_SHORT,b10E,700,500,1.917,1.897,233.1,166.2,37.4,37.8
g6A,ALL_VALID_SHORT,b10F,700,307,1.917,1.977,233.1,112.1,37.4,39.7
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10A,700,696,1.758,1.744,198.9,195.2,35.4,35.3
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10B,700,487,1.758,2.003,198.9,176.1,35.4,38.8
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10C,700,700,1.758,1.758,198.9,198.9,35.4,35.4
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10D,700,700,1.758,1.758,198.9,198.9,35.4,35.4
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10E,700,699,1.758,1.758,198.9,198.9,35.4,35.5
g6E,TREND_DOWN_ACTIVE_MARKDOWN,b10F,700,484,1.758,1.982,198.9,172.3,35.4,38.6
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10A,60,59,8.79,8.506,51.1,49.2,51.7,50.8
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10B,60,42,8.79,7.561,51.1,32.3,51.7,47.6
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10C,60,58,8.79,8.79,51.1,51.1,51.7,53.4
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10D,60,60,8.79,8.79,51.1,51.1,51.7,51.7
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10E,60,59,8.79,8.506,51.1,49.2,51.7,50.8
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,b10F,60,39,8.79,7.561,51.1,32.3,51.7,51.3
g6E,LOW_VOL_NO_CONTROL_CHOP,b10A,700,632,3.601,3.382,243.2,218.8,25.9,26.4
g6E,LOW_VOL_NO_CONTROL_CHOP,b10B,700,473,3.601,4.203,243.2,178.6,25.9,26.6
g6E,LOW_VOL_NO_CONTROL_CHOP,b10C,700,670,3.601,3.522,243.2,235.7,25.9,26.4
g6E,LOW_VOL_NO_CONTROL_CHOP,b10D,700,700,3.601,3.601,243.2,243.2,25.9,25.9
g6E,LOW_VOL_NO_CONTROL_CHOP,b10E,700,668,3.601,3.504,243.2,229.9,25.9,25.9
g6E,LOW_VOL_NO_CONTROL_CHOP,b10F,700,378,3.601,3.803,243.2,156.3,25.9,30.2
g6E,UNKNOWN,b10A,700,685,1.937,1.919,199.7,196.0,31.7,32.1
g6E,UNKNOWN,b10B,700,431,1.937,1.673,199.7,111.5,31.7,34.6
g6E,UNKNOWN,b10C,700,698,1.937,1.928,199.7,197.9,31.7,31.7
g6E,UNKNOWN,b10D,700,700,1.937,1.937,199.7,199.7,31.7,31.7
g6E,UNKNOWN,b10E,700,686,1.937,1.919,199.7,196.0,31.7,32.1
g6E,UNKNOWN,b10F,700,426,1.937,1.662,199.7,109.6,31.7,34.7
g6E,ALL_VALID_SHORT,b10A,700,697,1.992,1.985,247.3,245.5,38.1,38.2
g6E,ALL_VALID_SHORT,b10B,700,505,1.992,2.216,247.3,215.3,38.1,41.8
g6E,ALL_VALID_SHORT,b10C,700,699,1.992,1.992,247.3,247.3,38.1,38.2
g6E,ALL_VALID_SHORT,b10D,700,700,1.992,1.992,247.3,247.3,38.1,38.1
g6E,ALL_VALID_SHORT,b10E,700,698,1.992,1.985,247.3,245.5,38.1,38.1
g6E,ALL_VALID_SHORT,b10F,700,502,1.992,2.216,247.3,215.3,38.1,42.0
