window,phase_group,g6A_active_n,b10E_blocked_n,blocked_pct
DOWN_NOV,BLOCK_phases,313,93,29.7
DOWN_NOV,TARGET_phases,363,95,26.2
DOWN_JAN,BLOCK_phases,623,150,24.1
DOWN_JAN,TARGET_phases,399,106,26.6
DOWN_APR,BLOCK_phases,659,261,39.6
DOWN_APR,TARGET_phases,590,173,29.3
DOWN_0327,BLOCK_phases,385,107,27.8
DOWN_0327,TARGET_phases,299,110,36.8
UP_0310,BLOCK_phases,653,222,34.0
UP_0310,TARGET_phases,191,50,26.2
RANGE_0508,BLOCK_phases,425,107,25.2
RANGE_0508,TARGET_phases,34,11,32.4
RANGE_0303,BLOCK_phases,274,142,51.8
RANGE_0303,TARGET_phases,293,73,24.9
BOUNCE_0512,BLOCK_phases,663,157,23.7
BOUNCE_0512,TARGET_phases,139,37,26.6
