gate,phase,minutes,orig_activation_pct,gate_active_n,b10A_after_pct,b10A_blocked_of_active_pct,b10B_after_pct,b10B_blocked_of_active_pct,b10C_after_pct,b10C_blocked_of_active_pct,b10D_after_pct,b10D_blocked_of_active_pct,b10E_after_pct,b10E_blocked_of_active_pct,b10F_after_pct,b10F_blocked_of_active_pct
g6A,TREND_DOWN_ACTIVE_MARKDOWN,3213,67.1,2156,66.0,1.7,34.3,48.8,67.1,0.0,65.2,2.8,47.6,29.0,27.5,59.1
g6A,RANGE_DISTRIBUTION_INTO_DEMAND,2604,5.8,152,5.3,9.2,4.2,28.3,5.5,5.3,5.6,3.3,4.7,19.1,2.8,52.6
g6A,TREND_DOWN_ABSORPTION_REVERSAL,961,41.2,396,40.8,1.0,27.2,34.1,40.8,1.0,38.1,7.6,33.8,17.9,18.1,56.1
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,4280,29.3,1255,27.1,7.6,12.2,58.4,28.7,2.2,27.9,4.9,13.7,53.4,4.5,84.5
g6A,LOW_VOL_NO_CONTROL_CHOP,22076,10.6,2344,9.2,13.2,6.3,40.7,10.1,4.6,10.5,1.0,8.4,21.2,4.1,61.2
g6A,TREND_UP_NO_SHORT,4537,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g6A,UNKNOWN,12169,7.7,934,7.5,1.7,4.8,37.9,7.7,0.2,7.7,0.0,7.6,1.6,4.7,38.4
g6E,TREND_DOWN_ACTIVE_MARKDOWN,3213,29.3,941,29.2,0.4,20.9,28.5,29.3,0.0,29.3,0.0,29.3,0.1,20.9,28.8
g6E,RANGE_DISTRIBUTION_INTO_DEMAND,2604,2.3,60,2.3,1.7,1.6,30.0,2.2,3.3,2.3,0.0,2.3,1.7,1.5,35.0
g6E,TREND_DOWN_ABSORPTION_REVERSAL,961,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g6E,RANGE_ACCUMULATION_UNDER_PRESSURE,4280,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g6E,LOW_VOL_NO_CONTROL_CHOP,22076,5.3,1160,4.8,9.2,3.4,34.5,5.0,4.0,5.3,0.0,5.0,4.8,2.8,46.1
g6E,TREND_UP_NO_SHORT,4537,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g6E,UNKNOWN,12169,6.1,743,6.0,2.0,3.8,38.2,6.1,0.3,6.1,0.0,6.0,1.9,3.7,38.9
