gate,phase,blocker,bps,pf_before,pf_after,net_before,net_after,n_after
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10E,0,0.643,0.536,-123.1,-137.1,325
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10E,5,0.573,0.478,-156.0,-163.6,325
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10E,10,0.511,0.426,-188.9,-190.1,325
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10F,0,0.643,0.587,-123.1,-59.0,174
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10F,5,0.573,0.523,-156.0,-72.2,174
g6A,TREND_DOWN_ABSORPTION_REVERSAL,b10F,10,0.511,0.467,-188.9,-85.4,174
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10E,0,1.471,1.421,135.2,62.8,331
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10E,5,1.312,1.267,95.0,42.3,331
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10E,10,1.17,1.13,54.8,21.8,331
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10F,0,1.471,1.663,135.2,32.6,111
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10F,5,1.312,1.484,95.0,25.2,111
g6A,RANGE_ACCUMULATION_UNDER_PRESSURE,b10F,10,1.17,1.323,54.8,17.8,111
g6A,LOW_VOL_NO_CONTROL_CHOP,b10E,0,2.023,1.872,162.7,118.7,560
g6A,LOW_VOL_NO_CONTROL_CHOP,b10E,5,1.804,1.67,135.7,96.7,560
g6A,LOW_VOL_NO_CONTROL_CHOP,b10E,10,1.609,1.489,108.7,74.7,560
g6A,LOW_VOL_NO_CONTROL_CHOP,b10F,0,2.023,2.13,162.7,76.0,275
g6A,LOW_VOL_NO_CONTROL_CHOP,b10F,5,1.804,1.9,135.7,64.2,275
g6A,LOW_VOL_NO_CONTROL_CHOP,b10F,10,1.609,1.694,108.7,52.4,275
g6A,ALL_VALID_SHORT,b10E,0,1.917,1.897,233.1,166.2,500
g6A,ALL_VALID_SHORT,b10E,5,1.71,1.692,191.4,136.0,500
g6A,ALL_VALID_SHORT,b10E,10,1.525,1.509,149.7,105.8,500
g6A,ALL_VALID_SHORT,b10F,0,1.917,1.977,233.1,112.1,307
g6A,ALL_VALID_SHORT,b10F,5,1.71,1.763,191.4,92.9,307
g6A,ALL_VALID_SHORT,b10F,10,1.525,1.572,149.7,73.7,307
g6E,LOW_VOL_NO_CONTROL_CHOP,b10E,0,3.601,3.504,243.2,229.9,668
g6E,LOW_VOL_NO_CONTROL_CHOP,b10E,5,3.212,3.125,219.4,207.0,668
g6E,LOW_VOL_NO_CONTROL_CHOP,b10E,10,2.865,2.787,195.6,184.1,668
g6E,LOW_VOL_NO_CONTROL_CHOP,b10F,0,3.601,3.803,243.2,156.3,378
g6E,LOW_VOL_NO_CONTROL_CHOP,b10F,5,3.212,3.391,219.4,141.5,378
g6E,LOW_VOL_NO_CONTROL_CHOP,b10F,10,2.865,3.025,195.6,126.7,378
g6E,ALL_VALID_SHORT,b10E,0,1.992,1.985,247.3,245.5,698
g6E,ALL_VALID_SHORT,b10E,5,1.777,1.77,205.4,203.7,698
g6E,ALL_VALID_SHORT,b10E,10,1.585,1.579,163.5,161.9,698
g6E,ALL_VALID_SHORT,b10F,0,1.992,2.216,247.3,215.3,502
g6E,ALL_VALID_SHORT,b10F,5,1.777,1.976,205.4,183.4,502
g6E,ALL_VALID_SHORT,b10F,10,1.585,1.763,163.5,151.5,502
