zone_id,date,direction,triggerTs_iso,engine_status,filter_kept,mfe_1h,mae_1h,mfe_4h,mae_4h,mfe_8h,mae_8h,mfe_24h,mae_24h,reached_0_5pct_24h,reached_1pct_24h,reached_1_5pct_24h,reached_2pct_24h,stopped_0_5pct_24h,stopped_1pct_24h
BTCUSDT-SHORT-1779015183000-2,2026-05-17,SHORT,2026-05-17T11:01:21.000+00:00,RESOLVED_FAILED,True,0.1009,0.1111,0.611,0.2217,0.6718,0.2217,1.9556,0.2217,True,True,True,False,False,False
BTCUSDT-LONG-1779016874000-4,2026-05-17,LONG,2026-05-17T12:36:20.000+00:00,RESOLVED_FAILED,False,0.0161,0.4601,0.0161,0.8148,0.0161,0.8755,0.0161,2.1567,False,False,False,False,True,True
BTCUSDT-LONG-1779015977000-3,2026-05-17,LONG,2026-05-17T12:36:25.000+00:00,RESOLVED_FAILED,False,0.002,0.4741,0.002,0.8289,0.002,0.8895,0.002,2.1706,False,False,False,False,True,True
BTCUSDT-SHORT-1779017287000-5,2026-05-17,SHORT,2026-05-17T13:14:31.000+00:00,RESOLVED_FAILED,False,0.2595,0.1169,0.4865,0.1169,0.5205,0.2697,1.8064,0.2927,True,True,True,False,False,False
BTCUSDT-SHORT-1779024730000-7,2026-05-17,SHORT,2026-05-17T14:00:53.000+00:00,RESOLVED_FAILED,False,0.3377,0.0396,0.3987,0.0396,0.3987,0.4156,1.6861,0.4156,True,True,True,False,False,False
BTCUSDT-SHORT-1779035421000-12,2026-05-17,SHORT,2026-05-17T17:01:32.000+00:00,RESOLVED_FAILED,True,0.1035,0.2073,0.1035,0.69,1.3947,0.7131,1.3947,0.7131,True,True,False,False,True,False
BTCUSDT-LONG-1779037592000-13,2026-05-17,LONG,2026-05-17T18:04:26.000+00:00,RESOLVED_FAILED,True,0.0387,0.3146,0.3073,0.3146,0.3073,1.792,0.3073,1.792,False,False,False,False,True,True
BTCUSDT-LONG-1779026419000-8,2026-05-17,LONG,2026-05-17T19:42:06.000+00:00,RESOLVED_FAILED,False,0.1086,0.1762,0.1315,1.9641,0.1315,1.9641,0.1315,1.9641,False,False,False,False,True,True
BTCUSDT-LONG-1779027124000-9,2026-05-17,LONG,2026-05-17T22:07:07.000+00:00,RESOLVED_FAILED,False,0.0044,0.6147,0.0044,1.8529,0.0044,1.8529,0.0044,1.8529,False,False,False,False,True,True
BTCUSDT-SHORT-1779041325000-15,2026-05-17,SHORT,2026-05-17T22:10:24.000+00:00,RESOLVED_FAILED,False,0.3183,0.1872,1.4895,0.1872,1.4895,0.1872,1.4895,0.1872,True,True,False,False,False,False
BTCUSDT-SHORT-1779056622000-16,2026-05-17,SHORT,2026-05-17T22:52:26.000+00:00,RESOLVED_FAILED,False,1.2697,0.2291,1.2697,0.2291,1.2697,0.2291,1.2697,0.2291,True,True,False,False,False,False
BTCUSDT-SHORT-1779060364000-18,2026-05-17,SHORT,2026-05-17T23:40:25.000+00:00,RESOLVED_FAILED,False,1.055,-0.0204,1.055,-0.0204,1.055,-0.0204,1.055,-0.0204,True,True,False,False,False,False
BTCUSDT-SHORT-1779062431000-1,2026-05-18,SHORT,2026-05-18T00:27:50.000+00:00,RESOLVED_FAILED,True,0.2414,0.3209,0.4377,0.3209,0.615,0.3209,1.287,0.9657,True,True,False,False,True,False
BTCUSDT-SHORT-1779067611000-5,2026-05-18,SHORT,2026-05-18T01:37:18.000+00:00,RESOLVED_FAILED,True,0.1089,0.5291,0.1467,0.5291,0.3245,0.5291,0.9985,1.2609,True,False,False,False,True,True
BTCUSDT-LONG-1779064698000-4,2026-05-18,LONG,2026-05-18T01:56:27.000+00:00,RESOLVED_FAILED,True,0.1181,0.5549,0.1181,0.5549,0.1181,0.732,0.8469,1.4032,True,False,False,False,True,True
BTCUSDT-SHORT-1779067908000-6,2026-05-18,SHORT,2026-05-18T06:10:21.000+00:00,RESOLVED_FAILED,False,0.0458,0.5176,0.0458,0.756,0.0458,1.544,0.7216,1.544,True,False,False,False,True,True
BTCUSDT-SHORT-1779063254000-3,2026-05-18,SHORT,2026-05-18T06:10:22.000+00:00,RESOLVED_FAILED,False,0.0739,0.4894,0.0739,0.7276,0.0739,1.5154,0.7496,1.5154,True,False,False,False,True,True
BTCUSDT-SHORT-1779063098000-2,2026-05-18,SHORT,2026-05-18T06:10:37.000+00:00,RESOLVED_FAILED,False,-0.0085,0.4646,-0.0085,0.7028,-0.0085,1.4905,0.774,1.4905,True,False,False,False,True,True
BTCUSDT-LONG-1779068145000-7,2026-05-18,LONG,2026-05-18T11:41:13.000+00:00,RESOLVED_FAILED,False,0.4877,0.1358,0.6061,1.6386,0.6061,1.6386,0.6061,1.6386,True,False,False,False,True,True
BTCUSDT-SHORT-1779106047000-9,2026-05-18,SHORT,2026-05-18T12:27:11.000+00:00,RESOLVED_FAILED,True,0.0113,0.6265,1.6187,0.6265,1.6187,0.6265,1.6187,0.6265,True,True,True,False,True,False
BTCUSDT-SHORT-1779114558000-14,2026-05-18,SHORT,2026-05-18T15:02:34.000+00:00,RESOLVED_FAILED,True,0.2013,0.3845,0.2013,0.729,0.2013,1.3348,0.2013,1.3348,False,False,False,False,True,True
BTCUSDT-SHORT-1779115478000-16,2026-05-18,SHORT,2026-05-18T15:03:58.000+00:00,RESOLVED_FAILED,False,0.0955,0.4909,0.0955,1.0596,0.0955,1.4423,0.0955,1.4423,False,False,False,False,True,True
BTCUSDT-LONG-1779125594000-20,2026-05-18,LONG,2026-05-18T17:51:21.000+00:00,RESOLVED_FAILED,True,0.0271,0.7682,0.5905,0.7682,0.6287,0.7682,0.6287,0.7682,True,False,False,False,True,False
BTCUSDT-LONG-1779118453000-19,2026-05-18,LONG,2026-05-18T19:02:03.000+00:00,RESOLVED_FAILED,False,0.3644,0.27,0.6122,0.27,0.6122,0.27,0.6122,0.27,True,False,False,False,False,False
BTCUSDT-LONG-1779132063000-23,2026-05-18,LONG,2026-05-18T19:45:03.000+00:00,RESOLVED_FAILED,False,0.3413,0.1273,0.3794,0.1845,0.3794,0.1845,0.3794,0.1845,False,False,False,False,False,False
BTCUSDT-SHORT-1779149821000-2,2026-05-19,SHORT,2026-05-19T01:19:12.000+00:00,RESOLVED_FAILED,True,0.3506,0.303,0.3506,0.325,0.3506,0.7428,0.7941,0.7428,True,False,False,False,True,False
BTCUSDT-SHORT-1779148846000-1,2026-05-19,SHORT,2026-05-19T01:25:19.000+00:00,RESOLVED_FAILED,False,0.2858,0.3902,0.2858,0.3902,0.2858,0.8082,0.7297,0.8082,True,False,False,False,True,False
BTCUSDT-SHORT-1779150050000-3,2026-05-19,SHORT,2026-05-19T01:26:06.000+00:00,RESOLVED_FAILED,False,0.2002,0.4764,0.2002,0.4764,0.2002,0.8948,0.6444,0.8948,True,False,False,False,True,False
BTCUSDT-SHORT-1779154395000-5,2026-05-19,SHORT,2026-05-19T02:04:42.000+00:00,RESOLVED_FAILED,False,0.0001,0.6696,0.0001,0.6806,0.0001,1.0888,0.4534,1.0888,False,False,False,False,True,True
BTCUSDT-LONG-1779158481000-7,2026-05-19,LONG,2026-05-19T04:11:28.000+00:00,RESOLVED_FAILED,True,0.0166,0.3133,0.4535,0.3899,0.5087,0.3927,0.5087,1.0247,True,False,False,False,True,True
BTCUSDT-SHORT-1779174857000-9,2026-05-19,SHORT,2026-05-19T08:26:19.000+00:00,RESOLVED_FAILED,False,0.2947,0.4123,0.4882,0.4123,1.1196,0.4123,1.1196,0.4123,True,True,False,False,False,False
BTCUSDT-SHORT-1779172021000-8,2026-05-19,SHORT,2026-05-19T09:16:35.000+00:00,RESOLVED_FAILED,False,0.2822,0.0682,0.3785,0.2294,1.0106,0.2294,1.0106,0.2294,True,True,False,False,False,False
BTCUSDT-LONG-1779156486000-6,2026-05-19,LONG,2026-05-19T13:37:12.000+00:00,RESOLVED_FAILED,False,0.0238,1.0256,0.0238,1.1673,0.0419,1.1673,0.0419,1.1673,False,False,False,False,True,True
BTCUSDT-SHORT-1779197522000-13,2026-05-19,SHORT,2026-05-19T14:18:05.000+00:00,RESOLVED_FAILED,True,0.5022,0.1977,0.5022,0.6503,0.5022,0.7151,0.5022,0.7151,True,False,False,False,True,False
BTCUSDT-LONG-1779203441000-18,2026-05-19,LONG,2026-05-19T15:15:28.000+00:00,RESOLVED_FAILED,True,0.0356,0.316,0.5521,0.316,0.5521,0.316,0.5521,0.316,True,False,False,False,False,False
BTCUSDT-SHORT-1779235367000-1,2026-05-20,SHORT,2026-05-20T00:08:27.000+00:00,RESOLVED_FAILED,True,0.1014,0.3406,0.1014,0.4227,0.1014,1.1511,0.1014,1.5314,False,False,False,False,True,True
BTCUSDT-SHORT-1779261829000-7,2026-05-20,SHORT,2026-05-20T13:28:12.000+00:00,RESOLVED_FAILED,False,-0.0107,0.836,-0.0107,1.1449,-0.0107,1.1542,-0.0107,1.1542,False,False,False,False,True,True
BTCUSDT-SHORT-1779281813000-9,2026-05-20,SHORT,2026-05-20T13:29:14.000+00:00,RESOLVED_FAILED,False,-0.0097,0.8349,-0.0097,1.1439,-0.0097,1.1531,-0.0097,1.1531,False,False,False,False,True,True
BTCUSDT-SHORT-1779255181000-6,2026-05-20,SHORT,2026-05-20T13:36:01.000+00:00,RESOLVED_FAILED,False,-0.1404,0.9667,-0.1404,1.276,-0.1404,1.2853,-0.1404,1.2853,False,False,False,False,True,True
BTCUSDT-SHORT-1779266372000-8,2026-05-20,SHORT,2026-05-20T13:36:06.000+00:00,RESOLVED_FAILED,False,-0.1561,0.9825,-0.1561,1.2919,-0.1561,1.3011,-0.1561,1.3011,False,False,False,False,True,True
BTCUSDT-SHORT-1779253868000-5,2026-05-20,SHORT,2026-05-20T13:37:32.000+00:00,RESOLVED_FAILED,False,-0.206,1.0329,-0.206,1.3424,-0.206,1.3517,-0.206,1.3517,False,False,False,False,True,True
