zone_id,date,direction,class_label,triggerPrice,fixed_24h_result,fixed_24h_pnl_pct,nostop_24h_result,nostop_24h_pnl_pct
BTCUSDT-SHORT-1779015183000-2,2026-05-17,SHORT,failed_triggered,78340.15,TIMEOUT,0.0,EXIT_AT_HORIZON,1.1614095709543464
BTCUSDT-LONG-1779016874000-4,2026-05-17,LONG,failed_triggered,78501.15,STOPPED_LOSS,-1.0,EXIT_AT_HORIZON,-1.3641201434628554
BTCUSDT-LONG-1779015977000-3,2026-05-17,LONG,failed_triggered,78512.25,STOPPED_LOSS,-1.0,EXIT_AT_HORIZON,-1.3780652063849872
BTCUSDT-SHORT-1779017287000-5,2026-05-17,SHORT,failed_triggered,78221.05,TIMEOUT,0.0,EXIT_AT_HORIZON,1.0109171380338158
BTCUSDT-SHORT-1779024730000-7,2026-05-17,SHORT,failed_triggered,78125.35,TIMEOUT,0.0,EXIT_AT_HORIZON,0.8896600143231395
BTCUSDT-LONG-1779014697000-1,2026-05-17,LONG,invalidated_or_expired,78440.05,UNKNOWN,,UNKNOWN,
BTCUSDT-LONG-1779027655000-10,2026-05-17,LONG,invalidated_or_expired,77927.875,UNKNOWN,,UNKNOWN,
BTCUSDT-SHORT-1779035421000-12,2026-05-17,SHORT,failed_triggered,77894.5,TIMEOUT,0.0,EXIT_AT_HORIZON,0.5959342443946583
BTCUSDT-LONG-1779037592000-13,2026-05-17,LONG,failed_triggered,78209.65,STOPPED_LOSS,-1.0,EXIT_AT_HORIZON,-0.9964882850134112
BTCUSDT-SHORT-1779037981000-14,2026-05-17,SHORT,invalidated_or_expired,77880.75,UNKNOWN,,UNKNOWN,
BTCUSDT-LONG-1779026419000-8,2026-05-17,LONG,failed_triggered,78346.95,STOPPED_LOSS,-1.0,EXIT_AT_HORIZON,-1.1699881105773666
BTCUSDT-SHORT-1779027927000-11,2026-05-17,SHORT,invalidated_or_expired,77931.36924999999,UNKNOWN,,UNKNOWN,
BTCUSDT-LONG-1779027124000-9,2026-05-17,LONG,failed_triggered,78258.15,STOPPED_LOSS,-1.0,EXIT_AT_HORIZON,-1.0578450934503196
BTCUSDT-SHORT-1779041325000-15,2026-05-17,SHORT,failed_triggered,77969.45,TIMEOUT,0.0,EXIT_AT_HORIZON,0.6914887818241557
BTCUSDT-SHORT-1779056622000-16,2026-05-17,SHORT,failed_triggered,77795.9,TIMEOUT,0.0,EXIT_AT_HORIZON,0.46994764505583364
BTCUSDT-LONG-1779023985000-6,2026-05-17,LONG,invalidated_or_expired,78222.45,UNKNOWN,,UNKNOWN,
BTCUSDT-SHORT-1779060364000-18,2026-05-17,SHORT,failed_triggered,77627.05,TIMEOUT,0.0,EXIT_AT_HORIZON,0.2534554643001376
BTCUSDT-LONG-1779059574000-17,2026-05-17,LONG,invalidated_or_expired,77744.7026375,UNKNOWN,,UNKNOWN,
BTCUSDT-SHORT-1779060973000-19,2026-05-17,SHORT,no_trigger,77383.95,UNKNOWN,,UNKNOWN,
BTCUSDT-SHORT-1779061938000-20,2026-05-17,SHORT,no_trigger,77106.8562,UNKNOWN,,UNKNOWN,
BTCUSDT-SHORT-1779062431000-1,2026-05-18,SHORT,failed_triggered,77008.2,TIMEOUT,0.0,EXIT_AT_HORIZON,0.056487490942523005
BTCUSDT-SHORT-1779067611000-5,2026-05-18,SHORT,failed_triggered,76783.75,STOPPED_LOSS,-1.0,EXIT_AT_HORIZON,-0.23566184251224653
BTCUSDT-LONG-1779064698000-4,2026-05-18,LONG,failed_triggered,77098.95,STOPPED_LOSS,-1.0,EXIT_AT_HORIZON,-0.1741268849964883
