symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTCUSDT,2026-05-17,BTCUSDT-SHORT-1779015183000-2,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-17T10:53:03.000Z,2026-05-17T10:56:47.000Z,2026-05-17T11:01:21.000Z,2026-05-18T11:01:21.000Z,78380.440175,78458.85982499999,78340.15,76773.347,0.6431,0.0000,-0.3145,0.9926,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.956,0.224,,,,,,candidate@2026-05-17T10:53:03.000Z|confirmed@2026-05-17T10:56:47.000Z|trigger@2026-05-17T11:01:21.000Z|expire@2026-05-18T11:01:21.000Z
BTCUSDT,2026-05-17,BTCUSDT-LONG-1779016874000-4,LONG,ACCUMULATION,RESOLVED_FAILED,2026-05-17T11:21:14.000Z,2026-05-17T11:33:26.000Z,2026-05-17T12:36:20.000Z,2026-05-18T12:36:20.000Z,78256.802025,78341.95,78501.15,80071.173,0.7851,0.0000,0.0866,0.9863,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.019,2.157,,,,,,candidate@2026-05-17T11:21:14.000Z|confirmed@2026-05-17T11:33:26.000Z|trigger@2026-05-17T12:36:20.000Z|expire@2026-05-18T12:36:20.000Z
BTCUSDT,2026-05-17,BTCUSDT-LONG-1779015977000-3,LONG,ACCUMULATION,RESOLVED_FAILED,2026-05-17T11:06:17.000Z,2026-05-17T11:21:14.000Z,2026-05-17T12:36:25.000Z,2026-05-18T12:36:25.000Z,78261.15,78420.95,78512.25,80082.495,0.6366,0.0000,-0.1354,0.9688,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.004,2.171,,,,,,candidate@2026-05-17T11:06:17.000Z|confirmed@2026-05-17T11:21:14.000Z|trigger@2026-05-17T12:36:25.000Z|expire@2026-05-18T12:36:25.000Z
BTCUSDT,2026-05-17,BTCUSDT-SHORT-1779017287000-5,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-17T11:28:07.000Z,2026-05-17T11:38:30.000Z,2026-05-17T13:14:31.000Z,2026-05-18T13:14:31.000Z,78261.15,78367.65,78221.05,76656.629,0.6918,0.0000,-0.0283,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.806,0.297,,,,,,candidate@2026-05-17T11:28:07.000Z|confirmed@2026-05-17T11:38:30.000Z|trigger@2026-05-17T13:14:31.000Z|expire@2026-05-18T13:14:31.000Z
BTCUSDT,2026-05-17,BTCUSDT-SHORT-1779024730000-7,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-17T13:32:10.000Z,2026-05-17T13:40:13.000Z,2026-05-17T14:00:53.000Z,2026-05-18T14:00:53.000Z,78187.83652499999,78312.45,78125.35,76562.84300000001,0.6177,0.0000,-0.0046,0.9689,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.686,0.419,,,,,,candidate@2026-05-17T13:32:10.000Z|confirmed@2026-05-17T13:40:13.000Z|trigger@2026-05-17T14:00:53.000Z|expire@2026-05-18T14:00:53.000Z
BTCUSDT,2026-05-17,BTCUSDT-LONG-1779014697000-1,LONG,ACCUMULATION,INVALIDATED,2026-05-17T10:44:57.000Z,2026-05-17T10:48:00.000Z,,2026-05-17T14:15:13.000Z,78400.829975,78479.270025,,,0.6156,0.4736,-0.2675,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-17T10:44:57.000Z|confirmed@2026-05-17T10:48:00.000Z|invalidate@2026-05-17T14:15:13.000Z
BTCUSDT,2026-05-17,BTCUSDT-LONG-1779027655000-10,LONG,ACCUMULATION,EXPIRED,2026-05-17T14:20:55.000Z,,,2026-05-17T15:20:56.000Z,77877.05,77978.7,,,0.6439,0.0000,0.1751,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,CROSSED,,,,,candidate@2026-05-17T14:20:55.000Z|expire@2026-05-17T15:20:56.000Z
BTCUSDT,2026-05-17,BTCUSDT-SHORT-1779035421000-12,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-17T16:30:21.000Z,2026-05-17T16:33:21.000Z,2026-05-17T17:01:32.000Z,2026-05-18T17:01:32.000Z,77960.90005,78038.89994999999,77894.5,76336.61,0.7631,0.0086,0.3241,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.395,0.717,CROSSED,,,,,candidate@2026-05-17T16:30:21.000Z|confirmed@2026-05-17T16:33:21.000Z|trigger@2026-05-17T17:01:32.000Z|expire@2026-05-18T17:01:32.000Z
BTCUSDT,2026-05-17,BTCUSDT-LONG-1779037592000-13,LONG,ACCUMULATION,RESOLVED_FAILED,2026-05-17T17:06:32.000Z,2026-05-17T17:16:23.000Z,2026-05-17T18:04:26.000Z,2026-05-18T18:04:26.000Z,77840.55,77958.96,78209.65,79773.843,0.6201,0.0000,0.1843,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.311,1.792,CROSSED,,,,,candidate@2026-05-17T17:06:32.000Z|confirmed@2026-05-17T17:16:23.000Z|trigger@2026-05-17T18:04:26.000Z|expire@2026-05-18T18:04:26.000Z
BTCUSDT,2026-05-17,BTCUSDT-SHORT-1779037981000-14,SHORT,DISTRIBUTION,INVALIDATED,2026-05-17T17:13:01.000Z,2026-05-17T17:25:25.000Z,,2026-05-17T19:40:44.000Z,77811.55,77949.95,,,0.6051,0.0000,0.2982,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-17T17:13:01.000Z|confirmed@2026-05-17T17:25:25.000Z|invalidate@2026-05-17T19:40:44.000Z
