symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTCUSDT,2026-05-19,BTCUSDT-SHORT-1779149821000-2,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-19T00:17:01.000Z,2026-05-19T00:20:01.000Z,2026-05-19T01:19:12.000Z,2026-05-20T01:19:12.000Z,76783.039275,76859.86072499999,76720.25,75185.845,0.7012,0.3320,0.7547,0.9771,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.799,0.744,CROSSED,,,,,candidate@2026-05-19T00:17:01.000Z|confirmed@2026-05-19T00:20:01.000Z|trigger@2026-05-19T01:19:12.000Z|expire@2026-05-20T01:19:12.000Z
BTCUSDT,2026-05-19,BTCUSDT-SHORT-1779148846000-1,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-19T00:00:46.000Z,2026-05-19T00:06:29.000Z,2026-05-19T01:25:19.000Z,2026-05-20T01:25:19.000Z,76709.85,76797.129375,76670.45,75137.041,0.6016,0.3202,0.5203,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.735,0.810,CROSSED,,,,,candidate@2026-05-19T00:00:46.000Z|confirmed@2026-05-19T00:06:29.000Z|trigger@2026-05-19T01:25:19.000Z|expire@2026-05-20T01:25:19.000Z
BTCUSDT,2026-05-19,BTCUSDT-SHORT-1779150050000-3,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-19T00:20:50.000Z,2026-05-19T00:23:50.000Z,2026-05-19T01:26:06.000Z,2026-05-20T01:26:06.000Z,76848.25665,76942.9,76604.65,75072.55699999999,0.7652,0.4995,0.9713,0.9930,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.650,0.896,CROSSED,,,,,candidate@2026-05-19T00:20:50.000Z|confirmed@2026-05-19T00:23:50.000Z|trigger@2026-05-19T01:26:06.000Z|expire@2026-05-20T01:26:06.000Z
BTCUSDT,2026-05-19,BTCUSDT-SHORT-1779154395000-5,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-19T01:33:15.000Z,2026-05-19T01:36:15.000Z,2026-05-19T02:04:42.000Z,2026-05-20T02:04:42.000Z,76616.97234999998,76696.04999999999,76457.65,74928.49699999999,0.7097,0.1708,0.2656,0.9673,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.458,1.090,CROSSED,,,,,candidate@2026-05-19T01:33:15.000Z|confirmed@2026-05-19T01:36:15.000Z|trigger@2026-05-19T02:04:42.000Z|expire@2026-05-20T02:04:42.000Z
BTCUSDT,2026-05-19,BTCUSDT-LONG-1779158481000-7,LONG,ACCUMULATION,RESOLVED_FAILED,2026-05-19T02:41:21.000Z,2026-05-19T03:27:13.000Z,2026-05-19T04:11:28.000Z,2026-05-20T04:11:28.000Z,76550.05,76836.95,76898.95,78436.929,0.7534,0.0000,0.0540,0.9954,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.510,1.030,,,,,,candidate@2026-05-19T02:41:21.000Z|confirmed@2026-05-19T03:27:13.000Z|trigger@2026-05-19T04:11:28.000Z|expire@2026-05-20T04:11:28.000Z
BTCUSDT,2026-05-19,BTCUSDT-SHORT-1779154267000-4,SHORT,DISTRIBUTION,INVALIDATED,2026-05-19T01:31:07.000Z,2026-05-19T01:34:07.000Z,,2026-05-19T06:44:38.000Z,76559.5011,76672.9,,,0.6183,0.0906,0.1910,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,CROSSED,,,,,candidate@2026-05-19T01:31:07.000Z|confirmed@2026-05-19T01:34:07.000Z|invalidate@2026-05-19T06:44:38.000Z
BTCUSDT,2026-05-19,BTCUSDT-SHORT-1779174857000-9,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-19T07:14:17.000Z,2026-05-19T07:23:07.000Z,2026-05-19T08:26:19.000Z,2026-05-20T08:26:19.000Z,77052.40452499999,77231.85,76972.75,75433.295,0.6992,0.1163,-0.0449,0.9648,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.125,0.414,,,,,,candidate@2026-05-19T07:14:17.000Z|confirmed@2026-05-19T07:23:07.000Z|trigger@2026-05-19T08:26:19.000Z|expire@2026-05-20T08:26:19.000Z
BTCUSDT,2026-05-19,BTCUSDT-SHORT-1779172021000-8,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-19T06:27:01.000Z,2026-05-19T06:32:46.000Z,2026-05-19T09:16:35.000Z,2026-05-20T09:16:35.000Z,76935.063225,77031.75,76888.05,75350.289,0.6387,0.0000,-0.0835,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.016,0.237,,,,,,candidate@2026-05-19T06:27:01.000Z|confirmed@2026-05-19T06:32:46.000Z|trigger@2026-05-19T09:16:35.000Z|expire@2026-05-20T09:16:35.000Z
BTCUSDT,2026-05-19,BTCUSDT-LONG-1779177003000-11,LONG,ACCUMULATION,INVALIDATED,2026-05-19T07:50:03.000Z,2026-05-19T07:53:08.000Z,,2026-05-19T09:26:05.000Z,77177.34202499999,77254.557975,,,0.6003,0.0000,-0.1409,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-19T07:50:03.000Z|confirmed@2026-05-19T07:53:08.000Z|invalidate@2026-05-19T09:26:05.000Z
BTCUSDT,2026-05-19,BTCUSDT-LONG-1779175695000-10,LONG,ACCUMULATION,INVALIDATED,2026-05-19T07:28:15.000Z,2026-05-19T07:31:15.000Z,,2026-05-19T09:32:13.000Z,77070.995225,77148.104775,,,0.6187,0.0000,0.0449,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-19T07:28:15.000Z|confirmed@2026-05-19T07:31:15.000Z|invalidate@2026-05-19T09:32:13.000Z
