zone_id,date,dir,label,dl2_supp_minus_opp_net_flow_15m,dl2_supp_minus_opp_net_flow_15m__z_day,dl2_microprice_aligned_delta_5m_bps,dl2_microprice_aligned_delta_5m_bps__z_day,supportive_taker_imb_15m,supportive_taker_imb_15m__z_day,taker_imbalance_15m,taker_imbalance_15m__z_day,book_entropy_top25,book_entropy_top25__z_day,spread_instability_5m_bps,spread_instability_5m_bps__z_day,depth_imbalance_top25,depth_imbalance_top25__z_day,ms_thin_path_score,ms_thin_path_score__z_day,dl2_supp_refill_ratio_5m,dl2_supp_refill_ratio_5m__z_day,eng_ofi,eng_ofi__z_day,eng_refill,eng_refill__z_day,eng_void,eng_void__z_day,eng_absorption,eng_absorption__z_day,explainable_score,explainable_score__z_day,uniq_score_pctile_vs_prior
BTCUSDT-LONG-1779321652000-1,2026-05-21,LONG,NOISE,-2495.146,-3.863,,,0.2889,2.344,0.2889,2.029,0.4035,0.547,,,0.1165,-0.179,0.1017,-0.917,1.0231,3.724,-0.1671411463048484,-0.446,0.5003408049282368,-0.186,0.17518021037309883,0.064,0.6041174176108274,-1.108,0.6664,0.137,
BTCUSDT-LONG-1779323426000-2,2026-05-21,LONG,NOISE,-267.202,-0.429,0.421,-0.392,0.0101,0.371,0.0101,0.134,0.2767,-1.115,0.0017,-0.393,0.7694,0.844,0.1005,-1.428,1.0065,0.662,-0.310690541534475,-1.027,0.5020709051589005,0.579,0.10094765956072849,-0.363,0.6878333666835797,0.939,0.4101,-0.303,50.0
BTCUSDT-LONG-1779325402000-5,2026-05-21,LONG,NOISE,254.492,0.375,0.002,-0.549,0.1755,1.542,0.1755,1.258,0.528,2.18,0.0018,-0.373,0.1447,-0.135,0.0995,-1.854,1.0017,-0.224,-0.44559974641224487,-1.573,0.5016776900599443,0.405,0.5237725392039939,2.071,0.6154539484803706,-0.83,0.7458,0.273,100.0
BTCUSDT-SHORT-1779323772000-3,2026-05-21,SHORT,MID,376.904,0.564,,,-0.0929,-0.358,0.0929,0.697,0.3047,-0.748,0.0015,-0.433,0.5904,0.563,0.107,1.339,1.012,1.676,-0.30941691291720685,-1.022,0.5005527177257231,-0.092,0.08741608396794676,-0.441,0.6604049289689329,0.268,0.2324,-0.608,0.0
BTCUSDT-LONG-1779326696000-8,2026-05-21,LONG,NOISE,137.521,0.195,-0.164,-0.611,-0.1367,-0.668,-0.1367,-0.863,0.3147,-0.617,0.0038,0.021,0.7919,0.879,0.0999,-1.684,1.0028,-0.021,-0.2199062451225222,-0.66,0.5030132863096589,0.996,0,-0.945,0.6287645692934904,-0.505,-0.0412,-1.078,14.3
BTCUSDT-LONG-1779331245000-9,2026-05-21,LONG,NOISE,26.552,0.024,-0.002,-0.55,0.0047,0.333,0.0047,0.097,0.4163,0.715,0.001,-0.531,0.5259,0.462,0.1,-1.641,1.0006,-0.427,-0.41423423558518535,-1.447,0.5002714261638255,-0.216,0.3795153979939432,1.24,0.6927023979360852,1.058,0.6754,0.152,62.5
BTCUSDT-SHORT-1779342844000-10,2026-05-21,SHORT,MID,144.098,0.205,1.944,0.177,0.1398,1.289,-0.1398,-0.885,0.3347,-0.355,0.0018,-0.373,0.976,1.168,0.1055,0.701,1.0012,-0.316,0.18617865286326907,0.984,0.5033354053212195,1.139,0.4219923175415663,1.485,0.7249588696409591,1.847,1.7031,1.917,100.0
BTCUSDT-LONG-1779344451000-11,2026-05-21,LONG,NOISE,-210.267,-0.341,0.191,-0.478,-0.1685,-0.893,-0.1685,-1.08,0.3523,-0.124,0.0027,-0.196,-0.6382,-1.362,0.1009,-1.258,0.9999,-0.556,0.17186157733889593,0.926,0.5021450336028647,0.612,0,-0.945,0.6627864448869842,0.327,-0.1325,-1.235,10.0
BTCUSDT-SHORT-1779346581000-12,2026-05-21,SHORT,MID,32.899,0.034,-0.164,-0.611,0.0829,0.886,-0.0829,-0.498,0.2631,-1.294,0.0013,-0.472,-0.4958,-1.139,0.1056,0.743,0.9953,-1.404,0.1974194213650275,1.03,0.49186561154469627,-3.933,0.3792174601374606,1.239,0.6082376755451304,-1.007,0.1819,-0.695,27.3
BTCUSDT-SHORT-1779357069000-14,2026-05-21,SHORT,MID,53.611,0.065,0.003,-0.549,0.097,0.986,-0.097,-0.594,0.4381,1.001,0.0013,-0.472,0.5638,0.522,0.105,0.488,1.0032,0.053,0.21089560863836293,1.084,0.5019269140411259,0.516,0.3783690576844938,1.234,0.6803179902448272,0.755,1.0853,0.856,75.0
