date,dir,setup,label,outcome,pnl_after_cost,eng_ofi,eng_refill,eng_absorption,supp_taker_imb_15m,inband_sell_share_30m,supp_minus_opp_15m,microprice_5m_bps,inband_opp_cancel_15m,inband_supp_add_5m,reclaim_mid,higher_low,lower_low_pre,regime_1d,trend_against,post_mfe_pct,post_mae_pct,classification,evidence
2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.371,-0.5332207126569236,0.5017228622019346,0.600333555447587,-0.1237,0.4501,-414.439,6.54,167021.404,46598.875,1,,,RANGE,0,1.461187,0.444536,REAL_DISTRIBUTION,ofi -0.53<0; supp_taker_imb -0.12<0; rejected mid
2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,0.5339892290334477,0.500334301716198,0.6359206287510066,-0.1741,0.5475,-37.543,,103920.986,0.0,0,0,1,RANGE,0,2.019052,0.299109,FAKE_DISTRIBUTION_PULLBACK_NOISE,ofi 0.53>0 (buy flow under sell zone); supp_taker_imb -0.17<0; no rejection
2026-05-23,LONG,ACCUMULATION,NOISE,LOSS,-1.64,-0.9793417233974,0.49806903636343947,0.6616696397437174,-0.043,,1651.095,0.0,15773.18,0.0,0,0,1,BEAR,1,0.180801,1.519527,FAKE_ACCUMULATION_BOUNCE_NOISE,ofi -0.98<0 (sell flow under buy zone); supp_taker_imb -0.04<0; no reclaim; lower-low pre; 1d regime BEAR vs LONG
2026-05-24,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.76,0.9942797230830904,0.5096827811508585,0.6054751884458949,0.1443,,-3020.726,-0.0,17671.511,0.0,0,1,0,BULL,1,0.773786,1.240589,FAKE_DISTRIBUTION_PULLBACK_NOISE,ofi 0.99>0 (buy flow under sell zone); no rejection; 1d regime BULL vs SHORT
2026-05-25,SHORT,DISTRIBUTION,MID,TIMEOUT,0.6451,0.4908616669232077,0.5010128811161991,0.7932557865901327,-0.2697,0.541,-755.6,-0.0,120864.897,8159.501,0,1,0,RANGE,0,1.057018,0.695801,FAKE_DISTRIBUTION_PULLBACK_NOISE,ofi 0.49>0 (buy flow under sell zone); supp_taker_imb -0.27<0; no rejection
2026-05-26,LONG,ACCUMULATION,NOISE,LOSS,-1.64,-0.4342596484179097,0.5087613842968474,0.6070252039156816,-0.2975,0.6032,720.849,,86055.901,0.0,0,1,0,RANGE,0,1.271518,1.509531,FAKE_ACCUMULATION_BOUNCE_NOISE,ofi -0.43<0 (sell flow under buy zone); supp_taker_imb -0.30<0; no reclaim; higher-low; refill 0.51
2026-05-27,LONG,ACCUMULATION,NOISE,LOSS,-1.64,-0.9927162549765535,0.5004610956963962,0.7458237463625954,-0.3033,,273.953,,14630.521,0.0,0,0,1,BEAR,1,0.47642,1.503277,FAKE_ACCUMULATION_BOUNCE_NOISE,ofi -0.99<0 (sell flow under buy zone); supp_taker_imb -0.30<0; no reclaim; lower-low pre; 1d regime BEAR vs LONG; refill 0.50
2026-05-28,LONG,ACCUMULATION,NOISE,LOSS,-1.64,-0.04115448570197201,0.5085811787083601,0.6220035585103556,0.05,0.4606,-616.749,,155211.173,37560.368,0,0,1,BEAR,1,0.089263,1.501769,FAKE_ACCUMULATION_BOUNCE_NOISE,no reclaim; lower-low pre; 1d regime BEAR vs LONG; refill 0.51
2026-05-29,LONG,ACCUMULATION,NOISE,LOSS,-1.64,-0.9976031229355058,0.5089957182203544,0.669344737334084,-0.087,,19.194,,24145.52,0.0,0,0,1,BEAR,1,0.171587,1.518528,FAKE_ACCUMULATION_BOUNCE_NOISE,ofi -1.00<0 (sell flow under buy zone); supp_taker_imb -0.09<0; no reclaim; lower-low pre; 1d regime BEAR vs LONG; refill 0.51
2026-05-30,LONG,ACCUMULATION,MID,TIMEOUT,0.2627,-0.9966290971954136,0.49850136846228177,0.6003061917895821,-0.0026,,261.142,,1057.812,0.0,0,1,0,RANGE,0,0.712377,0.617656,FAKE_ACCUMULATION_BOUNCE_NOISE,ofi -1.00<0 (sell flow under buy zone); supp_taker_imb -0.00<0; no reclaim; higher-low
