symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764547234000-1,LONG,ACCUMULATION,INVALIDATED,2025-12-01T00:00:34.000Z,2025-12-01T00:13:55.000Z,,2025-12-01T00:24:01.000Z,88840.95,90382.45,,,0.6268,0.7396,0.2518,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T00:00:34.000Z|confirmed@2025-12-01T00:13:55.000Z|invalidate@2025-12-01T00:24:01.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764554322000-3,LONG,ACCUMULATION,INVALIDATED,2025-12-01T01:58:42.000Z,2025-12-01T02:33:25.000Z,,2025-12-01T02:38:59.000Z,87024.05,87471.85,,,0.6453,0.5977,0.0581,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T01:58:42.000Z|confirmed@2025-12-01T02:33:25.000Z|invalidate@2025-12-01T02:38:59.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764557985000-6,SHORT,DISTRIBUTION,RESOLVED_REACHED,2025-12-01T02:59:45.000Z,2025-12-01T03:23:14.000Z,2025-12-01T03:31:58.000Z,2025-12-01T15:34:10.885Z,86286.75,86787.75,86222.25,84497.805,0.6337,0.6154,0.0442,0.9797,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,722.21,2.826,0.770,,1,6,yes,no,candidate@2025-12-01T02:59:45.000Z|confirmed@2025-12-01T03:23:14.000Z|trigger@2025-12-01T03:31:58.000Z|expire@2025-12-01T15:34:10.885Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764559394000-8,SHORT,DISTRIBUTION,RESOLVED_REACHED,2025-12-01T03:23:14.000Z,2025-12-01T03:26:26.000Z,2025-12-01T03:36:15.000Z,2025-12-01T15:34:22.486Z,86361.15,86514.25,86200.25,84476.245,0.6388,0.6289,0.1088,0.9840,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,718.12,2.801,0.796,,1,6,no,yes,candidate@2025-12-01T03:23:14.000Z|confirmed@2025-12-01T03:26:26.000Z|trigger@2025-12-01T03:36:15.000Z|expire@2025-12-01T15:34:22.486Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764556405000-4,LONG,ACCUMULATION,INVALIDATED,2025-12-01T02:33:25.000Z,2025-12-01T02:42:19.000Z,,2025-12-01T04:10:02.000Z,86539.55,87155.606025,,,0.7045,0.6071,0.0880,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T02:33:25.000Z|confirmed@2025-12-01T02:42:19.000Z|invalidate@2025-12-01T04:10:02.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764561745000-10,SHORT,DISTRIBUTION,RESOLVED_REACHED,2025-12-01T04:02:25.000Z,2025-12-01T04:09:24.000Z,2025-12-01T04:11:44.000Z,2025-12-01T15:34:31.359Z,86158.55,86331.05,86111.05,84388.829,0.6013,0.5775,0.1173,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,682.79,2.700,0.900,,1,6,no,yes,candidate@2025-12-01T04:02:25.000Z|confirmed@2025-12-01T04:09:24.000Z|trigger@2025-12-01T04:11:44.000Z|expire@2025-12-01T15:34:31.359Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764561893000-11,SHORT,DISTRIBUTION,RESOLVED_REACHED,2025-12-01T04:04:53.000Z,2025-12-01T04:09:24.000Z,2025-12-01T04:13:31.000Z,2025-12-01T15:34:34.239Z,86125.365775,86331.05,86029.05,84308.469,0.6013,0.5775,0.1063,0.9835,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,681.05,2.607,0.996,,1,6,no,yes,candidate@2025-12-01T04:04:53.000Z|confirmed@2025-12-01T04:09:24.000Z|trigger@2025-12-01T04:13:31.000Z|expire@2025-12-01T15:34:34.239Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764556939000-5,LONG,ACCUMULATION,INVALIDATED,2025-12-01T02:42:19.000Z,2025-12-01T02:53:44.000Z,,2025-12-01T04:13:57.000Z,86444.05,86937.697125,,,0.6428,0.6280,0.1463,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T02:42:19.000Z|confirmed@2025-12-01T02:53:44.000Z|invalidate@2025-12-01T04:13:57.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764558922000-7,LONG,ACCUMULATION,INVALIDATED,2025-12-01T03:15:22.000Z,2025-12-01T03:36:58.000Z,,2025-12-01T04:25:25.000Z,86171.45,86586.55,,,0.6334,0.6424,0.2312,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T03:15:22.000Z|confirmed@2025-12-01T03:36:58.000Z|invalidate@2025-12-01T04:25:25.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764560218000-9,LONG,ACCUMULATION,INVALIDATED,2025-12-01T03:36:58.000Z,2025-12-01T03:40:05.000Z,,2025-12-01T04:26:01.000Z,86142.05,86321.75,,,0.6539,0.5943,0.1695,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T03:36:58.000Z|confirmed@2025-12-01T03:40:05.000Z|invalidate@2025-12-01T04:26:01.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764564451000-15,SHORT,DISTRIBUTION,RESOLVED_REACHED,2025-12-01T04:47:31.000Z,2025-12-01T04:50:31.000Z,2025-12-01T05:08:09.000Z,2025-12-01T15:42:55.048Z,85813.42182500001,85899.278175,85621.15,83908.727,0.6325,0.5678,0.0394,0.9804,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,634.77,2.143,1.477,,1,6,no,yes,candidate@2025-12-01T04:47:31.000Z|confirmed@2025-12-01T04:50:31.000Z|trigger@2025-12-01T05:08:09.000Z|expire@2025-12-01T15:42:55.048Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764563848000-14,SHORT,DISTRIBUTION,RESOLVED_REACHED,2025-12-01T04:37:28.000Z,2025-12-01T04:47:31.000Z,2025-12-01T05:08:42.000Z,2025-12-01T15:44:13.330Z,85723.966575,85979.55,85586.25,83874.525,0.6127,0.5736,0.0266,0.9845,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,635.52,2.103,1.519,,1,6,no,yes,candidate@2025-12-01T04:37:28.000Z|confirmed@2025-12-01T04:47:31.000Z|trigger@2025-12-01T05:08:42.000Z|expire@2025-12-01T15:44:13.330Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764563455000-13,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T04:30:55.000Z,2025-12-01T04:58:40.000Z,2025-12-01T06:03:55.000Z,2025-12-02T06:03:55.000Z,85687.085025,85979.55,86070.65,87792.063,0.6013,0.6640,0.1274,0.9630,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.947,2.654,,,,,,candidate@2025-12-01T04:30:55.000Z|confirmed@2025-12-01T04:58:40.000Z|trigger@2025-12-01T06:03:55.000Z|expire@2025-12-02T06:03:55.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764570353000-18,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T06:25:53.000Z,2025-12-01T06:32:48.000Z,2025-12-01T06:42:17.000Z,2025-12-02T06:42:17.000Z,85929.55,86099.578275,86200.15,87924.15299999999,0.7192,0.6140,0.0656,0.9824,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.796,2.801,,,,,,candidate@2025-12-01T06:25:53.000Z|confirmed@2025-12-01T06:32:48.000Z|trigger@2025-12-01T06:42:17.000Z|expire@2025-12-02T06:42:17.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764571469000-20,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T06:44:29.000Z,2025-12-01T06:50:01.000Z,2025-12-01T07:38:37.000Z,2025-12-02T07:38:37.000Z,86177.439725,86314.25,86395.55,88123.46100000001,0.6010,0.6616,0.0767,0.9709,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.568,3.020,,,,,,candidate@2025-12-01T06:44:29.000Z|confirmed@2025-12-01T06:50:01.000Z|trigger@2025-12-01T07:38:37.000Z|expire@2025-12-02T07:38:37.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764571379000-19,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T06:42:59.000Z,2025-12-01T06:45:59.000Z,2025-12-01T07:38:41.000Z,2025-12-02T07:38:41.000Z,86112.372275,86254.85,86406.95,88135.08899999999,0.6284,0.6253,-0.0292,0.9744,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.554,3.033,,,,,,candidate@2025-12-01T06:42:59.000Z|confirmed@2025-12-01T06:45:59.000Z|trigger@2025-12-01T07:38:41.000Z|expire@2025-12-02T07:38:41.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764569223000-16,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T06:07:03.000Z,2025-12-01T06:16:32.000Z,,2025-12-01T08:36:21.000Z,85963.146925,86241.45,,,0.6363,0.5487,0.0242,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T06:07:03.000Z|confirmed@2025-12-01T06:16:32.000Z|invalidate@2025-12-01T08:36:21.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764569259000-17,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T06:07:39.000Z,2025-12-01T06:16:32.000Z,,2025-12-01T08:36:21.000Z,86034.41127499999,86241.45,,,0.6363,0.5487,0.0535,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T06:07:39.000Z|confirmed@2025-12-01T06:16:32.000Z|invalidate@2025-12-01T08:36:21.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764575940000-21,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T07:59:00.000Z,2025-12-01T08:16:19.000Z,2025-12-01T09:03:25.000Z,2025-12-02T09:03:25.000Z,86340.05,86615.25,86857.35,88594.497,0.7321,0.6265,-0.0209,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.015,3.536,,,,,,candidate@2025-12-01T07:59:00.000Z|confirmed@2025-12-01T08:16:19.000Z|trigger@2025-12-01T09:03:25.000Z|expire@2025-12-02T09:03:25.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764578168000-22,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T08:36:08.000Z,2025-12-01T08:49:36.000Z,2025-12-01T09:03:25.000Z,2025-12-02T09:03:25.000Z,86586.45,86787.95,86857.35,88594.497,0.6147,0.6553,0.0137,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.015,3.536,,,,,,candidate@2025-12-01T08:36:08.000Z|confirmed@2025-12-01T08:49:36.000Z|trigger@2025-12-01T09:03:25.000Z|expire@2025-12-02T09:03:25.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764578976000-23,LONG,ACCUMULATION,INVALIDATED,2025-12-01T08:49:36.000Z,2025-12-01T09:15:20.000Z,,2025-12-01T11:59:30.000Z,86555.05,86885.95,,,0.6460,0.6823,-0.0390,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T08:49:36.000Z|confirmed@2025-12-01T09:15:20.000Z|invalidate@2025-12-01T11:59:30.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764562737000-12,LONG,ACCUMULATION,INVALIDATED,2025-12-01T04:18:57.000Z,2025-12-01T04:30:55.000Z,,2025-12-01T12:48:27.000Z,85666.05,86025.25,,,0.6286,0.6731,0.1570,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T04:18:57.000Z|confirmed@2025-12-01T04:30:55.000Z|invalidate@2025-12-01T12:48:27.000Z
