metric,value
zones_total,28
zones_triggered,16
zones_reached,2
hit_rate_among_triggered,0.125
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10874
suppressions_active_open,4884
suppressions_active_triggered,5990
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,2
unique_reached_moves,1
duplicate_move_credits,1
raw_triggered_hit_rate,0.125
unique_move_adjusted_hit_rate,0.0625
status_RESOLVED_FAILED,14
direction_SHORT,16
status_RESOLVED_REACHED,2
direction_LONG,12
status_INVALIDATED,10
status_NO_TRIGGER,2
