symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTCUSDT,2025-10-01,BTCUSDT-SHORT-1759284116000-8,SHORT,DISTRIBUTION,EXPIRED,2025-10-01T02:01:56.000Z,,,2025-10-01T03:01:57.000Z,114207.45,114521.882325,,,0.6102,0.3666,-0.2658,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,,,,,,candidate@2025-10-01T02:01:56.000Z|expire@2025-10-01T03:01:57.000Z
BTCUSDT,2025-10-01,BTCUSDT-LONG-1759278512000-3,LONG,ACCUMULATION,RESOLVED_REACHED,2025-10-01T00:28:32.000Z,2025-10-01T00:48:02.000Z,2025-10-01T03:08:07.000Z,2025-10-01T08:50:24.010Z,113906.45,114178.05,114272.35,116557.797,0.6740,0.2909,-0.0143,0.9711,4h|8h|24h,4h:failed_by_timeout|8h:reached|24h:reached,342.28,3.815,0.204,,1,6,yes,no,candidate@2025-10-01T00:28:32.000Z|confirmed@2025-10-01T00:48:02.000Z|trigger@2025-10-01T03:08:07.000Z|expire@2025-10-01T08:50:24.010Z
BTCUSDT,2025-10-01,BTCUSDT-LONG-1759281304000-6,LONG,ACCUMULATION,RESOLVED_REACHED,2025-10-01T01:15:04.000Z,2025-10-01T01:18:11.000Z,2025-10-01T03:25:02.000Z,2025-10-01T11:56:39.022Z,114219.71157500001,114372.95,114432.05,116720.691,0.6067,0.5658,-0.2571,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,511.62,3.670,0.344,,1,6,no,yes,candidate@2025-10-01T01:15:04.000Z|confirmed@2025-10-01T01:18:11.000Z|trigger@2025-10-01T03:25:02.000Z|expire@2025-10-01T11:56:39.022Z
BTCUSDT,2025-10-01,BTCUSDT-SHORT-1759281131000-5,SHORT,DISTRIBUTION,RESOLVED_FAILED,2025-10-01T01:12:11.000Z,2025-10-01T01:25:12.000Z,2025-10-01T03:53:15.000Z,2025-10-02T03:53:15.000Z,114138.55,114372.95,114066.54999999999,111785.21899999998,0.6003,0.2679,-0.0823,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.009,4.002,,,,,,candidate@2025-10-01T01:12:11.000Z|confirmed@2025-10-01T01:25:12.000Z|trigger@2025-10-01T03:53:15.000Z|expire@2025-10-02T03:53:15.000Z
BTCUSDT,2025-10-01,BTCUSDT-LONG-1759281383000-7,LONG,ACCUMULATION,RESOLVED_REACHED,2025-10-01T01:16:23.000Z,2025-10-01T01:29:49.000Z,2025-10-01T04:30:06.000Z,2025-10-01T12:21:14.107Z,114138.55,114425.53417500001,114553.35,116844.417,0.7055,0.3863,0.1257,0.9711,4h|8h|24h,4h:failed_by_timeout|8h:reached|24h:reached,471.14,3.560,0.335,,1,6,no,yes,candidate@2025-10-01T01:16:23.000Z|confirmed@2025-10-01T01:29:49.000Z|trigger@2025-10-01T04:30:06.000Z|expire@2025-10-01T12:21:14.107Z
BTCUSDT,2025-10-01,BTCUSDT-LONG-1759284308000-9,LONG,ACCUMULATION,RESOLVED_REACHED,2025-10-01T02:05:08.000Z,2025-10-01T02:08:08.000Z,2025-10-01T04:30:16.000Z,2025-10-01T14:00:36.873Z,114387.35,114532.087425,114594.55,116886.441,0.6506,0.4931,-0.2782,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,570.35,3.523,0.370,,1,6,no,yes,candidate@2025-10-01T02:05:08.000Z|confirmed@2025-10-01T02:08:08.000Z|trigger@2025-10-01T04:30:16.000Z|expire@2025-10-01T14:00:36.873Z
BTCUSDT,2025-10-01,BTCUSDT-LONG-1759277281000-1,LONG,ACCUMULATION,RESOLVED_REACHED,2025-10-01T00:08:01.000Z,2025-10-01T00:28:32.000Z,2025-10-01T04:33:12.000Z,2025-10-01T14:00:37.015Z,113899.45,114207.125025,114617.35,116909.69700000001,0.6808,0.3692,-0.0644,0.9689,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,567.42,3.502,0.390,,1,6,no,yes,candidate@2025-10-01T00:08:01.000Z|confirmed@2025-10-01T00:28:32.000Z|trigger@2025-10-01T04:33:12.000Z|expire@2025-10-01T14:00:37.015Z
BTCUSDT,2025-10-01,BTCUSDT-SHORT-1759278095000-2,SHORT,DISTRIBUTION,INVALIDATED,2025-10-01T00:21:35.000Z,2025-10-01T00:31:31.000Z,,2025-10-01T05:12:08.000Z,113899.45,114112.077525,,,0.6044,0.4988,-0.0165,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-10-01T00:21:35.000Z|confirmed@2025-10-01T00:31:31.000Z|invalidate@2025-10-01T05:12:08.000Z
BTCUSDT,2025-10-01,BTCUSDT-LONG-1759295918000-12,LONG,ACCUMULATION,RESOLVED_REACHED,2025-10-01T05:18:38.000Z,2025-10-01T05:22:39.000Z,2025-10-01T08:20:47.000Z,2025-10-01T14:02:39.900Z,114510.05,114685.263975,114749.05,117044.031,0.7327,0.6812,-0.2557,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:reached|24h:reached,341.88,3.384,0.139,,1,6,no,yes,candidate@2025-10-01T05:18:38.000Z|confirmed@2025-10-01T05:22:39.000Z|trigger@2025-10-01T08:20:47.000Z|expire@2025-10-01T14:02:39.900Z
BTCUSDT,2025-10-01,BTCUSDT-SHORT-1759280384000-4,SHORT,DISTRIBUTION,INVALIDATED,2025-10-01T00:59:44.000Z,2025-10-01T01:12:11.000Z,,2025-10-01T08:20:51.000Z,114083.95,114347.05,,,0.6088,0.3279,-0.0706,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-10-01T00:59:44.000Z|confirmed@2025-10-01T01:12:11.000Z|invalidate@2025-10-01T08:20:51.000Z
