venue,source_type,stream,date,raw_path,norm_path,size_bytes,sha256
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-21,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-21.tar.gz,,355957132,57d6b53703861bc149ab9d700437d2c9e3b011c4680f47d383c48f007d97c70d
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-22,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-22.tar.gz,,344349314,efa8b9f9815dcc8f2663e2b61e50dbe2dc3aafa09529664f043115ef6c53c720
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-22,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-22.zip,,11903376,78218ef0e68a935fb800669027b22f495c86db968203d92746dd9af31f693a11
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-23,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-23.tar.gz,,300088793,7b4bdf8641e5d1e47e2d739da1dd539934852d45ba36bc0951c361f10ec95f28
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-23,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-23.zip,,14412378,caffea6ed91a01dcc661bdd66f2d37f699d93092736771a6e7f5f02edd2ce34c
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-24,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-24.tar.gz,,264697779,247314108d9f6f52a46e8fcfb476bf5c5aa3a8828d7762db1842a4ad0940b16f
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-24,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-24.zip,,12911439,0d8f390d0521fd3cb0971a692e06a57890095dcbb810cc2987bd36984cd558c3
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-25,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-25.tar.gz,,282504096,bed1d7e801432a412c8fbd6ac0df8fb85a2980a3242a2ef3a6fc674542cd81dd
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-25,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-25.zip,,11118805,a37e7085ed1ea0999b33b65d9c10152e6ca803936d85c9b7943d69efff45814a
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-26,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-26.tar.gz,,376987288,186c25de83a4c07e247dda7790cbb18fa8452f965e9c5d4d45fa2554650714c5
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-26,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-26.zip,,15562839,ed3153bc946f5e90d945555589ff4b333f9051ea994ad3547da55aff85e457d8
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-27,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-27.tar.gz,,376501983,46d5e8515923a5bb6b1a9bbfd53e5aab6c6623cfb0c9388d25a02b7021f7f816
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-27,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-27.zip,,15211490,49dc072776abeb96c660a882c3d28a1186f55e6be04f199555f3b7e310889620
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-28,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-28.tar.gz,,409852535,acf3377265b1bd3d3ce1d21e15c51000778f5550510a21673bd1ca2c15f3db5f
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-28,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-28.zip,,20202025,6503b3de55d3e62a6b42795bf26c7f13ff2be31686cd3d2bf8d7c55436bcbe8f
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-29,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-29.tar.gz,,357237535,6894919588ddaacf34e87a77e28602bb187c1b818c7004afc64835b2ddacd524
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-29,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-29.zip,,14415970,05e6bc2e68385f1409f1679053423af681f2e3a7bb61d890c75138474260c14b
OKX,OKX_OPEN_PUBLIC_DATA,L2,2026-05-30,data\okx may 2026\BTC-USDT-SWAP-L2orderbook-400lv-2026-05-30.tar.gz,,180951877,aaa6413990f286bedf7cd0d0841157e43182522668ca9cfb15d4cc729381370d
OKX,OKX_OPEN_PUBLIC_DATA,trades,2026-05-30,data\okx may 2026\BTC-USDT-SWAP-trades-2026-05-30.zip,,8765018,013ef3d317e11d0a4fdfc22b9cbace26f14344e435a3bb985dc8f03499317225
BINANCE,LIVE_RECORDER,incremental_book_L2,2026-05-21,,data\binance-historical\BTCUSDT\2026-05-21\incremental_book_L2.csv.gz,712158219,d5e77ec893e7cfca5da1ad66ab920ff5faca3e6756da2b93440b5a7cfb0db09c
BINANCE,LIVE_RECORDER,trades,2026-05-21,,data\binance-historical\BTCUSDT\2026-05-21\trades.csv.gz,18822750,5156edfe58b9f5c3873385c475f0930c653d483d446cb28c7fc8664873b101a7
BINANCE,LIVE_RECORDER,incremental_book_L2,2026-05-22,,data\binance-historical\BTCUSDT\2026-05-22\incremental_book_L2.csv.gz,671030685,b5a141f3a9165b717ccdbc41bd65bc80dcb4ef4a8b0c26960843098a25ef4a44
BINANCE,LIVE_RECORDER,trades,2026-05-22,,data\binance-historical\BTCUSDT\2026-05-22\trades.csv.gz,17242650,848b45abd13646c6cae5b630be103342570bd6f64969daf83455bd11b043b7c1
BINANCE,LIVE_RECORDER,incremental_book_L2,2026-05-23,,data\binance-historical\BTCUSDT\2026-05-23\incremental_book_L2.csv.gz,609109240,3f3e1596adb075f18f250827c0b2554a150c51a00a0fa38c92cda6137464793d
BINANCE,LIVE_RECORDER,trades,2026-05-23,,data\binance-historical\BTCUSDT\2026-05-23\trades.csv.gz,20286176,018d0a749d82c31c992fa386f0e08fa48f5394d59b18a09e50b30c2be86bb88c
