entry,gate,n,entry_pf,randgate_pf,beats0,beats5,beats10,dom_window_share,decision
8A,GATE_6A,162,1.99,1.525,True,True,True,0.47,ENTRY_CANDIDATE
8A,GATE_6E,68,2.663,1.37,True,True,True,0.46,ENTRY_CANDIDATE
8B,GATE_6A,256,1.464,1.525,False,False,False,0.66,REJECT
8B,GATE_6E,110,1.523,1.37,True,True,True,0.86,ENTRY_CANDIDATE
8C,GATE_6A,828,1.552,1.525,False,True,True,0.56,REJECT
8C,GATE_6E,350,1.803,1.37,True,True,True,0.52,ENTRY_CANDIDATE
8D,GATE_6A,35,1.443,1.525,False,False,False,1.46,REJECT
8D,GATE_6E,10,2.619,1.37,True,True,True,0.68,ENTRY_CANDIDATE
old_event,GATE_6A,4766,1.418,1.525,False,False,False,0.58,REJECT
old_event,GATE_6E,2405,1.716,1.37,True,True,True,0.54,ENTRY_CANDIDATE
