stop,target,rr_min,n,pf_5bps,expectancyR_5bps,winrate,med_tt
STOP_1,TARGET_1,0,68,0.693,-0.526,22.1,117
STOP_1,TARGET_1,1.2,68,0.693,-0.526,22.1,117
STOP_1,TARGET_1,1.5,68,0.693,-0.526,22.1,117
STOP_1,TARGET_1,2.0,66,0.681,-0.54,21.2,117
STOP_1,TARGET_2,0,68,0.402,-0.882,7.4,127
STOP_1,TARGET_2,1.2,68,0.402,-0.882,7.4,127
STOP_1,TARGET_2,1.5,68,0.402,-0.882,7.4,127
STOP_1,TARGET_2,2.0,68,0.402,-0.882,7.4,127
STOP_1,TARGET_3,0,68,0.395,-0.919,1.5,123
STOP_1,TARGET_3,1.2,68,0.395,-0.919,1.5,123
STOP_1,TARGET_3,1.5,68,0.395,-0.919,1.5,123
STOP_1,TARGET_3,2.0,68,0.395,-0.919,1.5,123
STOP_1,TARGET_4,0,68,0.415,-0.906,1.5,124
STOP_1,TARGET_4,1.2,68,0.415,-0.906,1.5,124
STOP_1,TARGET_4,1.5,68,0.415,-0.906,1.5,124
STOP_1,TARGET_4,2.0,68,0.415,-0.906,1.5,124
STOP_1,TARGET_5,0,68,0.316,-0.985,0.0,124
STOP_1,TARGET_5,1.2,68,0.316,-0.985,0.0,124
STOP_1,TARGET_5,1.5,68,0.316,-0.985,0.0,124
STOP_1,TARGET_5,2.0,68,0.316,-0.985,0.0,124
STOP_1,TARGET_6,0,68,0.374,-0.647,52.9,37
STOP_1,TARGET_6,1.2,58,0.385,-0.707,50.0,36
STOP_1,TARGET_6,1.5,20,1.201,-0.058,60.0,27
STOP_1,TARGET_6,2.0,11,1.468,0.114,63.6,36
STOP_1,TARGET_7,0,68,0.16,-0.787,55.9,34.5
STOP_1,TARGET_7,1.2,48,0.125,-0.998,47.9,50.0
STOP_1,TARGET_7,1.5,0,,,0,
STOP_1,TARGET_7,2.0,0,,,0,
STOP_2,TARGET_1,0,68,0.693,-0.526,22.1,117
STOP_2,TARGET_1,1.2,68,0.693,-0.526,22.1,117
STOP_2,TARGET_1,1.5,68,0.693,-0.526,22.1,117
STOP_2,TARGET_1,2.0,66,0.681,-0.54,21.2,117
STOP_2,TARGET_2,0,68,0.402,-0.882,7.4,127
STOP_2,TARGET_2,1.2,68,0.402,-0.882,7.4,127
STOP_2,TARGET_2,1.5,68,0.402,-0.882,7.4,127
STOP_2,TARGET_2,2.0,68,0.402,-0.882,7.4,127
STOP_2,TARGET_3,0,68,0.395,-0.919,1.5,123
STOP_2,TARGET_3,1.2,68,0.395,-0.919,1.5,123
STOP_2,TARGET_3,1.5,68,0.395,-0.919,1.5,123
STOP_2,TARGET_3,2.0,68,0.395,-0.919,1.5,123
STOP_2,TARGET_4,0,68,0.415,-0.906,1.5,124
STOP_2,TARGET_4,1.2,68,0.415,-0.906,1.5,124
STOP_2,TARGET_4,1.5,68,0.415,-0.906,1.5,124
STOP_2,TARGET_4,2.0,68,0.415,-0.906,1.5,124
STOP_2,TARGET_5,0,68,0.316,-0.985,0.0,124
STOP_2,TARGET_5,1.2,68,0.316,-0.985,0.0,124
STOP_2,TARGET_5,1.5,68,0.316,-0.985,0.0,124
STOP_2,TARGET_5,2.0,68,0.316,-0.985,0.0,124
STOP_2,TARGET_6,0,68,0.374,-0.647,52.9,37
STOP_2,TARGET_6,1.2,58,0.385,-0.707,50.0,36
STOP_2,TARGET_6,1.5,20,1.201,-0.058,60.0,27
STOP_2,TARGET_6,2.0,11,1.468,0.114,63.6,36
STOP_2,TARGET_7,0,68,0.16,-0.787,55.9,34.5
STOP_2,TARGET_7,1.2,48,0.125,-0.998,47.9,50.0
STOP_2,TARGET_7,1.5,0,,,0,
STOP_2,TARGET_7,2.0,0,,,0,
STOP_3,TARGET_1,0,68,0.539,-0.74,16.2,48.0
STOP_3,TARGET_1,1.2,68,0.539,-0.74,16.2,48.0
STOP_3,TARGET_1,1.5,68,0.539,-0.74,16.2,48.0
STOP_3,TARGET_1,2.0,68,0.539,-0.74,16.2,48.0
STOP_3,TARGET_2,0,68,0.396,-1.096,7.4,95.0
STOP_3,TARGET_2,1.2,68,0.396,-1.096,7.4,95.0
STOP_3,TARGET_2,1.5,68,0.396,-1.096,7.4,95.0
STOP_3,TARGET_2,2.0,68,0.396,-1.096,7.4,95.0
STOP_3,TARGET_3,0,68,0.389,-1.119,1.5,79.5
STOP_3,TARGET_3,1.2,68,0.389,-1.119,1.5,79.5
STOP_3,TARGET_3,1.5,68,0.389,-1.119,1.5,79.5
STOP_3,TARGET_3,2.0,68,0.389,-1.119,1.5,79.5
STOP_3,TARGET_4,0,68,0.409,-1.092,1.5,89.0
STOP_3,TARGET_4,1.2,68,0.409,-1.092,1.5,89.0
STOP_3,TARGET_4,1.5,68,0.409,-1.092,1.5,89.0
STOP_3,TARGET_4,2.0,68,0.409,-1.092,1.5,89.0
STOP_3,TARGET_5,0,68,0.31,-1.24,0.0,89.0
STOP_3,TARGET_5,1.2,68,0.31,-1.24,0.0,89.0
STOP_3,TARGET_5,1.5,68,0.31,-1.24,0.0,89.0
STOP_3,TARGET_5,2.0,68,0.31,-1.24,0.0,89.0
STOP_3,TARGET_6,0,68,0.298,-0.855,44.1,28.5
STOP_3,TARGET_6,1.2,66,0.304,-0.856,43.9,28.5
STOP_3,TARGET_6,1.5,26,0.639,-0.427,46.2,26.0
STOP_3,TARGET_6,2.0,18,0.883,-0.129,50.0,26.5
STOP_3,TARGET_7,0,68,0.128,-0.981,48.5,26.0
STOP_3,TARGET_7,1.2,66,0.128,-0.986,48.5,26.0
STOP_3,TARGET_7,1.5,0,,,0,
STOP_3,TARGET_7,2.0,0,,,0,
STOP_4,TARGET_1,0,68,0.538,-0.754,16.2,47.5
STOP_4,TARGET_1,1.2,68,0.538,-0.754,16.2,47.5
STOP_4,TARGET_1,1.5,68,0.538,-0.754,16.2,47.5
STOP_4,TARGET_1,2.0,68,0.538,-0.754,16.2,47.5
STOP_4,TARGET_2,0,68,0.395,-1.084,7.4,95.0
STOP_4,TARGET_2,1.2,68,0.395,-1.084,7.4,95.0
STOP_4,TARGET_2,1.5,68,0.395,-1.084,7.4,95.0
STOP_4,TARGET_2,2.0,68,0.395,-1.084,7.4,95.0
STOP_4,TARGET_3,0,68,0.387,-1.105,1.5,79.5
STOP_4,TARGET_3,1.2,68,0.387,-1.105,1.5,79.5
STOP_4,TARGET_3,1.5,68,0.387,-1.105,1.5,79.5
STOP_4,TARGET_3,2.0,68,0.387,-1.105,1.5,79.5
STOP_4,TARGET_4,0,68,0.408,-1.076,1.5,89.0
STOP_4,TARGET_4,1.2,68,0.408,-1.076,1.5,89.0
STOP_4,TARGET_4,1.5,68,0.408,-1.076,1.5,89.0
STOP_4,TARGET_4,2.0,68,0.408,-1.076,1.5,89.0
STOP_4,TARGET_5,0,68,0.309,-1.234,0.0,89.0
STOP_4,TARGET_5,1.2,68,0.309,-1.234,0.0,89.0
STOP_4,TARGET_5,1.5,68,0.309,-1.234,0.0,89.0
STOP_4,TARGET_5,2.0,68,0.309,-1.234,0.0,89.0
STOP_4,TARGET_6,0,68,0.298,-0.865,44.1,27.0
STOP_4,TARGET_6,1.2,66,0.304,-0.867,43.9,28.5
STOP_4,TARGET_6,1.5,26,0.637,-0.452,46.2,26.0
STOP_4,TARGET_6,2.0,17,0.988,-0.048,52.9,27
STOP_4,TARGET_7,0,68,0.128,-0.984,48.5,26.0
STOP_4,TARGET_7,1.2,66,0.128,-0.989,48.5,26.0
STOP_4,TARGET_7,1.5,0,,,0,
STOP_4,TARGET_7,2.0,0,,,0,
STOP_5,TARGET_1,0,68,0.693,-0.526,22.1,117
STOP_5,TARGET_1,1.2,68,0.693,-0.526,22.1,117
STOP_5,TARGET_1,1.5,68,0.693,-0.526,22.1,117
STOP_5,TARGET_1,2.0,66,0.681,-0.54,21.2,117
STOP_5,TARGET_2,0,68,0.402,-0.882,7.4,127
STOP_5,TARGET_2,1.2,68,0.402,-0.882,7.4,127
STOP_5,TARGET_2,1.5,68,0.402,-0.882,7.4,127
STOP_5,TARGET_2,2.0,68,0.402,-0.882,7.4,127
STOP_5,TARGET_3,0,68,0.395,-0.919,1.5,123
STOP_5,TARGET_3,1.2,68,0.395,-0.919,1.5,123
STOP_5,TARGET_3,1.5,68,0.395,-0.919,1.5,123
STOP_5,TARGET_3,2.0,68,0.395,-0.919,1.5,123
STOP_5,TARGET_4,0,68,0.415,-0.906,1.5,124
STOP_5,TARGET_4,1.2,68,0.415,-0.906,1.5,124
STOP_5,TARGET_4,1.5,68,0.415,-0.906,1.5,124
STOP_5,TARGET_4,2.0,68,0.415,-0.906,1.5,124
STOP_5,TARGET_5,0,68,0.316,-0.985,0.0,124
STOP_5,TARGET_5,1.2,68,0.316,-0.985,0.0,124
STOP_5,TARGET_5,1.5,68,0.316,-0.985,0.0,124
STOP_5,TARGET_5,2.0,68,0.316,-0.985,0.0,124
STOP_5,TARGET_6,0,68,0.374,-0.647,52.9,37
STOP_5,TARGET_6,1.2,58,0.385,-0.707,50.0,36
STOP_5,TARGET_6,1.5,20,1.201,-0.058,60.0,27
STOP_5,TARGET_6,2.0,11,1.468,0.114,63.6,36
STOP_5,TARGET_7,0,68,0.16,-0.787,55.9,34.5
STOP_5,TARGET_7,1.2,48,0.125,-0.998,47.9,50.0
STOP_5,TARGET_7,1.5,0,,,0,
STOP_5,TARGET_7,2.0,0,,,0,
