variant,window_id,regime,n,pf,total_pnl,winrate
random_all,DOWN_NOV,TREND_DOWN,500,1.649,160.8,39.2
random_all,DOWN_JAN,TREND_DOWN,500,2.607,275.7,36.8
random_all,DOWN_APR,TREND_DOWN,500,2.2,275.06,50.0
random_all,DOWN_0327,TREND_DOWN,500,1.331,51.77,15.8
random_all,UP_0310,TREND_UP,500,0.308,-271.22,7.0
random_all,RANGE_0508,RANGE_CHOP,500,0.179,-179.99,1.2
random_all,RANGE_0303,RANGE_CHOP,500,0.914,-24.78,17.0
random_all,BOUNCE_0512,REVERSAL_BOUNCE,500,1.473,74.98,13.8
random+GATE_6A,DOWN_NOV,TREND_DOWN,65,2.329,39.84,56.9
random+GATE_6A,DOWN_JAN,TREND_DOWN,103,5.96,107.58,57.3
random+GATE_6A,DOWN_APR,TREND_DOWN,91,1.781,44.05,59.3
random+GATE_6A,DOWN_0327,TREND_DOWN,83,1.862,20.7,21.7
random+GATE_6A,UP_0310,TREND_UP,51,0.148,-32.09,0.0
random+GATE_6A,RANGE_0508,RANGE_CHOP,45,0.0,-35.49,0.0
random+GATE_6A,RANGE_0303,RANGE_CHOP,69,0.693,-13.18,15.9
random+GATE_6A,BOUNCE_0512,REVERSAL_BOUNCE,89,1.482,12.26,12.4
random+GATE_6E,DOWN_NOV,TREND_DOWN,25,1.141,2.48,40.0
random+GATE_6E,DOWN_JAN,TREND_DOWN,30,6.748,33.95,63.3
random+GATE_6E,DOWN_APR,TREND_DOWN,32,1.89,17.52,62.5
random+GATE_6E,DOWN_0327,TREND_DOWN,22,1.226,2.18,18.2
random+GATE_6E,UP_0310,TREND_UP,24,0.279,-10.8,0.0
random+GATE_6E,RANGE_0508,RANGE_CHOP,27,0.0,-15.66,0.0
random+GATE_6E,RANGE_0303,RANGE_CHOP,31,0.835,-2.59,19.4
random+GATE_6E,BOUNCE_0512,REVERSAL_BOUNCE,47,2.681,12.38,10.6
old_event+GATE_6A,DOWN_NOV,TREND_DOWN,557,1.923,271.2,52.2
old_event+GATE_6A,DOWN_JAN,TREND_DOWN,739,3.299,585.93,54.1
old_event+GATE_6A,DOWN_APR,TREND_DOWN,1035,1.81,513.24,58.6
old_event+GATE_6A,DOWN_0327,TREND_DOWN,500,1.598,104.69,21.8
old_event+GATE_6A,UP_0310,TREND_UP,623,0.169,-379.55,0.0
old_event+GATE_6A,RANGE_0508,RANGE_CHOP,206,0.0,-175.76,0.0
old_event+GATE_6A,RANGE_0303,RANGE_CHOP,538,0.855,-44.38,19.9
old_event+GATE_6A,BOUNCE_0512,REVERSAL_BOUNCE,568,2.107,135.44,11.4
old_event+GATE_6E,DOWN_NOV,TREND_DOWN,250,1.696,99.24,49.2
old_event+GATE_6E,DOWN_JAN,TREND_DOWN,374,6.087,399.51,62.3
old_event+GATE_6E,DOWN_APR,TREND_DOWN,394,2.273,268.53,64.7
old_event+GATE_6E,DOWN_0327,TREND_DOWN,254,2.248,97.17,27.2
old_event+GATE_6E,UP_0310,TREND_UP,328,0.171,-174.37,0.0
old_event+GATE_6E,RANGE_0508,RANGE_CHOP,130,0.0,-99.62,0.0
old_event+GATE_6E,RANGE_0303,RANGE_CHOP,287,1.051,7.42,25.1
old_event+GATE_6E,BOUNCE_0512,REVERSAL_BOUNCE,388,3.215,137.27,14.4
8A+GATE_6A,DOWN_NOV,TREND_DOWN,19,15.852,26.14,78.9
8A+GATE_6A,DOWN_JAN,TREND_DOWN,20,4.842,18.9,35.0
8A+GATE_6A,DOWN_APR,TREND_DOWN,17,8.506,24.62,88.2
8A+GATE_6A,DOWN_0327,TREND_DOWN,14,2.378,7.16,42.9
8A+GATE_6A,UP_0310,TREND_UP,25,0.026,-19.99,0.0
8A+GATE_6A,RANGE_0508,RANGE_CHOP,23,0.0,-19.91,0.0
8A+GATE_6A,RANGE_0303,RANGE_CHOP,11,6.955,2.38,9.1
8A+GATE_6A,BOUNCE_0512,REVERSAL_BOUNCE,33,22.969,16.85,3.0
8A+GATE_6E,DOWN_NOV,TREND_DOWN,1,0.0,-1.15,0.0
8A+GATE_6E,DOWN_JAN,TREND_DOWN,9,999,12.69,44.4
8A+GATE_6E,DOWN_APR,TREND_DOWN,7,999,13.02,100.0
8A+GATE_6E,DOWN_0327,TREND_DOWN,8,4.635,8.75,75.0
8A+GATE_6E,UP_0310,TREND_UP,10,0.038,-4.98,0.0
8A+GATE_6E,RANGE_0508,RANGE_CHOP,11,0.0,-7.72,0.0
8A+GATE_6E,RANGE_0303,RANGE_CHOP,5,8.858,1.78,20.0
8A+GATE_6E,BOUNCE_0512,REVERSAL_BOUNCE,17,13.215,6.18,0.0
8B+GATE_6A,DOWN_NOV,TREND_DOWN,26,1.042,0.82,38.5
8B+GATE_6A,DOWN_JAN,TREND_DOWN,42,3.271,33.52,50.0
8B+GATE_6A,DOWN_APR,TREND_DOWN,73,1.956,40.92,61.6
8B+GATE_6A,DOWN_0327,TREND_DOWN,30,1.193,2.13,16.7
8B+GATE_6A,UP_0310,TREND_UP,30,0.142,-16.4,0.0
