variant,entry,gate,n,winrate,pf,expectancyR,maxDD,avg_mfe,avg_mae,med_tt,total_pnl
random_all,random_all,-,4000,22.6,1.194,0.06,-549.44,1.048,0.765,193,362.32
random+GATE_6A,random,GATE_6A,596,31.9,1.525,0.161,-94.63,1.198,0.776,164,143.67
random+GATE_6E,random,GATE_6E,238,26.9,1.37,0.111,-39.25,1.09,0.754,154.0,39.45
old_event+GATE_6A,old_event,GATE_6A,4766,33.1,1.418,0.141,-709.44,1.228,0.837,154,1010.8
old_event+GATE_6E,old_event,GATE_6E,2405,33.6,1.716,0.204,-320.36,1.222,0.771,162.0,735.15
8A+GATE_6A,8A,GATE_6A,162,27.8,1.99,0.231,-40.3,1.134,0.643,176,56.15
8A+GATE_6E,8A,GATE_6E,68,26.5,2.663,0.28,-12.92,1.055,0.538,204,28.57
8B+GATE_6A,8B,GATE_6A,256,35.2,1.464,0.162,-30.06,1.289,0.867,143.0,62.18
8B+GATE_6E,8B,GATE_6E,110,34.5,1.523,0.164,-20.49,1.182,0.797,148,27.13
8C+GATE_6A,8C,GATE_6A,828,29.2,1.552,0.165,-128.13,1.144,0.757,170.0,204.31
8C+GATE_6E,8C,GATE_6E,350,31.4,1.803,0.22,-60.61,1.166,0.694,165,115.51
8D+GATE_6A,8D,GATE_6A,35,34.3,1.443,0.151,-9.98,1.15,0.825,128,7.95
8D+GATE_6E,8D,GATE_6E,10,20.0,2.619,0.277,-1.64,1.241,0.714,276,4.16
