variant,slippage_bps,n,pf,winrate,expectancyR,maxDD
random_all,0,4000,1.194,22.6,0.06,-549.44
random_all,5,4000,0.982,22.6,-0.006,-719.14
random_all,10,4000,0.81,22.6,-0.073,-888.84
random+GATE_6A,0,596,1.525,31.9,0.161,-94.63
random+GATE_6A,5,596,1.277,31.9,0.094,-112.73
random+GATE_6A,10,596,1.073,31.9,0.027,-130.83
random+GATE_6E,0,238,1.37,26.9,0.111,-39.25
random+GATE_6E,5,238,1.131,26.9,0.044,-48.45
random+GATE_6E,10,238,0.938,26.9,-0.023,-57.65
old_event+GATE_6A,0,4766,1.418,33.1,0.141,-709.44
old_event+GATE_6A,5,4766,1.201,33.1,0.075,-857.34
old_event+GATE_6A,10,4766,1.02,33.1,0.008,-1005.24
old_event+GATE_6E,0,2405,1.716,33.6,0.204,-320.36
old_event+GATE_6E,5,2405,1.434,33.6,0.137,-400.26
old_event+GATE_6E,10,2405,1.202,33.6,0.07,-480.16
8A+GATE_6A,0,162,1.99,27.8,0.231,-40.3
8A+GATE_6A,5,162,1.627,27.8,0.164,-45.65
8A+GATE_6A,10,162,1.334,27.8,0.098,-51.88
8A+GATE_6E,0,68,2.663,26.5,0.28,-12.92
8A+GATE_6E,5,68,2.084,26.5,0.213,-15.28
8A+GATE_6E,10,68,1.644,26.5,0.147,-17.78
8B+GATE_6A,0,256,1.464,35.2,0.162,-30.06
8B+GATE_6A,5,256,1.251,35.2,0.095,-40.36
8B+GATE_6A,10,256,1.069,35.2,0.029,-50.67
8B+GATE_6E,0,110,1.523,34.5,0.164,-20.49
8B+GATE_6E,5,110,1.28,34.5,0.098,-24.59
8B+GATE_6E,10,110,1.081,34.5,0.031,-28.69
8C+GATE_6A,0,828,1.552,29.2,0.165,-128.13
8C+GATE_6A,5,828,1.297,29.2,0.098,-155.64
8C+GATE_6A,10,828,1.086,29.2,0.031,-183.14
8C+GATE_6E,0,350,1.803,31.4,0.22,-60.61
8C+GATE_6E,5,350,1.507,31.4,0.153,-73.51
8C+GATE_6E,10,350,1.261,31.4,0.087,-86.41
8D+GATE_6A,0,35,1.443,34.3,0.151,-9.98
8D+GATE_6A,5,35,1.228,34.3,0.085,-10.98
8D+GATE_6A,10,35,1.045,34.3,0.018,-12.58
8D+GATE_6E,0,10,2.619,20.0,0.277,-1.64
8D+GATE_6E,5,10,2.086,20.0,0.21,-1.74
8D+GATE_6E,10,10,1.652,20.0,0.144,-1.84
