evidence_block,auc_markdown_vs_absorbed,mean_markdown,mean_absorbed,mean_nocontrol,n_markdown,n_absorbed
EFFORT_VS_RESULT,0.614,0.51,0.364,0.479,3721,13414
ABSORPTION_REFILL,0.524,0.194,0.17,0.171,3721,13414
INITIATIVE_CONTROL,0.543,0.815,0.766,0.794,3721,13414
BACKGROUND_ALIGNMENT,0.623,0.658,0.57,0.565,3721,13414
EXTENSION_NOT_LATE,0.427,0.917,0.966,0.972,3721,13414
COMBINED,0.624,0.619,0.567,0.596,3721,13414
BG::TREND_DOWN,0.5,,,,1094,1505
BG::RANGE,0.508,,,,1669,5283
BG::TREND_UP,0.659,,,,145,403
BG::LOW_VOL,0.642,,,,813,6223
