symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,reasons
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767225631000-1,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T00:00:31.000Z,2026-01-01T00:03:31.000Z,2026-01-01T00:05:15.000Z,2026-01-02T00:05:15.000Z,87560.048075,87659.75,87719.45,89473.83899999999,0.6746,0.7017,0.0583,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.325,0.241,,candidate@2026-01-01T00:00:31.000Z|confirmed@2026-01-01T00:03:31.000Z|trigger@2026-01-01T00:05:15.000Z|expire@2026-01-02T00:05:15.000Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767227473000-3,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T00:31:13.000Z,2026-01-01T00:54:33.000Z,2026-01-01T01:07:04.000Z,2026-01-02T01:07:04.000Z,87691.18247500001,87799.95,87843.95,89600.829,0.6033,0.4668,0.1962,0.9753,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.181,0.382,,candidate@2026-01-01T00:31:13.000Z|confirmed@2026-01-01T00:54:33.000Z|trigger@2026-01-01T01:07:04.000Z|expire@2026-01-02T01:07:04.000Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767231203000-7,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T01:33:23.000Z,2026-01-01T01:42:04.000Z,2026-01-01T01:54:29.000Z,2026-01-02T01:54:29.000Z,87797.95,87902.979525,87948.25,89707.215,0.6214,0.4096,0.0388,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.061,0.500,,candidate@2026-01-01T01:33:23.000Z|confirmed@2026-01-01T01:42:04.000Z|trigger@2026-01-01T01:54:29.000Z|expire@2026-01-02T01:54:29.000Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767229364000-4,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-01-01T01:02:44.000Z,2026-01-01T01:16:42.000Z,2026-01-01T04:08:00.000Z,2026-01-02T04:08:00.000Z,87776.040025,88016.95,87722.65,85968.19699999999,0.6902,0.2505,0.2231,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.244,1.321,,candidate@2026-01-01T01:02:44.000Z|confirmed@2026-01-01T01:16:42.000Z|trigger@2026-01-01T04:08:00.000Z|expire@2026-01-02T04:08:00.000Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767226228000-2,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-01-01T00:10:28.000Z,2026-01-01T00:13:28.000Z,2026-01-01T04:12:52.000Z,2026-01-02T04:12:52.000Z,87690.582775,87778.31722499999,87645.85,85892.933,0.6753,0.2979,0.0566,0.9665,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.157,1.410,,candidate@2026-01-01T00:10:28.000Z|confirmed@2026-01-01T00:13:28.000Z|trigger@2026-01-01T04:12:52.000Z|expire@2026-01-02T04:12:52.000Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767230202000-5,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-01-01T01:16:42.000Z,2026-01-01T01:19:42.000Z,2026-01-01T04:17:16.000Z,2026-01-02T04:17:16.000Z,87907.75,88001.928975,87530.55,85779.939,0.6401,0.2610,0.1099,0.9695,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.025,1.543,,candidate@2026-01-01T01:16:42.000Z|confirmed@2026-01-01T01:19:42.000Z|trigger@2026-01-01T04:17:16.000Z|expire@2026-01-02T04:17:16.000Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767233765000-8,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T02:16:05.000Z,2026-01-01T02:30:07.000Z,2026-01-01T17:20:47.000Z,2026-01-02T17:20:47.000Z,87904.45,88064.95,88113.35,89875.61700000001,0.7023,0.4876,0.2478,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.872,0.089,,candidate@2026-01-01T02:16:05.000Z|confirmed@2026-01-01T02:30:07.000Z|trigger@2026-01-01T17:20:47.000Z|expire@2026-01-02T17:20:47.000Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767241413000-9,SHORT,DISTRIBUTION,INVALIDATED,2026-01-01T04:23:33.000Z,2026-01-01T04:29:11.000Z,,2026-01-01T17:20:47.000Z,87529.56332500001,87667.95,,,0.6927,0.3033,-0.4330,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-01-01T04:23:33.000Z|confirmed@2026-01-01T04:29:11.000Z|invalidate@2026-01-01T17:20:47.000Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767230525000-6,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T01:22:05.000Z,2026-01-01T01:25:05.000Z,2026-01-01T17:21:03.000Z,2026-01-02T17:21:03.000Z,87882.38682500001,87970.313175,88187.45,89951.199,0.7203,0.4062,0.0568,0.9698,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.787,0.173,,candidate@2026-01-01T01:22:05.000Z|confirmed@2026-01-01T01:25:05.000Z|trigger@2026-01-01T17:21:03.000Z|expire@2026-01-02T17:21:03.000Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767288420000-10,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T17:27:00.000Z,2026-01-01T17:30:00.000Z,2026-01-01T17:30:18.000Z,2026-01-02T17:30:18.000Z,88133.06142499999,88221.238575,88285.65,90051.363,0.6323,0.1316,-0.0062,0.9950,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.675,0.284,,candidate@2026-01-01T17:27:00.000Z|confirmed@2026-01-01T17:30:00.000Z|trigger@2026-01-01T17:30:18.000Z|expire@2026-01-02T17:30:18.000Z
