metric,value
zones_total,46
zones_triggered,24
zones_reached,8
hit_rate_among_triggered,0.3333333333333333
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10825
suppressions_active_open,7262
suppressions_active_triggered,3464
suppressions_cooldown,99
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,8
unique_reached_moves,1
duplicate_move_credits,7
raw_triggered_hit_rate,0.3333333333333333
unique_move_adjusted_hit_rate,0.041666666666666664
status_INVALIDATED,21
direction_LONG,25
status_RESOLVED_REACHED,8
direction_SHORT,21
status_RESOLVED_FAILED,16
status_NO_TRIGGER,1
