symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTCUSDT,2026-04-01,BTCUSDT-LONG-1775002106000-1,LONG,ACCUMULATION,RESOLVED_FAILED,2026-04-01T00:08:26.000Z,2026-04-01T00:15:49.000Z,2026-04-01T00:51:04.000Z,2026-04-02T00:51:04.000Z,67989.75,68202.033975,68239.5,69604.29000000001,0.6308,0.0000,-0.0476,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.537,1.033,,,,,,candidate@2026-04-01T00:08:26.000Z|confirmed@2026-04-01T00:15:49.000Z|trigger@2026-04-01T00:51:04.000Z|expire@2026-04-02T00:51:04.000Z
BTCUSDT,2026-04-01,BTCUSDT-LONG-1775003370000-3,LONG,ACCUMULATION,RESOLVED_FAILED,2026-04-01T00:29:30.000Z,2026-04-01T00:33:47.000Z,2026-04-01T00:51:25.000Z,2026-04-02T00:51:25.000Z,67822.15,67992.25,68214.25,69578.535,0.6865,0.0000,0.0615,0.9689,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.574,0.996,,,,,,candidate@2026-04-01T00:29:30.000Z|confirmed@2026-04-01T00:33:47.000Z|trigger@2026-04-01T00:51:25.000Z|expire@2026-04-02T00:51:25.000Z
BTCUSDT,2026-04-01,BTCUSDT-SHORT-1775004555000-5,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-04-01T00:49:15.000Z,2026-04-01T00:56:04.000Z,2026-04-01T01:34:36.000Z,2026-04-02T01:34:36.000Z,67969.448275,68287.35,67920.05,66561.649,0.6900,0.2890,0.0324,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.567,2.014,,,,,,candidate@2026-04-01T00:49:15.000Z|confirmed@2026-04-01T00:56:04.000Z|trigger@2026-04-01T01:34:36.000Z|expire@2026-04-02T01:34:36.000Z
BTCUSDT,2026-04-01,BTCUSDT-SHORT-1775004964000-6,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-04-01T00:56:04.000Z,2026-04-01T00:59:33.000Z,2026-04-01T01:36:20.000Z,2026-04-02T01:36:20.000Z,68189.45,68277.67177500001,67817.05,66460.709,0.6533,0.3212,-0.0898,0.9798,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.416,2.169,,,,,,candidate@2026-04-01T00:56:04.000Z|confirmed@2026-04-01T00:59:33.000Z|trigger@2026-04-01T01:36:20.000Z|expire@2026-04-02T01:36:20.000Z
BTCUSDT,2026-04-01,BTCUSDT-LONG-1775002549000-2,LONG,ACCUMULATION,INVALIDATED,2026-04-01T00:15:49.000Z,2026-04-01T00:18:49.000Z,,2026-04-01T02:11:51.000Z,68036.05,68174.35,,,0.6733,0.0000,0.1044,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-04-01T00:15:49.000Z|confirmed@2026-04-01T00:18:49.000Z|invalidate@2026-04-01T02:11:51.000Z
BTCUSDT,2026-04-01,BTCUSDT-LONG-1775005924000-7,LONG,ACCUMULATION,INVALIDATED,2026-04-01T01:12:04.000Z,2026-04-01T01:25:21.000Z,,2026-04-01T02:26:48.000Z,67989.75,68265.75,,,0.6669,0.0000,-0.0523,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-04-01T01:12:04.000Z|confirmed@2026-04-01T01:25:21.000Z|invalidate@2026-04-01T02:26:48.000Z
BTCUSDT,2026-04-01,BTCUSDT-SHORT-1775008569000-9,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-04-01T01:56:09.000Z,2026-04-01T02:05:29.000Z,2026-04-01T02:28:23.000Z,2026-04-02T02:28:23.000Z,67738.55,67822.35,67618.35,66265.98300000001,0.6233,0.1720,0.0524,0.9666,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.123,2.469,,,,,,candidate@2026-04-01T01:56:09.000Z|confirmed@2026-04-01T02:05:29.000Z|trigger@2026-04-01T02:28:23.000Z|expire@2026-04-02T02:28:23.000Z
BTCUSDT,2026-04-01,BTCUSDT-SHORT-1775008141000-8,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-04-01T01:49:01.000Z,2026-04-01T01:52:39.000Z,2026-04-01T02:29:16.000Z,2026-04-02T02:29:16.000Z,67814.95,67887.77692500001,67595.45,66243.541,0.6007,0.1740,0.0662,0.9664,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.090,2.504,,,,,,candidate@2026-04-01T01:49:01.000Z|confirmed@2026-04-01T01:52:39.000Z|trigger@2026-04-01T02:29:16.000Z|expire@2026-04-02T02:29:16.000Z
BTCUSDT,2026-04-01,BTCUSDT-LONG-1775010909000-12,LONG,ACCUMULATION,RESOLVED_FAILED,2026-04-01T02:35:09.000Z,2026-04-01T02:38:09.000Z,2026-04-01T03:08:59.000Z,2026-04-02T03:08:59.000Z,67528.169025,67666.55,67961.95,69321.189,0.6101,0.0869,0.1541,0.9735,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.951,0.132,,,,,,candidate@2026-04-01T02:35:09.000Z|confirmed@2026-04-01T02:38:09.000Z|trigger@2026-04-01T03:08:59.000Z|expire@2026-04-02T03:08:59.000Z
BTCUSDT,2026-04-01,BTCUSDT-LONG-1775008869000-10,LONG,ACCUMULATION,RESOLVED_FAILED,2026-04-01T02:01:09.000Z,2026-04-01T02:12:37.000Z,2026-04-01T03:09:50.000Z,2026-04-02T03:09:50.000Z,67686.05,67861.35,68023.45,69383.919,0.6366,0.0000,0.0442,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.859,0.222,,,,,,candidate@2026-04-01T02:01:09.000Z|confirmed@2026-04-01T02:12:37.000Z|trigger@2026-04-01T03:09:50.000Z|expire@2026-04-02T03:09:50.000Z
