date,regime,day_return_pct,day_range_pct,zones_total,triggered,reached_raw,unique_moves,duplicate_move_credits,long_total,short_total,long_reached,short_reached,failed_triggered,no_trigger,invalidated_or_expired,raw_hit_pct,unique_hit_pct
2026-03-02,,,,37,21,7,1,6,16,21,7,0,14,2,14,33.333,4.762
2026-03-03,,,,46,26,12,2,10,23,23,3,9,14,1,19,46.154,7.692
2026-03-04,,,,54,32,15,1,14,30,24,15,0,17,3,19,46.875,3.125
2026-03-05,,,,29,13,5,1,4,18,11,0,5,8,3,13,38.462,7.692
2026-03-06,,,,43,18,8,1,7,24,19,0,8,10,3,22,44.444,5.556
2026-03-07,,,,27,18,0,0,0,14,13,0,0,18,4,5,0.0,0.0
2026-03-08,,,,34,21,8,1,7,13,21,0,8,13,5,8,38.095,4.762
2026-03-09,,,,48,30,9,1,8,23,25,9,0,21,2,16,30.0,3.333
2026-03-10,,,,46,29,14,3,11,24,22,12,2,15,2,15,48.276,10.345
2026-03-11,,,,30,21,5,1,4,13,17,5,0,16,,9,23.81,4.762
2026-03-12,,,,32,20,0,0,0,15,17,0,0,20,1,11,0.0,0.0
2026-03-13,,,,32,18,7,2,5,12,20,6,1,11,4,10,38.889,11.111
2026-03-14,,,,16,12,0,0,0,8,8,0,0,12,,4,0.0,0.0
2026-03-15,,,,36,16,8,1,7,17,19,8,0,8,3,17,50.0,6.25
