zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,SHORT,,,1773879630000,1773880505000,1773904903121,,,71029.05,,,,,,,1,true,false
,LONG,,,1773881365000,1773884566000,1773970966000,,,71119.95,,,,,,,,,
,LONG,,,1773883304000,1773884638000,1773971038000,,,71126.95,,,,,,,,,
,SHORT,,,1773886969000,1773888668000,1773904903114,,,71039.15,,,,,,,1,false,true
,LONG,,,1773879309000,1773890277000,1773976677000,,,71349.95,,,,,,,,,
,SHORT,,,1773882264000,,1773890299000,,,,,,,,,,,,
,SHORT,,,1773882504000,,1773890299000,,,,,,,,,,,,
,LONG,,,1773890906000,,1773893165000,,,,,,,,,,,,
,SHORT,,,1773892383000,1773893236000,1773905019666,,,70901.35,,,,,,,1,false,true
,SHORT,,,1773891608000,1773893255000,1773924638580,,,70807.65,,,,,,,1,false,true
,SHORT,,,1773891608000,1773893258000,1773924638580,,,70796.35,,,,,,,1,false,true
,SHORT,,,1773893987000,1773894427000,1773924681986,,,70688.85,,,,,,,1,false,true
,SHORT,,,1773895083000,1773902256000,1773924785770,,,70564.45,,,,,,,1,false,true
,LONG,,,1773894697000,,1773904177000,,,,,,,,,,,,
,LONG,,,1773895415000,,1773904177000,,,,,,,,,,,,
,LONG,,,1773903689000,,1773904245000,,,,,,,,,,,,
,LONG,,,1773903955000,,1773904490000,,,,,,,,,,,,
,SHORT,,,,,1773909830000,,,,,,,,,,,,
,LONG,,,1773910849000,1773910977000,1773997377000,,,70114.25,,,,,,,,,
,LONG,,,1773909308000,1773910978000,1773997378000,,,70118.15,,,,,,,,,
,LONG,,,1773911884000,1773912102000,1773998502000,,,70215.85,,,,,,,,,
,LONG,,,1773908261000,1773912105000,1773998505000,,,70262.25,,,,,,,,,
,LONG,,,1773907866000,1773912120000,1773998520000,,,70306.15,,,,,,,,,
,LONG,,,1773914772000,,1773920151000,,,,,,,,,,,,
,SHORT,,,1773918592000,1773920243000,1774006643000,,,70007.75,,,,,,,,,
,SHORT,,,1773914013000,1773921921000,1774008321000,,,69749.85,,,,,,,,,
,SHORT,,,1773912611000,1773922125000,1774008525000,,,69636.75,,,,,,,,,
,SHORT,,,1773922810000,1773924639000,1774011039000,,,69378.35,,,,,,,,,
,LONG,,,1773927610000,1773927690000,1774014090000,,,69461.05,,,,,,,,,
,SHORT,,,1773925568000,,1773927742000,,,,,,,,,,,,
,SHORT,,,1773931605000,,1773932648000,,,,,,,,,,,,
,SHORT,,,1773931605000,,1773932648000,,,,,,,,,,,,
,LONG,,,1773932441000,1773932745000,1774019145000,,,69799.95,,,,,,,,,
,LONG,,,1773933396000,,1773933719000,,,,,,,,,,,,
,SHORT,,,1773930057000,1773934884000,1774021284000,,,69100.15,,,,,,,,,
,LONG,,,1773932389000,,1773934900000,,,,,,,,,,,,
,LONG,,,1773934785000,,1773935176000,,,,,,,,,,,,
,SHORT,,,1773940636000,,1773940986000,,,,,,,,,,,,
,SHORT,,,1773938346000,,1773942683000,,,,,,,,,,,,
,LONG,,,1773943970000,1773946888000,1774033288000,,,69887.95,,,,,,,,,
,LONG,,,1773944616000,1773946917000,1774033317000,,,69948.65,,,,,,,,,
,LONG,,,1773942008000,1773947149000,1774033549000,,,70043.75,,,,,,,,,
,SHORT,,,1773943888000,,1773947198000,,,,,,,,,,,,
,SHORT,,,1773943299000,,1773947424000,,,,,,,,,,,,
,LONG,,,1773952082000,1773952787000,1774039187000,,,70514.85,,,,,,,,,
,LONG,,,1773955512000,,1773959727000,,,,,,,,,,,,
,LONG,,,1773948199000,,1773959784000,,,,,,,,,,,,
,SHORT,,,1773960951000,1773963423000,1774049823000,,,69878.85,,,,,,,,,
,SHORT,,,1773948971000,,,,,,,,,,,,,,
,SHORT,,,1773964239000,,,,,,,,,,,,,,
,SHORT,,,,,,,,,,,,,,,,,
