symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-SHORT-1778980595000-5,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-17T01:16:35.000Z,2026-05-17T01:33:06.000Z,2026-05-17T01:40:22.000Z,2026-05-18T01:40:22.000Z,77875.05,78093.577275,77835.65,76278.93699999999,0.6508,1.0000,0.0799,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.210,0.945,,,,,,candidate@2026-05-17T01:16:35.000Z|confirmed@2026-05-17T01:33:06.000Z|trigger@2026-05-17T01:40:22.000Z|expire@2026-05-18T01:40:22.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-SHORT-1778981586000-6,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-17T01:33:06.000Z,2026-05-17T01:36:06.000Z,2026-05-17T01:40:35.000Z,2026-05-18T01:40:35.000Z,77850.05,77984.522775,77808.25,76252.08499999999,0.6615,1.0000,-0.0312,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.175,0.981,,,,,,candidate@2026-05-17T01:33:06.000Z|confirmed@2026-05-17T01:36:06.000Z|trigger@2026-05-17T01:40:35.000Z|expire@2026-05-18T01:40:35.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-LONG-1778976612000-2,LONG,ACCUMULATION,INVALIDATED,2026-05-17T00:10:12.000Z,2026-05-17T00:13:12.000Z,,2026-05-17T01:41:16.000Z,78150.65,78244.052475,,,0.8631,1.0000,0.2982,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-17T00:10:12.000Z|confirmed@2026-05-17T00:13:12.000Z|invalidate@2026-05-17T01:41:16.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-LONG-1778976019000-1,LONG,ACCUMULATION,INVALIDATED,2026-05-17T00:00:19.000Z,2026-05-17T00:03:19.000Z,,2026-05-17T01:41:20.000Z,78092.384275,78183.05,,,0.7827,1.0000,0.1108,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-17T00:00:19.000Z|confirmed@2026-05-17T00:03:19.000Z|invalidate@2026-05-17T01:41:20.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-LONG-1778979121000-3,LONG,ACCUMULATION,RESOLVED_FAILED,2026-05-17T00:52:01.000Z,2026-05-17T01:03:49.000Z,2026-05-17T04:42:17.000Z,2026-05-18T04:42:17.000Z,77765.55,78107.484225,78148.15,79711.113,0.7423,1.0000,-0.2388,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.542,0.475,,,,,,candidate@2026-05-17T00:52:01.000Z|confirmed@2026-05-17T01:03:49.000Z|trigger@2026-05-17T04:42:17.000Z|expire@2026-05-18T04:42:17.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-SHORT-1778982397000-8,SHORT,DISTRIBUTION,INVALIDATED,2026-05-17T01:46:37.000Z,2026-05-17T01:52:02.000Z,,2026-05-17T05:08:04.000Z,77732.864125,77838.65,,,0.6706,1.0000,-0.0335,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-17T01:46:37.000Z|confirmed@2026-05-17T01:52:02.000Z|invalidate@2026-05-17T05:08:04.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-LONG-1778993222000-9,LONG,ACCUMULATION,RESOLVED_FAILED,2026-05-17T04:47:02.000Z,2026-05-17T04:50:56.000Z,2026-05-17T05:09:12.000Z,2026-05-18T05:09:12.000Z,78110.375275,78188.524725,78266.55,79831.88100000001,0.6113,1.0000,-0.0524,0.9656,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.390,0.625,,,,,,candidate@2026-05-17T04:47:02.000Z|confirmed@2026-05-17T04:50:56.000Z|trigger@2026-05-17T05:09:12.000Z|expire@2026-05-18T05:09:12.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-SHORT-1778996545000-11,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-05-17T05:42:25.000Z,2026-05-17T05:47:20.000Z,2026-05-17T06:23:46.000Z,2026-05-18T06:23:46.000Z,78104.078425,78182.22157499999,78062.15,76500.90699999999,0.6047,1.0000,-0.0910,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.365,0.652,,,,,,candidate@2026-05-17T05:42:25.000Z|confirmed@2026-05-17T05:47:20.000Z|trigger@2026-05-17T06:23:46.000Z|expire@2026-05-18T06:23:46.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-SHORT-1778981761000-7,SHORT,DISTRIBUTION,INVALIDATED,2026-05-17T01:36:01.000Z,2026-05-17T01:46:37.000Z,,2026-05-17T10:07:42.000Z,77676.1,77929.85,,,0.6218,1.0000,-0.4308,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2026-05-17T01:36:01.000Z|confirmed@2026-05-17T01:46:37.000Z|invalidate@2026-05-17T10:07:42.000Z
BTC-USDT-SWAP,2026-05-17,BTC-USDT-SWAP-LONG-1779015977000-14,LONG,ACCUMULATION,RESOLVED_FAILED,2026-05-17T11:06:17.000Z,2026-05-17T11:09:50.000Z,2026-05-17T12:37:09.000Z,2026-05-18T12:37:09.000Z,78328.466175,78424.65,78499.75,80069.745,0.6003,1.0000,0.0683,0.9704,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.018,0.921,,,,,,candidate@2026-05-17T11:06:17.000Z|confirmed@2026-05-17T11:09:50.000Z|trigger@2026-05-17T12:37:09.000Z|expire@2026-05-18T12:37:09.000Z
