rule,unique_alerts,W,L,TO,winrate,pf,expectancy,hit2_5,hit3,precision,strong_caught,noise_caught,max_loss_streak,days_active,winrate_without_0514_0515,alerts_without_0514_0515,lodo_min,lodo_max,loco_min,loco_max,tier,in_sample_only
P6_strict_5of7,24,7,6,11,29.17,1.227,0.1163,3,2,0.292,3,17,4,11,30.43,23,22.73,31.82,22.73,29.17,A,YES
P4_absorption,33,9,12,12,27.27,0.967,-0.021,5,3,0.273,4,24,3,17,24.14,29,23.33,30.0,22.58,27.27,A,YES
P1_edge_reclaim,34,8,12,14,23.53,0.781,-0.1462,4,3,0.235,3,26,3,15,24.14,29,20.0,25.81,18.75,23.53,A,YES
B5_taker_aligned,107,25,33,49,23.36,0.957,-0.0262,11,7,0.234,7,82,4,18,19.35,93,21.0,25.0,20.95,23.36,A,YES
B3_range_edge,57,13,22,22,22.81,0.713,-0.2024,5,4,0.228,5,44,6,17,22.45,49,20.37,24.53,21.43,22.81,A,YES
B2_edge_only,60,13,24,23,21.67,0.684,-0.2291,5,4,0.217,6,47,6,18,21.15,52,19.3,23.21,20.34,21.67,A,YES
P6_strict_4of7,75,16,30,29,21.33,0.674,-0.2427,8,6,0.213,7,59,6,17,15.62,64,18.57,22.86,18.06,21.33,A,YES
B1_reclaim_only,103,21,33,49,20.39,0.812,-0.1184,12,5,0.204,8,82,7,18,15.73,89,17.53,21.88,17.17,21.15,A,YES
P6_strict_3of7,105,21,38,46,20.0,0.712,-0.204,10,6,0.2,8,84,7,18,16.48,91,18.18,21.21,17.65,20.0,A,YES
P6_strict_2of7,111,22,38,51,19.82,0.76,-0.1599,11,7,0.198,8,89,6,18,15.46,97,17.48,21.15,16.67,20.54,A,YES
B6_prior1d_aligned,47,9,10,28,19.15,1.259,0.1201,1,1,0.191,2,38,6,17,22.5,40,15.56,21.43,17.39,19.15,A,YES
B4_sweep_only,34,6,12,16,17.65,0.614,-0.2751,2,1,0.176,3,28,8,17,19.35,31,12.5,19.35,15.15,17.65,A,YES
P2_sweep_reversal,23,4,8,11,17.39,0.545,-0.3352,1,1,0.174,1,19,4,15,19.05,21,13.64,19.05,13.64,17.39,A,YES
P3_thin_path,0,0,0,0,0.0,,,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,thin,YES
P5_confluence,0,0,0,0,0.0,,,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,thin,YES
