date,regime,net_pct,range_pct,unique_hit2_moves,unique_strong_moves,top_successful,top_noise_lookalike,winner_features,loser_features,what_separated,setup_family_of_day,pattern_repeats_elsewhere
2026-05-03,RANGE,0.23,1.48,1,1,"[""LONG/FALSE_BREAKOUT_RECLAIM/MFE2.934"", ""LONG/SLOW_GRIND_CONTINUATION/MFE2.858"", ""LONG/SLOW_GRIND_CONTINUATION/MFE2.8""]","[""SHORT/UNCLEAR/MFE0.837"", ""LONG/RANGE_FADE_LOW_TO_HIGH/MFE1.021"", ""SHORT/UNCLEAR/MFE0.781""]","{""reclaim%"": 33, ""sweep%"": 33, ""OFI"": 0.16, ""taker15"": -0.16, ""micro5"": 0}","{""reclaim%"": 33, ""sweep%"": 0, ""OFI"": 0.08, ""taker15"": -0.1, ""micro5"": 0.57}","[""sweep%: win 33 vs noise 0"", ""OFI: win 0.16 vs noise 0.08"", ""taker15: win -0.16 vs noise -0.1"", ""micro5: win 0 vs noise 0.57""]",SLOW_GRIND_CONTINUATION,YES
2026-05-04,RANGE,1.73,3.12,2,2,"[""LONG/LIQUIDITY_SWEEP_REVERSAL/MFE3.07"", ""LONG/RANGE_FADE_LOW_TO_HIGH/MFE2.935"", ""SHORT/UNCLEAR/MFE2.874""]","[""SHORT/UNCLEAR/MFE1.849"", ""SHORT/UNCLEAR/MFE1.841"", ""SHORT/UNCLEAR/MFE0.166""]","{""reclaim%"": 67, ""sweep%"": 33, ""OFI"": 0.01, ""taker15"": -0.19, ""micro5"": 0.22}","{""reclaim%"": 67, ""sweep%"": 0, ""OFI"": -0.05, ""taker15"": -0.05, ""micro5"": 4.87}","[""sweep%: win 33 vs noise 0"", ""OFI: win 0.01 vs noise -0.05"", ""taker15: win -0.19 vs noise -0.05"", ""micro5: win 0.22 vs noise 4.87""]",LIQUIDITY_SWEEP_REVERSAL,YES
2026-05-05,RANGE,1.87,2.65,3,0,"[""LONG/LIQUIDITY_SWEEP_REVERSAL/MFE2.381"", ""LONG/BREAKOUT_CONTINUATION/MFE2.359"", ""LONG/SLOW_GRIND_CONTINUATION/MFE2.215""]","[""LONG/UNCLEAR/MFE0.792"", ""LONG/BREAKOUT_RETEST/MFE1.919"", ""SHORT/LIQUIDITY_SWEEP_REVERSAL/MFE0.49""]","{""reclaim%"": 67, ""sweep%"": 67, ""OFI"": 0.12, ""taker15"": -0.01, ""micro5"": 0.52}","{""reclaim%"": 100, ""sweep%"": 33, ""OFI"": 0.08, ""taker15"": 0.08, ""micro5"": 1.8}","[""reclaim%: win 67 vs noise 100"", ""sweep%: win 67 vs noise 33"", ""OFI: win 0.12 vs noise 0.08"", ""taker15: win -0.01 vs noise 0.08"", ""micro5: win 0.52 vs noise 1.8""]",LIQUIDITY_SWEEP_REVERSAL,YES
2026-05-06,RANGE,0.21,2.63,2,0,"[""LONG/RANGE_FADE_LOW_TO_HIGH/MFE2.319"", ""SHORT/LIQUIDITY_SWEEP_REVERSAL/MFE2.187"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE2.097""]","[""LONG/UNCLEAR/MFE1.63"", ""LONG/UNCLEAR/MFE1.385"", ""LONG/FALSE_BREAKOUT_RECLAIM/MFE1.927""]","{""reclaim%"": 33, ""sweep%"": 33, ""OFI"": 0.07, ""taker15"": 0.11, ""micro5"": 2.24}","{""reclaim%"": 0, ""sweep%"": 67, ""OFI"": 0.21, ""taker15"": 0.22, ""micro5"": 3.17}","[""reclaim%: win 33 vs noise 0"", ""sweep%: win 33 vs noise 67"", ""OFI: win 0.07 vs noise 0.21"", ""taker15: win 0.11 vs noise 0.22"", ""micro5: win 2.24 vs noise 3.17""]",RANGE_FADE_HIGH_TO_LOW,YES
2026-05-07,RANGE,-2.2,2.71,3,1,"[""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE3.001"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE2.443"", ""SHORT/ABSORPTION_REVERSAL/MFE2.339""]","[""SHORT/UNCLEAR/MFE1.916"", ""SHORT/UNCLEAR/MFE1.705"", ""LONG/UNCLEAR/MFE0.201""]","{""reclaim%"": 67, ""sweep%"": 0, ""OFI"": -0.2, ""taker15"": -0.17, ""micro5"": 1.52}","{""reclaim%"": 67, ""sweep%"": 33, ""OFI"": 0.23, ""taker15"": 0.06, ""micro5"": 2.23}","[""sweep%: win 0 vs noise 33"", ""OFI: win -0.2 vs noise 0.23"", ""taker15: win -0.17 vs noise 0.06"", ""micro5: win 1.52 vs noise 2.23""]",RANGE_FADE_HIGH_TO_LOW,YES
2026-05-08,RANGE,0.32,1.75,0,0,[],"[""LONG/UNCLEAR/MFE1.242"", ""LONG/UNCLEAR/MFE0.911"", ""SHORT/BREAKOUT_RETEST/MFE0.058""]",{},"{""reclaim%"": 33, ""sweep%"": 0, ""OFI"": -0.05, ""taker15"": 0.04, ""micro5"": 7.1}","[""nothing stable on decision features""]",NONE,NO
2026-05-09,RANGE,0.46,1.18,0,0,[],"[""SHORT/UNCLEAR/MFE0.06"", ""SHORT/LIQUIDITY_SWEEP_REVERSAL/MFE0.342"", ""SHORT/ABSORPTION_REVERSAL/MFE0.026""]",{},"{""reclaim%"": 67, ""sweep%"": 33, ""OFI"": -0.19, ""taker15"": -0.15, ""micro5"": 0}","[""nothing stable on decision features""]",NONE,NO
2026-05-10,RANGE,1.11,1.24,1,0,"[""LONG/RANGE_FADE_LOW_TO_HIGH/MFE2.301"", ""LONG/SLOW_GRIND_CONTINUATION/MFE2.183"", ""LONG/SLOW_GRIND_CONTINUATION/MFE2.148""]","[""LONG/UNCLEAR/MFE1.939"", ""SHORT/UNCLEAR/MFE0.873"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE0.734""]","{""reclaim%"": 67, ""sweep%"": 0, ""OFI"": 0.2, ""taker15"": -0.08, ""micro5"": 0.78}","{""reclaim%"": 100, ""sweep%"": 0, ""OFI"": -0.16, ""taker15"": -0.07, ""micro5"": 0.87}","[""reclaim%: win 67 vs noise 100"", ""OFI: win 0.2 vs noise -0.16"", ""taker15: win -0.08 vs noise -0.07"", ""micro5: win 0.78 vs noise 0.87""]",SLOW_GRIND_CONTINUATION,YES
2026-05-11,RANGE,0.04,2.75,0,0,[],"[""LONG/UNCLEAR/MFE1.059"", ""SHORT/UNCLEAR/MFE0.965"", ""SHORT/UNCLEAR/MFE1.303""]",{},"{""reclaim%"": 33, ""sweep%"": 67, ""OFI"": 0.05, ""taker15"": 0.18, ""micro5"": 6.9}","[""nothing stable on decision features""]",NONE,NO
2026-05-12,RANGE,-1.37,2.41,1,0,"[""SHORT/SLOW_GRIND_CONTINUATION/MFE2.353"", ""SHORT/SLOW_GRIND_CONTINUATION/MFE2.353"", ""SHORT/SLOW_GRIND_CONTINUATION/MFE2.129""]","[""SHORT/UNCLEAR/MFE1.056"", ""LONG/LIQUIDITY_SWEEP_REVERSAL/MFE0.04"", ""LONG/LIQUIDITY_SWEEP_REVERSAL/MFE0.844""]","{""reclaim%"": 0, ""sweep%"": 0, ""OFI"": -0.29, ""taker15"": -0.13, ""micro5"": 0}","{""reclaim%"": 100, ""sweep%"": 67, ""OFI"": -0.07, ""taker15"": 0.02, ""micro5"": 3.96}","[""reclaim%: win 0 vs noise 100"", ""sweep%: win 0 vs noise 67"", ""OFI: win -0.29 vs noise -0.07"", ""taker15: win -0.13 vs noise 0.02"", ""micro5: win 0 vs noise 3.96""]",SLOW_GRIND_CONTINUATION,YES
2026-05-13,RANGE,-1.85,3.18,2,1,"[""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE3.019"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE2.859"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE2.612""]","[""LONG/RANGE_FADE_LOW_TO_HIGH/MFE1.094"", ""LONG/UNCLEAR/MFE0.404"", ""LONG/UNCLEAR/MFE0.043""]","{""reclaim%"": 100, ""sweep%"": 0, ""OFI"": -0.18, ""taker15"": -0.24, ""micro5"": 0.34}","{""reclaim%"": 33, ""sweep%"": 33, ""OFI"": 0.26, ""taker15"": -0.06, ""micro5"": 1.99}","[""reclaim%: win 100 vs noise 33"", ""sweep%: win 0 vs noise 33"", ""OFI: win -0.18 vs noise 0.26"", ""taker15: win -0.24 vs noise -0.06"", ""micro5: win 0.34 vs noise 1.99""]",RANGE_FADE_HIGH_TO_LOW,YES
2026-05-14,RANGE,3.1,3.26,0,1,"[""LONG/UNCLEAR/MFE3.803"", ""LONG/UNCLEAR/MFE3.72"", ""LONG/RANGE_FADE_LOW_TO_HIGH/MFE3.483""]","[""SHORT/UNCLEAR/MFE0.605"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE0.889"", ""SHORT/LIQUIDITY_SWEEP_REVERSAL/MFE0.664""]","{""reclaim%"": 33, ""sweep%"": 0, ""OFI"": 0.0, ""taker15"": -0.23, ""micro5"": 1.88}","{""reclaim%"": 33, ""sweep%"": 33, ""OFI"": 0.12, ""taker15"": -0.17, ""micro5"": 0.19}","[""sweep%: win 0 vs noise 33"", ""OFI: win 0.0 vs noise 0.12"", ""taker15: win -0.23 vs noise -0.17"", ""micro5: win 1.88 vs noise 0.19""]",UNCLEAR,NO
2026-05-15,RANGE,-2.62,4.2,2,2,"[""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE3.54"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE3.429"", ""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE3.395""]","[""LONG/FALSE_BREAKOUT_RECLAIM/MFE0.328"", ""LONG/UNCLEAR/MFE0.047"", ""LONG/RANGE_FADE_LOW_TO_HIGH/MFE0.767""]","{""reclaim%"": 0, ""sweep%"": 67, ""OFI"": 0.0, ""taker15"": 0.15, ""micro5"": 0.85}","{""reclaim%"": 33, ""sweep%"": 33, ""OFI"": 0.11, ""taker15"": -0.04, ""micro5"": 4.13}","[""reclaim%: win 0 vs noise 33"", ""sweep%: win 67 vs noise 33"", ""OFI: win 0.0 vs noise 0.11"", ""taker15: win 0.15 vs noise -0.04"", ""micro5: win 0.85 vs noise 4.13""]",RANGE_FADE_HIGH_TO_LOW,YES
2026-05-16,TREND_DOWN,-1.16,2.44,0,0,[],"[""LONG/ABSORPTION_REVERSAL/MFE0.068"", ""SHORT/UNCLEAR/MFE1.745"", ""SHORT/ABSORPTION_REVERSAL/MFE1.559""]",{},"{""reclaim%"": 67, ""sweep%"": 0, ""OFI"": -0.13, ""taker15"": -0.13, ""micro5"": 0.69}","[""nothing stable on decision features""]",NONE,NO
2026-05-17,RANGE,-0.25,1.15,1,0,"[""SHORT/RANGE_FADE_HIGH_TO_LOW/MFE2.385"", ""SHORT/SLOW_GRIND_CONTINUATION/MFE2.298""]","[""LONG/UNCLEAR/MFE0.524"", ""SHORT/UNCLEAR/MFE1.563"", ""LONG/ABSORPTION_REVERSAL/MFE0.256""]","{""reclaim%"": 100, ""sweep%"": 0, ""OFI"": -0.1, ""taker15"": -0.05, ""micro5"": 3.64}","{""reclaim%"": 100, ""sweep%"": 0, ""OFI"": -0.03, ""taker15"": 0.04, ""micro5"": 4.05}","[""OFI: win -0.1 vs noise -0.03"", ""taker15: win -0.05 vs noise 0.04"", ""micro5: win 3.64 vs noise 4.05""]",RANGE_FADE_HIGH_TO_LOW,YES
2026-05-18,RANGE,-2.08,3.12,1,0,"[""SHORT/LIQUIDITY_SWEEP_REVERSAL/MFE2.004""]","[""LONG/LIQUIDITY_SWEEP_REVERSAL/MFE1.201"", ""SHORT/UNCLEAR/MFE0.874"", ""SHORT/UNCLEAR/MFE1.018""]","{""reclaim%"": 100, ""sweep%"": 100, ""OFI"": -0.13, ""taker15"": 0.05, ""micro5"": 0.11}","{""reclaim%"": 100, ""sweep%"": 67, ""OFI"": -0.0, ""taker15"": -0.04, ""micro5"": 2.1}","[""sweep%: win 100 vs noise 67"", ""OFI: win -0.13 vs noise -0.0"", ""taker15: win 0.05 vs noise -0.04"", ""micro5: win 0.11 vs noise 2.1""]",LIQUIDITY_SWEEP_REVERSAL,YES
