comparison,feature,median_win,median_noise,cohen_d,auc,precision_top_decile,recall,sign_stability_by_date,sign_stability_by_direction,live_valid
strong_vs_noise,thin_path_score,0.0973,0.0947,0.722,0.706,0.2,0.25,0.67,"{""LONG"": 0.006, ""SHORT"": 0.001}",YES
strong_vs_noise,taker_sign_change_5m_30m,0.0,1,-0.897,0.31,0.125,0.875,0.83,"{""LONG"": -1, ""SHORT"": -0.5}",YES
strong_vs_noise,microprice_5m_bps,2.2355,0.658,0.416,0.69,0.1,0.125,0.83,"{""LONG"": 4.538, ""SHORT"": 1.179}",YES
strong_vs_noise,ofi_slope_5m_30m,9315.15,-5606.48,0.507,0.672,0.0,0.0,0.83,"{""LONG"": 3965.3, ""SHORT"": 24111.735}",YES
strong_vs_noise,taker_slope_5m_30m,-0.0759,-0.1837,0.634,0.67,0.0,0.0,0.67,"{""LONG"": 0.085, ""SHORT"": 0.1}",YES
strong_vs_noise,inband_sell_share_30m,0.4601,0.5033,-0.628,0.331,0.1,0.125,0.83,"{""LONG"": -0.008, ""SHORT"": -0.041}",YES
strong_vs_noise,supp_refill_ratio_5m,0.9998,1.0007,-0.447,0.333,0.083,0.125,0.5,"{""LONG"": -0.001, ""SHORT"": -0.001}",YES
strong_vs_noise,wall_persistence_sec,276.5,286,-0.157,0.375,0.1,0.125,0.5,"{""LONG"": -28, ""SHORT"": -6.0}",YES
strong_vs_noise,opposing_wall_score,65.0,73,-0.37,0.378,0.091,0.125,0.33,"{""LONG"": -10, ""SHORT"": -4.5}",YES
strong_vs_noise,spread_now_bps,0.012,0.012,-0.014,0.38,0.1,0.125,0.67,"{""LONG"": 0.001, ""SHORT"": -0.001}",YES
strong_vs_noise,prior_move_1d,0.3295,-0.0222,0.446,0.615,0.2,0.25,0.67,"{""LONG"": -0.364, ""SHORT"": 0.912}",YES
strong_vs_noise,local_volatility_180m,0.8769,0.7861,0.437,0.613,0.182,0.25,0.33,"{""LONG"": 0.132, ""SHORT"": 0.043}",YES
strong_vs_noise,OFI,-0.0381,0.0353,-0.379,0.39,0.0,0.0,1.0,"{""LONG"": -0.126, ""SHORT"": -0.001}",YES
strong_vs_noise,taker_imb_15m,-0.1181,-0.0523,-0.352,0.407,0.1,0.125,0.67,"{""LONG"": 0.016, ""SHORT"": -0.084}",YES
strong_vs_noise,net_flow_5m,-549.14,3057.82,-0.036,0.412,0.0,0.0,0.33,"{""LONG"": -4616.89, ""SHORT"": -2946.545}",YES
strong_vs_noise,is_asia_session,1.0,1,0.223,0.555,0.089,0.625,1.0,"{""LONG"": 1, ""SHORT"": 0.0}",YES
strong_vs_noise,refill_proxy_eng,0.5003,0.5005,-0.353,0.446,0.0,0.0,0.33,"{""LONG"": -0.0, ""SHORT"": 0.0}",YES
strong_vs_noise,prior_move_180m,0.1202,0.0185,0.339,0.549,0.2,0.25,0.67,"{""LONG"": -0.731, ""SHORT"": 0.36}",YES
strong_vs_noise,taker_imb_5m,-0.1377,-0.1673,0.284,0.543,0.1,0.125,0.5,"{""LONG"": 0.048, ""SHORT"": 0.01}",YES
strong_vs_noise,prior_move_60m,0.0127,-0.0494,0.049,0.539,0.1,0.125,0.67,"{""LONG"": -0.316, ""SHORT"": 0.506}",YES
strong_vs_noise,depth_imb_top25,0.4811,0.2361,0.169,0.539,0.0,0.0,0.83,"{""LONG"": 0.136, ""SHORT"": 0.308}",YES
strong_vs_noise,entropy,0.3345,0.3431,-0.138,0.461,0.0,0.0,0.67,"{""LONG"": -0.006, ""SHORT"": -0.008}",YES
strong_vs_noise,dist_to_range_mid_pct,0.2585,0.263,0.133,0.533,0.0,0.0,0.67,"{""LONG"": -0.016, ""SHORT"": 0.006}",YES
strong_vs_noise,range_pos,0.5425,0.483,0.074,0.524,0.1,0.125,0.67,"{""LONG"": -0.292, ""SHORT"": 0.332}",YES
strong_vs_noise,dist_to_range_low_pct,0.5425,0.483,0.074,0.524,0.1,0.125,0.67,"{""LONG"": -0.292, ""SHORT"": 0.332}",YES
strong_vs_noise,sweep_low,0.0,0,0.115,0.524,0.091,0.25,0.83,"{""LONG"": 0, ""SHORT"": 0.0}",YES
strong_vs_noise,dist_to_range_high_pct,0.4575,0.517,-0.074,0.476,0.1,0.125,0.67,"{""LONG"": 0.292, ""SHORT"": -0.332}",YES
strong_vs_noise,rejection_proof,1.0,1,0.132,0.523,0.079,0.875,0.83,"{""LONG"": 0, ""SHORT"": 0.0}",YES
strong_vs_noise,sweep_high,0.0,0,-0.048,0.492,0.076,0.875,1.0,"{""LONG"": 0, ""SHORT"": 0.0}",YES
strong_vs_noise,reclaim_zoneMid,1.0,1,0.006,0.501,0.075,0.75,0.67,"{""LONG"": 0, ""SHORT"": 0.0}",YES
live_strong_vs_noise,microprice_5m_bps,3.9125,0.658,0.724,0.797,0.1,0.167,1.0,"{""LONG"": 7.986, ""SHORT"": 1.578}",YES
live_strong_vs_noise,taker_sign_change_5m_30m,0.0,1,-1.429,0.247,0.109,1.0,1.0,"{""LONG"": -1.0, ""SHORT"": -0.5}",YES
live_strong_vs_noise,ofi_slope_5m_30m,15785.075,-5606.48,0.656,0.741,0.0,0.0,1.0,"{""LONG"": 10712.785, ""SHORT"": 24738.885}",YES
live_strong_vs_noise,taker_slope_5m_30m,-0.062,-0.1837,0.844,0.726,0.0,0.0,0.8,"{""LONG"": 0.112, ""SHORT"": 0.112}",YES
live_strong_vs_noise,supp_refill_ratio_5m,0.9998,1.0007,-0.582,0.286,0.0,0.0,0.6,"{""LONG"": -0.001, ""SHORT"": -0.001}",YES
live_strong_vs_noise,inband_sell_share_30m,0.4439,0.5033,-0.715,0.295,0.1,0.167,0.8,"{""LONG"": 0.005, ""SHORT"": -0.042}",YES
live_strong_vs_noise,taker_imb_15m,-0.1849,-0.0523,-0.744,0.305,0.1,0.167,1.0,"{""LONG"": -0.067, ""SHORT"": -0.118}",YES
live_strong_vs_noise,local_volatility_180m,0.9458,0.7861,0.643,0.674,0.182,0.333,0.2,"{""LONG"": 0.685, ""SHORT"": 0.153}",YES
live_strong_vs_noise,thin_path_score,0.0968,0.0947,0.528,0.652,0.1,0.167,0.6,"{""LONG"": 0.005, ""SHORT"": -0.0}",YES
live_strong_vs_noise,wall_persistence_sec,276.5,286,0.31,0.366,0.0,0.0,0.4,"{""LONG"": -10.5, ""SHORT"": -10.5}",YES
live_strong_vs_noise,net_flow_5m,-549.14,3057.82,-0.165,0.37,0.0,0.0,0.4,"{""LONG"": -5811.475, ""SHORT"": -599.735}",YES
live_strong_vs_noise,reclaim_zoneMid,1.0,1,0.822,0.626,0.075,1.0,1.0,"{""LONG"": 0.0, ""SHORT"": 0.0}",YES
live_strong_vs_noise,prior_move_180m,0.2493,0.0185,0.521,0.621,0.2,0.333,0.8,"{""LONG"": -0.761, ""SHORT"": 0.64}",YES
live_strong_vs_noise,OFI,-0.0381,0.0353,-0.367,0.394,0.0,0.0,1.0,"{""LONG"": -0.052, ""SHORT"": -0.017}",YES
live_strong_vs_noise,opposing_wall_score,65.0,73,-0.308,0.396,0.091,0.167,0.4,"{""LONG"": -22.0, ""SHORT"": -3.5}",YES
live_strong_vs_noise,prior_move_1d,0.3295,-0.0222,0.31,0.591,0.1,0.167,0.8,"{""LONG"": -0.753, ""SHORT"": 0.524}",YES
live_strong_vs_noise,rejection_proof,1.0,1,0.644,0.586,0.068,1.0,1.0,"{""LONG"": 0.0, ""SHORT"": 0.0}",YES
live_strong_vs_noise,dist_to_range_high_pct,0.4065,0.517,-0.235,0.424,0.1,0.167,0.8,"{""LONG"": 0.206, ""SHORT"": -0.381}",YES
live_strong_vs_noise,range_pos,0.5935,0.483,0.235,0.576,0.1,0.167,0.8,"{""LONG"": -0.206, ""SHORT"": 0.381}",YES
live_strong_vs_noise,dist_to_range_low_pct,0.5935,0.483,0.235,0.576,0.1,0.167,0.8,"{""LONG"": -0.206, ""SHORT"": 0.381}",YES
live_strong_vs_noise,refill_proxy_eng,0.5003,0.5005,-0.364,0.446,0.0,0.0,0.4,"{""LONG"": -0.001, ""SHORT"": 0.0}",YES
live_strong_vs_noise,spread_now_bps,0.012,0.012,0.321,0.451,0.04,0.333,0.8,"{""LONG"": 0.001, ""SHORT"": -0.001}",YES
live_strong_vs_noise,prior_move_60m,0.1384,-0.0494,0.056,0.545,0.1,0.167,0.8,"{""LONG"": -0.623, ""SHORT"": 0.509}",YES
live_strong_vs_noise,taker_imb_5m,-0.1377,-0.1673,0.225,0.539,0.1,0.167,0.6,"{""LONG"": 0.059, ""SHORT"": -0.064}",YES
live_strong_vs_noise,entropy,0.3255,0.3431,-0.153,0.461,0.0,0.0,0.8,"{""LONG"": -0.025, ""SHORT"": -0.017}",YES
live_strong_vs_noise,dist_to_range_mid_pct,0.2585,0.263,0.138,0.529,0.0,0.0,0.8,"{""LONG"": -0.102, ""SHORT"": 0.055}",YES
live_strong_vs_noise,sweep_low,0.0,0,-0.091,0.482,0.06,0.833,0.8,"{""LONG"": 0.5, ""SHORT"": 0.0}",YES
live_strong_vs_noise,depth_imb_top25,0.3404,0.2361,-0.048,0.483,0.1,0.167,0.8,"{""LONG"": -0.501, ""SHORT"": 0.224}",YES
live_strong_vs_noise,sweep_high,0.0,0,0.07,0.513,0.067,0.167,1.0,"{""LONG"": 0.0, ""SHORT"": 0.0}",YES
live_strong_vs_noise,is_asia_session,0.5,1,-0.03,0.492,0.059,0.5,0.2,"{""LONG"": 0.5, ""SHORT"": -0.5}",YES
hit2_vs_noise,prior_move_1d,0.5969,-0.0222,0.59,0.669,0.455,0.263,0.64,"{""LONG"": 0.882, ""SHORT"": 0.432}",YES
hit2_vs_noise,OFI,-0.0285,0.0353,-0.351,0.398,0.182,0.105,0.73,"{""LONG"": 0.002, ""SHORT"": -0.048}",YES
hit2_vs_noise,inband_sell_share_30m,0.47,0.5033,-0.386,0.4,0.182,0.105,0.73,"{""LONG"": -0.008, ""SHORT"": -0.039}",YES
hit2_vs_noise,microprice_5m_bps,2.108,0.658,0.36,0.583,0.273,0.158,0.8,"{""LONG"": 1.726, ""SHORT"": 1.179}",YES
hit2_vs_noise,local_volatility_180m,0.8199,0.7861,0.217,0.581,0.182,0.105,0.27,"{""LONG"": 0.034, ""SHORT"": 0.084}",YES
hit2_vs_noise,prior_move_60m,0.0463,-0.0494,0.149,0.579,0.182,0.105,0.64,"{""LONG"": 0.141, ""SHORT"": 0.157}",YES
hit2_vs_noise,taker_slope_5m_30m,-0.1139,-0.1837,0.174,0.576,0.182,0.105,0.64,"{""LONG"": 0.056, ""SHORT"": 0.067}",YES
hit2_vs_noise,taker_sign_change_5m_30m,0,1,-0.278,0.432,0.197,0.632,0.73,"{""LONG"": 0, ""SHORT"": -0.5}",YES
hit2_vs_noise,spread_now_bps,0.012,0.012,0.321,0.443,0.111,0.316,1.0,"{""LONG"": 0.001, ""SHORT"": -0.001}",YES
hit2_vs_noise,dist_to_range_mid_pct,0.244,0.263,-0.191,0.448,0.0,0.0,0.73,"{""LONG"": -0.08, ""SHORT"": 0.002}",YES
hit2_vs_noise,taker_imb_15m,-0.1507,-0.0523,-0.168,0.448,0.182,0.105,0.64,"{""LONG"": -0.128, ""SHORT"": -0.076}",YES
hit2_vs_noise,thin_path_score,0.0949,0.0947,0.114,0.55,0.25,0.158,0.73,"{""LONG"": 0.002, ""SHORT"": -0.001}",YES
hit2_vs_noise,ofi_slope_5m_30m,-1936.47,-5606.48,0.144,0.55,0.091,0.053,0.82,"{""LONG"": -2970.76, ""SHORT"": 10744.645}",YES
hit2_vs_noise,depth_imb_top25,0.4432,0.2361,0.16,0.546,0.182,0.105,0.82,"{""LONG"": 0.136, ""SHORT"": 0.277}",YES
