cluster_id,date,direction,first_zone_id,best_zone_id,first_live_zone_id,target_hit_ts,setup_family,regime,MFE,MAE,hit2,hit2_5,hit3,time_to_2_min,time_to_2_5_min,time_to_3_min,zones_in_cluster,duplicate_count,live_detectable,hindsight_risk,is_strong_cluster
u00|LONG|2026-05-03,2026-05-03,LONG,BTC-USDT-SWAP-LONG-1777772522000-9,BTC-USDT-SWAP-LONG-1777853128000-1,BTC-USDT-SWAP-LONG-1777859208000-4,1777859757,RANGE_FADE_LOW_TO_HIGH,RANGE,2.935,-0.988,1,1,0,1420.1,166.2,,8,7,YES,MED,1
u01|SHORT|2026-05-04,2026-05-04,SHORT,BTC-USDT-SWAP-SHORT-1777860306000-6,BTC-USDT-SWAP-SHORT-1777868198000-11,BTC-USDT-SWAP-SHORT-1777864467000-9,1777889203,FALSE_BREAKOUT_RECLAIM,RANGE,2.874,-1.858,1,1,0,478.9,357.7,,8,7,YES,LOW,1
u02|LONG|2026-05-04,2026-05-04,LONG,BTC-USDT-SWAP-LONG-1777890491000-18,BTC-USDT-SWAP-LONG-1777890491000-18,BTC-USDT-SWAP-LONG-1777890491000-18,1777906502,LIQUIDITY_SWEEP_REVERSAL,RANGE,3.07,-0.589,1,1,1,257.7,967.7,1142.1,1,0,YES,LOW,1
u03|LONG|2026-05-05,2026-05-05,LONG,BTC-USDT-SWAP-LONG-1777939222000-1,BTC-USDT-SWAP-LONG-1777939222000-1,BTC-USDT-SWAP-LONG-1777939222000-1,1777986320,LIQUIDITY_SWEEP_REVERSAL,RANGE,2.381,-0.102,1,0,0,767.0,,,2,1,YES,LOW,0
u04|LONG|2026-05-05,2026-05-05,LONG,BTC-USDT-SWAP-LONG-1777942210000-6,BTC-USDT-SWAP-LONG-1777942210000-6,,1778011417,SLOW_GRIND_CONTINUATION,RANGE,2.117,0,1,0,0,1138.1,,,1,0,NO,HIGH,0
u05|LONG|2026-05-05,2026-05-05,LONG,BTC-USDT-SWAP-LONG-1777981492000-20,BTC-USDT-SWAP-LONG-1777981492000-20,,1778066239,BREAKOUT_CONTINUATION,TREND_UP,2.359,-0.333,1,0,0,1401.9,,,2,1,NO,HIGH,0
u06|SHORT|2026-05-06,2026-05-06,SHORT,BTC-USDT-SWAP-SHORT-1778064176000-24,BTC-USDT-SWAP-SHORT-1778064176000-24,,1778149701,RANGE_FADE_HIGH_TO_LOW,RANGE,2.097,-0.669,1,0,0,1409.3,,,1,0,NO,HIGH,0
u07|SHORT|2026-05-06,2026-05-06,SHORT,BTC-USDT-SWAP-SHORT-1778066220000-27,BTC-USDT-SWAP-SHORT-1778066220000-27,BTC-USDT-SWAP-SHORT-1778066220000-27,1778126986,LIQUIDITY_SWEEP_REVERSAL,RANGE,2.187,-0.17,1,0,0,958.8,,,1,0,YES,LOW,0
u08|SHORT|2026-05-07,2026-05-07,SHORT,BTC-USDT-SWAP-SHORT-1778112289000-2,BTC-USDT-SWAP-SHORT-1778138721000-13,BTC-USDT-SWAP-SHORT-1778112289000-2,1778167118,ABSORPTION_REVERSAL,RANGE,3.001,-0.443,1,1,1,919.1,597.7,1177.0,3,2,YES,MED,1
u09|SHORT|2026-05-07,2026-05-07,SHORT,BTC-USDT-SWAP-SHORT-1778113324000-4,BTC-USDT-SWAP-SHORT-1778113324000-4,,1778174823,SLOW_GRIND_CONTINUATION,RANGE,2.075,-0.715,1,0,0,1009.4,,,1,0,NO,HIGH,0
u10|SHORT|2026-05-07,2026-05-07,SHORT,BTC-USDT-SWAP-SHORT-1778150798000-16,BTC-USDT-SWAP-SHORT-1778150798000-16,,1778209518,SLOW_GRIND_CONTINUATION,RANGE,2.081,-0.439,1,0,0,966.3,,,1,0,NO,HIGH,0
u11|LONG|2026-05-10,2026-05-10,LONG,BTC-USDT-SWAP-LONG-1778373266000-2,BTC-USDT-SWAP-LONG-1778375198000-4,BTC-USDT-SWAP-LONG-1778375198000-4,1778454005,SLOW_GRIND_CONTINUATION,RANGE,2.301,-0.622,1,0,0,1337.1,,,3,2,YES,MED,0
u12|SHORT|2026-05-12,2026-05-12,SHORT,BTC-USDT-SWAP-SHORT-1778544002000-1,BTC-USDT-SWAP-SHORT-1778544002000-1,,1778604353,SLOW_GRIND_CONTINUATION,RANGE,2.353,-0.08,1,0,0,1001.4,,,3,2,NO,HIGH,0
