zone_id,date,setup_family,live_detectable,skipped_by_model,skip_reason,needed_module,needed_feature,hindsight_risk,MFE,confirmed,triggered
BTC-USDT-SWAP-LONG-1777792892000-12,2026-05-03,SLOW_GRIND_CONTINUATION,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT;prior_60m_not_negative,SLOW_GRIND,low_entropy+pressure,HIGH,2.858,1,1
BTC-USDT-SWAP-LONG-1777796159000-13,2026-05-03,SLOW_GRIND_CONTINUATION,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT;prior_60m_not_negative;buyer_absorption,SLOW_GRIND,low_entropy+pressure,HIGH,2.8,1,1
BTC-USDT-SWAP-LONG-1777772522000-9,2026-05-03,RANGE_FADE_LOW_TO_HIGH,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT,RANGE_FADE,range_pos+reclaim,MED,2.611,1,1
BTC-USDT-SWAP-LONG-1777792252000-11,2026-05-03,FALSE_BREAKOUT_RECLAIM,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT;prior_60m_not_negative;buyer_absorption,FALSE_BREAKOUT_RECLAIM,sweep+reclaim,LOW,2.934,1,1
BTC-USDT-SWAP-LONG-1777853128000-1,2026-05-04,RANGE_FADE_LOW_TO_HIGH,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT;buyer_absorption,RANGE_FADE,range_pos+reclaim,MED,2.935,1,1
BTC-USDT-SWAP-SHORT-1777868198000-11,2026-05-04,UNCLEAR,NO,TD_SHORT/TU_LONG,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,none,n/a,HIGH,2.874,1,1
BTC-USDT-SWAP-SHORT-1777864467000-9,2026-05-04,LIQUIDITY_SWEEP_REVERSAL,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,LIQUIDITY_SWEEP,sweep+reclaim+initiative,LOW,2.611,1,1
BTC-USDT-SWAP-LONG-1777890491000-18,2026-05-04,LIQUIDITY_SWEEP_REVERSAL,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT,LIQUIDITY_SWEEP,sweep+reclaim+initiative,LOW,3.07,1,1
BTC-USDT-SWAP-SHORT-1778138721000-13,2026-05-07,RANGE_FADE_HIGH_TO_LOW,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;prior_60m_not_negative,RANGE_FADE,range_pos+reclaim,MED,3.001,1,1
BTC-USDT-SWAP-SHORT-1778644071000-10,2026-05-13,RANGE_FADE_HIGH_TO_LOW,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,RANGE_FADE,range_pos+reclaim,MED,3.019,1,1
BTC-USDT-SWAP-SHORT-1778636116000-8,2026-05-13,RANGE_FADE_HIGH_TO_LOW,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;prior_60m_not_negative,RANGE_FADE,range_pos+reclaim,MED,2.859,1,1
BTC-USDT-SWAP-SHORT-1778634622000-6,2026-05-13,RANGE_FADE_HIGH_TO_LOW,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,RANGE_FADE,range_pos+reclaim,MED,2.612,1,1
BTC-USDT-SWAP-LONG-1778719751000-4,2026-05-14,SLOW_GRIND_CONTINUATION,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT;prior_60m_not_negative;buyer_absorption,SLOW_GRIND,low_entropy+pressure,HIGH,3.075,1,0
BTC-USDT-SWAP-LONG-1778717941000-2,2026-05-14,SLOW_GRIND_CONTINUATION,YES,TD_SHORT/TU_LONG,not_TREND_DOWN;not_SHORT;prior_60m_not_negative,SLOW_GRIND,low_entropy+pressure,HIGH,3.175,1,0
