date,l2_status,l2_rows,trades_status,trades_rows,crossed_pct,median_spread_bps,quality
2026-05-02,EXISTS,,MISSING,,0.0,0.0128,L2_ONLY
2026-05-03,EXISTS,,EXISTS,,0.0,0.0127,FULL
2026-05-04,EXISTS,,EXISTS,,0.0,0.0127,FULL
2026-05-05,EXISTS,,EXISTS,,0.0,0.0125,FULL
2026-05-06,EXISTS,,EXISTS,,0.0,0.0123,FULL
2026-05-07,EXISTS,,EXISTS,,0.0,0.0123,FULL
2026-05-08,EXISTS,,EXISTS,,0.0,0.0125,FULL
2026-05-09,EXISTS,,EXISTS,,0.0,0.0125,FULL
2026-05-10,EXISTS,,EXISTS,,0.0,0.0124,FULL
2026-05-11,CONVERTED,83908626,CONVERTED,3287356,0.0,0.0122,FULL
2026-05-12,CONVERTED,77444207,CONVERTED,2571268,0.0,0.0122,FULL
2026-05-13,CONVERTED,74173712,CONVERTED,2430682,0.0,0.0124,FULL
2026-05-14,CONVERTED,87262834,CONVERTED,2795483,0.0,0.0126,FULL
2026-05-15,CONVERTED,86494146,CONVERTED,3885236,0.0,0.0123,FULL
2026-05-16,CONVERTED,52753479,CONVERTED,1911637,0.0,0.0126,FULL
2026-05-17,CONVERTED,52131470,CONVERTED,1220153,0.0,0.0128,FULL
2026-05-18,CONVERTED,98973305,CONVERTED,3574518,0.0,0.0129,FULL
2026-05-19,CONVERTED,77573932,CONVERTED,2831388,0.0,0.013,FULL
2026-05-20,CONVERTED,76893465,CONVERTED,2293943,0.0,0.013,FULL
