date,zones,confirmed,triggered,reached_raw,primary_unique,duplicate,failed,long,short,median_1d_move
2026-05-03,16,16,11,0,0,0,11,9,7,-0.1
2026-05-04,22,22,18,5,2,3,13,5,17,1.65
2026-05-05,27,27,16,1,1,0,15,16,11,2.01
2026-05-06,32,32,20,0,0,0,20,14,18,1.35
2026-05-07,27,27,16,1,1,0,15,13,14,-0.85
2026-05-08,24,24,16,0,0,0,16,14,10,-1.63
2026-05-09,11,11,7,0,0,0,7,6,5,0.7
2026-05-10,14,14,8,0,0,0,8,7,7,0.7
2026-05-11,23,22,12,0,0,0,12,10,12,0.4
2026-05-12,17,15,7,0,0,0,7,7,8,-0.46
2026-05-13,29,26,17,3,1,2,14,13,13,-0.89
2026-05-14,29,27,15,3,1,2,12,19,8,-1.46
2026-05-15,21,21,13,9,1,8,4,9,12,1.24
2026-05-16,23,21,13,0,0,0,13,11,10,-2.79
2026-05-17,17,17,9,0,0,0,9,9,8,-1.07
2026-05-18,19,19,12,0,0,0,12,7,12,-1.45
2026-05-19,20,20,12,0,0,0,12,10,10,0.01
2026-05-20,21,21,16,0,0,0,16,10,11,0.35
