zone_id,date,dir,regime,class,true_mfe,true_mae,time_to_2_min,time_to_2_5_min
BTC-USDT-SWAP-SHORT-1777766406000-2,2026-05-03,SHORT,RANGE,MID,0.837,-0.964,,
BTC-USDT-SWAP-SHORT-1777767804000-4,2026-05-03,SHORT,RANGE,MID,0.781,-1.021,,
BTC-USDT-SWAP-SHORT-1777770052000-5,2026-05-03,SHORT,RANGE,MID,0.41,-1.399,,
BTC-USDT-SWAP-LONG-1777767435000-3,2026-05-03,LONG,RANGE,MID,1.021,-0.781,,
BTC-USDT-SWAP-LONG-1777766401000-1,2026-05-03,LONG,RANGE,MID,1.129,-0.675,,
BTC-USDT-SWAP-SHORT-1777770522000-6,2026-05-03,SHORT,RANGE,MID,0.37,-1.439,,
BTC-USDT-SWAP-SHORT-1777771817000-8,2026-05-03,SHORT,RANGE,MID,0.255,-1.556,,
BTC-USDT-SWAP-LONG-1777792892000-12,2026-05-03,LONG,RANGE,STRONG_2_5,2.858,-0.169,1101.9,1142.7
BTC-USDT-SWAP-LONG-1777796159000-13,2026-05-03,LONG,RANGE,STRONG_2_5,2.8,-0.226,1055.3,1096.0
BTC-USDT-SWAP-SHORT-1777776169000-10,2026-05-03,SHORT,RANGE,MID,0.147,-2.948,,
BTC-USDT-SWAP-LONG-1777771459000-7,2026-05-03,LONG,RANGE,MID,1.558,-0.254,,
BTC-USDT-SWAP-LONG-1777772522000-9,2026-05-03,LONG,RANGE,STRONG_2_5,2.611,-0.189,1420.1,1424.5
BTC-USDT-SWAP-LONG-1777792252000-11,2026-05-03,LONG,RANGE,STRONG_2_5,2.934,-0.096,1118.5,1159.5
BTC-USDT-SWAP-SHORT-1777810253000-16,2026-05-03,SHORT,RANGE,MID,0.782,-2.33,,
BTC-USDT-SWAP-LONG-1777808480000-14,2026-05-03,LONG,RANGE,WEAK_WIN_2,2.48,-0.636,878.9,
BTC-USDT-SWAP-LONG-1777809727000-15,2026-05-03,LONG,RANGE,WEAK_WIN_2,2.32,-0.791,858.8,
BTC-USDT-SWAP-SHORT-1777854418000-3,2026-05-04,SHORT,RANGE,MID,0.216,-3.104,,
BTC-USDT-SWAP-SHORT-1777853802000-2,2026-05-04,SHORT,RANGE,MID,0.166,-3.155,,
BTC-USDT-SWAP-LONG-1777853128000-1,2026-05-04,LONG,RANGE,STRONG_2_5,2.935,-0.379,110.8,166.2
BTC-USDT-SWAP-LONG-1777859208000-4,2026-05-04,LONG,RANGE,WEAK_WIN_2,2.306,-0.988,149.0,
BTC-USDT-SWAP-LONG-1777859383000-5,2026-05-04,LONG,RANGE,MID,1.049,-2.204,,
BTC-USDT-SWAP-SHORT-1777860306000-6,2026-05-04,SHORT,RANGE,WEAK_WIN_2,2.154,-1.101,478.9,
BTC-USDT-SWAP-SHORT-1777864927000-10,2026-05-04,SHORT,TREND_UP,WEAK_WIN_2,2.463,-0.959,412.7,
BTC-USDT-SWAP-SHORT-1777862755000-7,2026-05-04,SHORT,TREND_UP,WEAK_WIN_2,2.417,-1.006,448.8,
BTC-USDT-SWAP-LONG-1777863960000-8,2026-05-04,LONG,TREND_UP,MID,0.963,-2.459,,
BTC-USDT-SWAP-SHORT-1777868198000-11,2026-05-04,SHORT,TREND_UP,STRONG_2_5,2.874,-0.767,346.0,357.7
BTC-USDT-SWAP-SHORT-1777872147000-12,2026-05-04,SHORT,RANGE,WEAK_WIN_2,2.316,-1.466,293.0,
BTC-USDT-SWAP-SHORT-1777872403000-13,2026-05-04,SHORT,RANGE,WEAK_WIN_2,2.338,-1.615,276.7,
BTC-USDT-SWAP-SHORT-1777879456000-14,2026-05-04,SHORT,RANGE,WEAK_WIN_2,2.104,-1.858,171.7,
BTC-USDT-SWAP-SHORT-1777881059000-15,2026-05-04,SHORT,RANGE,MID,1.973,-1.995,,
BTC-USDT-SWAP-SHORT-1777881700000-16,2026-05-04,SHORT,RANGE,MID,1.849,-2.124,,
BTC-USDT-SWAP-SHORT-1777881902000-17,2026-05-04,SHORT,RANGE,MID,1.841,-2.132,,
BTC-USDT-SWAP-SHORT-1777864467000-9,2026-05-04,SHORT,TREND_UP,STRONG_2_5,2.611,-0.805,407.1,419.0
BTC-USDT-SWAP-SHORT-1777892670000-20,2026-05-04,SHORT,RANGE,MID,0.626,-3.032,,
BTC-USDT-SWAP-SHORT-1777892028000-19,2026-05-04,SHORT,RANGE,MID,0.611,-3.047,,
BTC-USDT-SWAP-SHORT-1777895246000-21,2026-05-04,SHORT,RANGE,MID,0.442,-3.223,,
BTC-USDT-SWAP-SHORT-1777899955000-22,2026-05-04,SHORT,RANGE,MID,0.622,-3.515,,
BTC-USDT-SWAP-LONG-1777890491000-18,2026-05-04,LONG,RANGE,STRONG_3,3.07,-0.589,257.7,967.7
BTC-USDT-SWAP-LONG-1777939222000-1,2026-05-05,LONG,RANGE,WEAK_WIN_2,2.381,-0.102,767.0,
BTC-USDT-SWAP-LONG-1777940298000-3,2026-05-05,LONG,RANGE,WEAK_WIN_2,2.215,0.0,737.9,
BTC-USDT-SWAP-LONG-1777942210000-6,2026-05-05,LONG,RANGE,WEAK_WIN_2,2.117,0.0,1138.1,
BTC-USDT-SWAP-SHORT-1777940617000-4,2026-05-05,SHORT,RANGE,MID,0.046,-2.439,,
BTC-USDT-SWAP-SHORT-1777939775000-2,2026-05-05,SHORT,RANGE,MID,0.069,-2.415,,
BTC-USDT-SWAP-LONG-1777944926000-9,2026-05-05,LONG,RANGE,MID,1.96,-0.026,,
BTC-USDT-SWAP-LONG-1777944987000-10,2026-05-05,LONG,RANGE,MID,1.96,-0.026,,
BTC-USDT-SWAP-SHORT-1777941741000-5,2026-05-05,SHORT,RANGE,MID,0.03,-2.22,,
BTC-USDT-SWAP-SHORT-1777942598000-7,2026-05-05,SHORT,RANGE,MID,0.105,-2.088,,
BTC-USDT-SWAP-SHORT-1777943740000-8,2026-05-05,SHORT,RANGE,MID,0.12,-1.957,,
BTC-USDT-SWAP-LONG-1777946919000-11,2026-05-05,LONG,RANGE,MID,1.724,-0.106,,
BTC-USDT-SWAP-LONG-1777949650000-14,2026-05-05,LONG,RANGE,MID,1.56,-0.16,,
BTC-USDT-SWAP-LONG-1777948532000-12,2026-05-05,LONG,RANGE,MID,1.561,-0.159,,
BTC-USDT-SWAP-LONG-1777954067000-16,2026-05-05,LONG,RANGE,MID,1.235,-0.386,,
BTC-USDT-SWAP-LONG-1777959232000-17,2026-05-05,LONG,RANGE,MID,0.792,-0.821,,
BTC-USDT-SWAP-LONG-1777960746000-19,2026-05-05,LONG,RANGE,MID,1.04,-0.577,,
BTC-USDT-SWAP-LONG-1777981492000-20,2026-05-05,LONG,TREND_UP,WEAK_WIN_2,2.359,-0.294,1401.9,
BTC-USDT-SWAP-SHORT-1777952593000-15,2026-05-05,SHORT,RANGE,MID,0.46,-1.159,,
BTC-USDT-SWAP-LONG-1777984771000-21,2026-05-05,LONG,TREND_UP,MID,1.919,-0.723,,
BTC-USDT-SWAP-SHORT-1777949227000-13,2026-05-05,SHORT,RANGE,MID,0.505,-1.113,,
BTC-USDT-SWAP-SHORT-1777959677000-18,2026-05-05,SHORT,RANGE,MID,0.49,-1.128,,
BTC-USDT-SWAP-LONG-1777986857000-22,2026-05-05,LONG,TREND_UP,MID,1.443,-1.187,,
BTC-USDT-SWAP-SHORT-1777987824000-23,2026-05-05,SHORT,TREND_UP,MID,0.99,-1.645,,
BTC-USDT-SWAP-SHORT-1777988507000-25,2026-05-05,SHORT,TREND_UP,MID,0.67,-1.973,,
BTC-USDT-SWAP-SHORT-1777988035000-24,2026-05-05,SHORT,TREND_UP,MID,0.883,-1.755,,
BTC-USDT-SWAP-LONG-1777991775000-26,2026-05-05,LONG,RANGE,MID,1.955,-0.688,,
BTC-USDT-SWAP-LONG-1777994476000-27,2026-05-05,LONG,RANGE,MID,1.479,-1.151,,
BTC-USDT-SWAP-SHORT-1778025692000-1,2026-05-06,SHORT,RANGE,MID,0.465,-2.184,,
BTC-USDT-SWAP-SHORT-1778026522000-4,2026-05-06,SHORT,RANGE,MID,0.548,-2.098,,
BTC-USDT-SWAP-SHORT-1778026114000-2,2026-05-06,SHORT,RANGE,MID,0.552,-2.094,,
BTC-USDT-SWAP-LONG-1778026136000-3,2026-05-06,LONG,RANGE,WEAK_WIN_2,2.319,-0.333,648.6,
BTC-USDT-SWAP-LONG-1778030680000-5,2026-05-06,LONG,RANGE,MID,1.927,-0.552,,
