zone_id,date,venue,direction,setup_type,confirmedTs,triggerTs,regime,entry_price,hit_2pct,hit_2_5pct,hit_3pct,MFE,MAE,time_to_2pct_min,time_to_2_5pct_min,time_to_3pct_min,sim_result,outcome_class
BTC-USDT-SWAP-SHORT-1777766406000-2,2026-05-03,OKX_MAY_EARLY,SHORT,DISTRIBUTION,1777766702000,1777766932000,RANGE,78670.0,0,0,0,0.837,-0.964,,,,TIMEOUT,MID
BTC-USDT-SWAP-SHORT-1777767804000-4,2026-05-03,OKX_MAY_EARLY,SHORT,DISTRIBUTION,1777768803000,1777769518000,RANGE,78625.6,0,0,0,0.781,-1.021,,,,TIMEOUT,MID
BTC-USDT-SWAP-SHORT-1777770052000-5,2026-05-03,OKX_MAY_EARLY,SHORT,DISTRIBUTION,1777770522000,1777771332000,RANGE,78332.5,0,0,0,0.41,-1.399,,,,TIMEOUT,MID
BTC-USDT-SWAP-LONG-1777767435000-3,2026-05-03,OKX_MAY_EARLY,LONG,ACCUMULATION,1777768551000,,RANGE,78625.5,0,0,0,1.021,-0.781,,,,TIMEOUT,MID
BTC-USDT-SWAP-LONG-1777766401000-1,2026-05-03,OKX_MAY_EARLY,LONG,ACCUMULATION,1777767435000,,RANGE,78541.9,0,0,0,1.129,-0.675,,,,TIMEOUT,MID
BTC-USDT-SWAP-SHORT-1777770522000-6,2026-05-03,OKX_MAY_EARLY,SHORT,DISTRIBUTION,1777770702000,1777774474000,RANGE,78301.4,0,0,0,0.37,-1.439,,,,TIMEOUT,MID
BTC-USDT-SWAP-SHORT-1777771817000-8,2026-05-03,OKX_MAY_EARLY,SHORT,DISTRIBUTION,1777773130000,1777775052000,RANGE,78211.4,0,0,0,0.255,-1.556,,,,LOSS,MID
BTC-USDT-SWAP-LONG-1777792892000-12,2026-05-03,OKX_MAY_EARLY,LONG,ACCUMULATION,1777793902000,1777795711000,RANGE,78357.7,1,1,0,2.858,-0.169,1101.9,1142.7,,WIN,STRONG_2_5
BTC-USDT-SWAP-LONG-1777796159000-13,2026-05-03,OKX_MAY_EARLY,LONG,ACCUMULATION,1777796700000,1777801154000,RANGE,78402.4,1,1,0,2.8,-0.226,1055.3,1096.0,,WIN,STRONG_2_5
BTC-USDT-SWAP-SHORT-1777776169000-10,2026-05-03,OKX_MAY_EARLY,SHORT,DISTRIBUTION,1777777001000,,RANGE,78126.9,0,0,0,0.147,-2.948,,,,LOSS,MID
BTC-USDT-SWAP-LONG-1777771459000-7,2026-05-03,OKX_MAY_EARLY,LONG,ACCUMULATION,1777771639000,1777808601000,RANGE,78210.1,0,0,0,1.558,-0.254,,,,TIMEOUT,MID
