date,day_regime,net_move_pct,range_pct,realized_vol,zones,confirmed,triggered,reached_2pct_sim,hit_2,hit_2_5,hit_3,long,short,td_short_candidates,td_short_accepted,tu_long_candidates,tu_long_accepted_M6,no_trade_reason
2026-05-03,RANGE,0.22,1.49,0.0034,16,16,11,6,6,4,0,9,7,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-04,RANGE,1.73,3.14,0.0082,22,22,18,11,11,4,1,5,17,0,0,1,0,no_TREND_DOWN_short_setup
2026-05-05,RANGE,1.87,2.66,0.0057,27,27,16,4,4,0,0,16,11,0,0,3,1,
2026-05-06,RANGE,0.18,2.66,0.0063,32,32,20,3,3,0,0,14,18,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-07,RANGE,-2.22,2.78,0.0054,27,27,16,5,5,1,1,13,14,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-08,RANGE,0.34,1.77,0.0055,24,24,16,0,0,0,0,14,10,1,1,0,0,
2026-05-09,RANGE,0.45,1.18,0.0036,11,11,7,0,0,0,0,6,5,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-10,RANGE,1.07,1.24,0.0031,14,14,8,3,3,0,0,7,7,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-11,RANGE,-0.01,2.79,0.0063,22,22,12,0,0,0,0,10,12,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-12,RANGE,-1.39,2.45,0.0051,15,15,7,3,3,0,0,7,8,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-13,RANGE,-1.85,3.25,0.0048,26,26,17,8,8,3,1,13,13,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-14,RANGE,3.11,3.26,0.0051,27,27,15,13,13,12,6,19,8,0,0,3,0,no_TREND_DOWN_short_setup
2026-05-15,RANGE,-2.65,4.34,0.0063,21,21,13,11,11,10,9,9,12,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-16,TREND_DOWN,-1.13,2.49,0.0044,21,21,13,0,0,0,0,11,10,5,2,0,0,
2026-05-17,RANGE,-0.25,1.16,0.0035,17,17,9,2,2,0,0,9,8,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-18,RANGE,-2.08,3.2,0.007,19,19,12,1,1,0,0,7,12,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-19,RANGE,0.16,1.67,0.0058,20,20,12,0,0,0,0,10,10,0,0,0,0,no_TREND_DOWN_short_setup
2026-05-20,RANGE,1.19,1.9,0.0051,21,21,16,0,0,0,0,10,11,0,0,0,0,no_TREND_DOWN_short_setup
