date,zone_id,direction,regime,setup_type,confirmedTs,MFE,time_to_2_min,time_to_2_5_min,time_to_3_min,reclaim_zoneMid,eng_ofi,taker_imb_15m,microprice_5m,thin_path,walls,entropy,prior_move_60m,prior_move_1d,caught_by_models,caught_live,why_skipped
2026-05-03,BTC-USDT-SWAP-LONG-1777792892000-12,LONG,RANGE,ACCUMULATION,1777793902000,2.858,1101.9,1142.7,,1,-0.10564170069715213,0.2902,0.0,0.0965,76,0.3124,0.3101,-0.1253,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-03,BTC-USDT-SWAP-LONG-1777796159000-13,LONG,RANGE,ACCUMULATION,1777796700000,2.8,1055.3,1096.0,,0,0.21948192158800547,-0.1645,0.0,0.0937,91,0.2592,0.0528,-0.0683,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-03,BTC-USDT-SWAP-LONG-1777772522000-9,LONG,RANGE,ACCUMULATION,1777774551000,2.611,1420.1,1424.5,,0,-0.0634953893833828,-0.0217,0.0,0.0999,67,0.3446,-0.2363,-0.3783,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-03,BTC-USDT-SWAP-LONG-1777792252000-11,LONG,RANGE,ACCUMULATION,1777792892000,2.934,1118.5,1159.5,,0,0.16051730291254257,-0.2143,0.0,0.0938,90,0.1728,0.2714,-0.199,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-04,BTC-USDT-SWAP-LONG-1777853128000-1,LONG,RANGE,ACCUMULATION,1777853370000,2.935,110.8,166.2,,0,0.007297746589111729,-0.2757,0.219,0.0917,116,0.349,-0.8316,-0.1564,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-04,BTC-USDT-SWAP-SHORT-1777868198000-11,SHORT,TREND_UP,DISTRIBUTION,1777868442000,2.874,346.0,357.7,,1,0.05344798917762761,-0.1939,-0.357,0.0991,42,0.3785,0.3048,2.9974,,0,gates/cooldown
2026-05-04,BTC-USDT-SWAP-SHORT-1777864467000-9,SHORT,TREND_UP,DISTRIBUTION,1777864869000,2.611,407.1,419.0,,1,0.021622361817146857,-0.2191,1.837,0.0969,62,0.2147,0.4597,2.743,,0,gates/cooldown
2026-05-04,BTC-USDT-SWAP-LONG-1777890491000-18,LONG,RANGE,ACCUMULATION,1777891042000,3.07,257.7,967.7,1142.1,1,-0.02848362208956418,0.0364,12.086,0.1012,40,0.2462,-1.0239,0.5969,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-07,BTC-USDT-SWAP-SHORT-1778138721000-13,SHORT,RANGE,DISTRIBUTION,1778138901000,3.001,470.3,597.7,1177.0,1,-0.04765227722366707,-0.0854,1.525,0.0937,95,0.4542,0.7483,0.062,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-13,BTC-USDT-SWAP-SHORT-1778644071000-10,SHORT,RANGE,DISTRIBUTION,1778644297000,3.019,596.5,717.4,738.2,1,-0.1789320218135511,-0.2418,0.339,0.0929,70,0.3206,0.1849,0.1937,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-13,BTC-USDT-SWAP-SHORT-1778636116000-8,SHORT,RANGE,DISTRIBUTION,1778636803000,2.859,806.4,849.9,,1,-0.21371447412900585,0.0617,-0.001,0.0932,76,0.1737,0.4676,0.0295,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-13,BTC-USDT-SWAP-SHORT-1778634622000-6,SHORT,RANGE,DISTRIBUTION,1778634977000,2.612,854.1,882.0,,1,-0.08020323267352894,-0.3957,2.634,0.0942,66,0.2105,0.4661,-0.6187,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778719751000-4,LONG,RANGE,ACCUMULATION,1778720153000,3.075,895.4,916.2,967.1,0,-0.06344447231335963,-0.216,-0.458,0.0951,62,0.3812,0.3488,-1.3616,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778717941000-2,LONG,RANGE,ACCUMULATION,1778718307000,3.175,875.2,935.7,994.8,0,-0.12499005611216495,-0.0186,0.928,0.0961,71,0.2673,0.1227,-1.4961,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778734797000-11,LONG,RANGE,ACCUMULATION,1778734998000,3.307,593.9,656.8,716.2,0,0.19521099357632482,-0.1255,-0.079,0.094,73,0.2836,0.4505,-2.2004,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778729820000-9,LONG,TREND_DOWN,ACCUMULATION,1778730834000,3.72,655.1,666.4,726.2,0,-0.08290491004020405,-0.1859,-0.083,0.094,74,0.3212,-0.2132,-2.6361,,0,gates/cooldown
2026-05-14,BTC-USDT-SWAP-LONG-1778730834000-10,LONG,TREND_DOWN,ACCUMULATION,1778731232000,3.803,647.8,656.7,719.6,0,0.003787417917804378,-0.2305,1.884,0.0955,71,0.4068,-0.4021,-2.7473,,0,gates/cooldown
2026-05-14,BTC-USDT-SWAP-LONG-1778728364000-6,LONG,RANGE,ACCUMULATION,1778728544000,3.483,699.3,757.2,823.3,1,0.12105074149038668,-0.2462,5.191,0.0966,64,0.4047,-0.4111,-2.1328,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778738417000-14,LONG,RANGE,ACCUMULATION,1778739048000,2.673,590.0,649.1,,1,0.18093410254697467,0.0756,0.107,0.095,71,0.3067,0.5435,-1.4512,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778737507000-13,LONG,RANGE,ACCUMULATION,1778738417000,2.757,599.9,659.3,,0,0.3186830362424694,0.0132,0.638,0.0958,64,0.3181,0.5262,-1.4652,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778746046000-16,LONG,RANGE,ACCUMULATION,1778746767000,2.752,460.7,520.1,,1,-0.1042213548086745,0.2264,1.407,0.0921,78,0.3644,0.1687,-1.4737,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778752277000-17,LONG,RANGE,ACCUMULATION,1778753191000,2.939,347.6,412.5,,1,-0.11951522592276784,0.2733,1.933,0.094,81,0.2417,-0.2153,-1.8869,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778763716000-18,LONG,RANGE,ACCUMULATION,1778764095000,2.773,171.9,231.3,,1,0.21121871344412282,0.118,0.577,0.0923,85,0.4824,0.6156,-0.6135,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-14,BTC-USDT-SWAP-LONG-1778764923000-19,LONG,RANGE,ACCUMULATION,1778765473000,2.631,159.8,211.1,,0,0.35628992187369307,0.0627,0.78,0.0933,85,0.5047,0.6425,-0.2885,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-15,BTC-USDT-SWAP-SHORT-1778804554000-4,SHORT,RANGE,DISTRIBUTION,1778804891000,3.429,782.9,790.2,802.6,0,0.05528503904759601,0.1544,0.239,0.0971,58,0.2925,0.1328,2.4415,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-15,BTC-USDT-SWAP-SHORT-1778803317000-1,SHORT,RANGE,DISTRIBUTION,1778804554000,3.395,788.5,796.0,808.5,0,0.0012135024871453416,0.135,0.854,0.0976,60,0.3243,0.2083,2.4113,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-15,BTC-USDT-SWAP-SHORT-1778805492000-5,SHORT,RANGE,DISTRIBUTION,1778807850000,3.54,732.9,740.7,748.5,0,-0.20778996882842118,0.1625,1.139,0.099,54,0.4024,0.1556,2.4059,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-15,BTC-USDT-SWAP-SHORT-1778811800000-9,SHORT,RANGE,DISTRIBUTION,1778811980000,2.819,672.9,684.7,,1,-0.15541490248046974,0.0321,0.852,0.0947,70,0.4256,-0.6826,1.5884,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
2026-05-15,BTC-USDT-SWAP-SHORT-1778812213000-10,SHORT,RANGE,DISTRIBUTION,1778813346000,3.047,649.1,656.9,671.1,0,-0.2588777838636058,-0.2694,1.347,0.0944,72,0.2911,-0.2447,2.099,,0,not_TREND_DOWN_short_and_not_TREND_UP_long_setup
