comparison,feature,median_pos,median_neg,cohen_d,pearson_r,best_precision,best_recall,best_threshold,direction,n_pos,n_neg,live_valid
strong_live_vs_noise,microprice_5m_bps,6.035,0.658,1.225,0.373,0.375,0.429,10.64,>=,7,97,YES
strong_live_vs_noise,taker_imb_15m,-0.1661,-0.0523,-0.839,-0.177,0.162,0.857,-0.1507,<=,7,99,YES
strong_live_vs_noise,reclaim_zoneMid,1,1,0.822,0.148,0.086,1.0,1,>=,7,99,YES
strong_live_vs_noise,rejection_proof,1,1,0.644,0.116,0.079,1.0,1,>=,7,99,YES
strong_live_vs_noise,opposing_wall_score,64,73,-0.615,-0.135,0.128,0.857,68,<=,7,99,YES
strong_live_vs_noise,local_volatility_180m,0.8361,0.7861,0.592,0.177,0.15,0.429,1.3593,>=,7,99,YES
strong_live_vs_noise,thin_path_score,0.0969,0.0947,0.538,0.123,0.135,0.714,0.0966,>=,7,99,YES
strong_live_vs_noise,prior_move_1d,0.5969,-0.0222,0.422,0.107,0.158,0.429,0.8374,>=,7,99,YES
strong_live_vs_noise,taker_imb_5m,-0.1309,-0.1673,0.409,0.087,0.102,0.714,-0.1446,>=,7,99,YES
strong_live_vs_noise,refill_proxy_eng,0.5003,0.5005,-0.384,-0.075,0.1,0.714,0.5003,<=,7,99,YES
strong_live_vs_noise,wall_persistence_sec,281,286,0.334,0.061,0.109,0.857,285,<=,7,99,YES
strong_live_vs_noise,dist_to_range_mid_pct,0.248,0.263,-0.301,-0.068,0.107,0.857,0.263,<=,7,99,YES
strong_live_vs_noise,supp_refill_ratio_5m,1.0001,1.0007,-0.261,-0.05,0.098,0.571,1.0001,<=,7,99,YES
strong_live_vs_noise,OFI,-0.0285,0.0353,-0.236,-0.053,0.1,0.429,-0.0802,<=,7,99,YES
strong_live_vs_noise,entropy,0.2837,0.3431,-0.233,-0.055,0.15,0.429,0.2462,<=,7,99,YES
strong_live_vs_noise,prior_move_180m,-0.1655,0.0185,0.231,0.072,0.097,0.429,-0.3762,<=,7,99,YES
strong_live_vs_noise,net_flow_5m,4518.77,3057.82,0.196,0.046,0.12,0.429,-923.43,<=,7,99,YES
strong_live_vs_noise,depth_imb_top25,0.4432,0.2361,0.174,0.044,0.1,0.429,0.6331,>=,7,99,YES
strong_live_vs_noise,range_pos,0.609,0.483,0.161,0.037,0.087,0.571,0.609,>=,7,99,YES
strong_live_vs_noise,dist_to_range_low_pct,0.609,0.483,0.161,0.037,0.087,0.571,0.609,>=,7,99,YES
strong_live_vs_noise,dist_to_range_high_pct,0.391,0.517,-0.161,-0.037,0.087,0.571,0.391,<=,7,99,YES
strong_live_vs_noise,sweep_low,0,0,-0.157,-0.037,0.071,0.857,0,<=,7,99,YES
strong_live_vs_noise,prior_move_60m,0.2554,-0.0494,0.098,0.027,0.25,0.429,0.4597,>=,7,99,YES
strong_live_vs_noise,sweep_high,0,0,0.004,0.001,0.066,1.0,1,<=,7,99,YES
hit2_vs_noise,prior_move_1d,0.5969,-0.0222,0.59,0.215,0.31,0.474,0.7257,>=,19,99,YES
hit2_vs_noise,wall_persistence_sec,283,286,0.394,0.112,0.211,0.789,287,<=,19,99,YES
hit2_vs_noise,microprice_5m_bps,2.108,0.658,0.36,0.15,0.238,0.526,1.837,>=,18,97,YES
hit2_vs_noise,OFI,-0.0285,0.0353,-0.351,-0.121,0.22,0.474,-0.0599,<=,19,99,YES
hit2_vs_noise,prior_move_180m,-0.1463,0.0185,0.218,0.085,0.204,0.579,-0.1126,<=,19,99,YES
hit2_vs_noise,local_volatility_180m,0.8199,0.7861,0.217,0.083,0.222,0.842,0.7057,>=,19,99,YES
hit2_vs_noise,rejection_proof,1,1,0.193,0.066,0.172,0.895,1,>=,19,99,YES
hit2_vs_noise,dist_to_range_mid_pct,0.244,0.263,-0.191,-0.065,0.206,0.684,0.263,<=,19,99,YES
hit2_vs_noise,sweep_high,0,0,0.182,0.071,0.161,1.0,1,<=,19,99,YES
