date,confirmedTs,direction,setup_family,entry,MFE,time_to_2_min,time_to_2_5_min,time_to_3_min,regime,range_pos,range_high,range_low,swept_above,swept_below,reclaim,taker_imb_15m,eng_ofi,microprice_5m,thin_path,walls,entropy,prior_60m,prior_180m,prior_1d,skipped_by_live
2026-05-14,1778731232000,LONG,UNCLEAR,78996.7,3.803,647.8,656.7,719.6,TREND_DOWN,0.17,79650.8,78863.0,0,0,0,-0.2305,0.003787417917804378,1.884,0.0955,71,0.4068,-0.4021,-0.7125,-2.7473,current_modules_skip
2026-05-14,1778730834000,LONG,UNCLEAR,79059.6,3.72,655.1,666.4,726.2,TREND_DOWN,0.196,79650.8,78915.5,0,0,0,-0.1859,-0.08290491004020405,-0.083,0.094,74,0.3212,-0.2132,-0.5805,-2.6361,current_modules_skip
2026-05-15,1778807850000,SHORT,RANGE_FADE_HIGH_TO_LOW,81472.7,3.54,732.9,740.7,748.5,RANGE,0.745,81630.5,81012.0,0,0,0,0.1625,-0.20778996882842118,1.139,0.099,54,0.4024,0.1556,0.091,2.4059,current_modules_skip
2026-05-14,1778728544000,LONG,RANGE_FADE_LOW_TO_HIGH,79240.8,3.483,699.3,757.2,823.3,RANGE,0.252,79658.2,79100.0,0,0,1,-0.2462,0.12105074149038668,5.191,0.0966,64,0.4047,-0.4111,-0.3762,-2.1328,current_modules_skip
2026-05-15,1778804891000,SHORT,RANGE_FADE_HIGH_TO_LOW,81378.3,3.429,782.9,790.2,802.6,RANGE,0.716,81523.6,81012.0,0,1,0,0.1544,0.05528503904759601,0.239,0.0971,58,0.2925,0.1328,0.0345,2.4415,current_modules_skip
2026-05-15,1778804554000,SHORT,RANGE_FADE_HIGH_TO_LOW,81350.1,3.395,788.5,796.0,808.5,RANGE,0.661,81523.6,81012.0,0,1,0,0.135,0.0012135024871453416,0.854,0.0976,60,0.3243,0.2083,0.0353,2.4113,current_modules_skip
2026-05-15,1778829461000,SHORT,SLOW_GRIND_CONTINUATION,80693.2,3.335,384.8,393.7,1435.3,RANGE,0.59,81000.0,80251.5,0,0,0,-0.3233,0.12539788928226486,-0.416,0.0957,73,0.3233,0.3485,-0.369,1.2356,current_modules_skip
2026-05-14,1778734998000,LONG,SLOW_GRIND_CONTINUATION,79376.0,3.307,593.9,656.8,716.2,RANGE,0.662,79638.3,78863.0,0,0,0,-0.1255,0.19521099357632482,-0.079,0.094,73,0.2836,0.4505,-0.3292,-2.2004,current_modules_skip
2026-05-15,1778836857000,SHORT,ABSORPTION_REVERSAL,80478.2,3.279,270.1,1289.3,1314.5,RANGE,0.246,80984.8,80313.3,0,0,1,-0.1507,-0.15740782272342857,6.035,0.0979,68,0.4165,-0.1829,0.2052,0.8374,current_modules_skip
2026-05-15,1778839295000,SHORT,UNCLEAR,80420.7,3.21,229.5,1248.7,1274.1,RANGE,0.135,80984.8,80333.0,0,0,0,-0.1056,0.13335693412347338,1.298,0.0946,79,0.3314,-0.227,-0.2104,0.9746,current_modules_skip
2026-05-15,1778838520000,SHORT,SLOW_GRIND_CONTINUATION,80400.1,3.185,242.4,1261.6,1409.3,RANGE,0.049,80984.8,80370.1,0,0,1,0.0166,0.01538314113141114,2.805,0.0989,57,0.2987,-0.2525,-0.1635,1.0277,current_modules_skip
2026-05-14,1778718307000,LONG,SLOW_GRIND_CONTINUATION,79477.4,3.175,875.2,935.7,994.8,RANGE,0.776,79565.9,79170.8,0,0,0,-0.0186,-0.12499005611216495,0.928,0.0961,71,0.2673,0.1227,0.1381,-1.4961,current_modules_skip
2026-05-15,1778850711000,SHORT,SLOW_GRIND_CONTINUATION,80100.0,3.121,1058.4,1081.5,1276.7,RANGE,0.121,80744.5,80011.5,0,0,0,0.1666,-0.10778930631107346,-0.009,0.0941,73,0.4149,-0.501,-0.5774,0.3393,current_modules_skip
2026-05-14,1778720153000,LONG,SLOW_GRIND_CONTINUATION,79554.6,3.075,895.4,916.2,967.1,RANGE,0.787,79658.2,79170.8,0,0,0,-0.216,-0.06344447231335963,-0.458,0.0951,62,0.3812,0.3488,0.1808,-1.3616,current_modules_skip
2026-05-04,1777891042000,LONG,LIQUIDITY_SWEEP_REVERSAL,78887.8,3.07,257.7,967.7,1142.1,RANGE,0.424,79894.9,78146.8,0,1,1,0.0364,-0.02848362208956418,12.086,0.1012,40,0.2462,-1.0239,-1.0511,0.5969,current_modules_skip
2026-05-15,1778813346000,SHORT,SLOW_GRIND_CONTINUATION,81057.7,3.047,649.1,656.9,671.1,RANGE,0.39,81630.5,80691.6,0,1,0,-0.2694,-0.2588777838636058,1.347,0.0944,72,0.2911,-0.2447,-0.0094,2.099,current_modules_skip
2026-05-13,1778644297000,SHORT,RANGE_FADE_HIGH_TO_LOW,81171.8,3.019,596.5,717.4,738.2,RANGE,0.856,81274.3,80564.9,0,0,1,-0.2418,-0.1789320218135511,0.339,0.0929,70,0.3206,0.1849,0.7069,0.1937,current_modules_skip
2026-05-07,1778138901000,SHORT,RANGE_FADE_HIGH_TO_LOW,81566.4,3.001,470.3,597.7,1177.0,RANGE,0.862,81683.9,80830.7,0,0,1,-0.0854,-0.04765227722366707,1.525,0.0937,95,0.4542,0.7483,0.8535,0.062,current_modules_skip
2026-05-14,1778753191000,LONG,RANGE_FADE_LOW_TO_HIGH,79659.9,2.939,347.6,412.5,,RANGE,0.335,79908.0,79535.0,0,0,1,0.2733,-0.11951522592276784,1.933,0.094,81,0.2417,-0.2153,-0.1117,-1.8869,current_modules_skip
2026-05-04,1777853370000,LONG,RANGE_FADE_LOW_TO_HIGH,78444.0,2.935,110.8,166.2,,RANGE,0.069,79428.4,78371.0,0,0,0,-0.2757,0.007297746589111729,0.219,0.0917,116,0.349,-0.8316,-0.6358,-0.1564,current_modules_skip
2026-05-03,1777792892000,LONG,FALSE_BREAKOUT_RECLAIM,78299.9,2.934,1118.5,1159.5,,RANGE,0.729,78406.8,78011.7,0,1,0,-0.2143,0.16051730291254257,0.0,0.0938,90,0.1728,0.2714,0.2021,-0.199,current_modules_skip
2026-05-04,1777868442000,SHORT,UNCLEAR,80459.5,2.874,346.0,357.7,,TREND_UP,0.938,80597.4,78377.1,0,0,1,-0.1939,0.05344798917762761,-0.357,0.0991,42,0.3785,0.3048,2.5917,2.9974,current_modules_skip
2026-05-13,1778636803000,SHORT,RANGE_FADE_HIGH_TO_LOW,81038.0,2.859,806.4,849.9,,RANGE,0.892,81120.0,80363.5,0,0,1,0.0617,-0.21371447412900585,-0.001,0.0932,76,0.1737,0.4676,0.5382,0.0295,current_modules_skip
2026-05-03,1777793902000,LONG,SLOW_GRIND_CONTINUATION,78357.7,2.858,1101.9,1142.7,,RANGE,0.876,78406.8,78011.7,0,0,1,0.2902,-0.10564170069715213,0.0,0.0965,76,0.3124,0.3101,0.24,-0.1253,current_modules_skip
2026-05-15,1778811980000,SHORT,SLOW_GRIND_CONTINUATION,80868.1,2.819,672.9,684.7,,RANGE,0.062,81630.5,80818.0,0,0,1,0.0321,-0.15541490248046974,0.852,0.0947,70,0.4256,-0.6826,-0.4912,1.5884,current_modules_skip
2026-05-03,1777796700000,LONG,SLOW_GRIND_CONTINUATION,78402.4,2.8,1055.3,1096.0,,RANGE,0.86,78466.0,78011.7,0,0,0,-0.1645,0.21948192158800547,0.0,0.0937,91,0.2592,0.0528,0.2809,-0.0683,current_modules_skip
2026-05-14,1778764095000,LONG,UNCLEAR,79788.5,2.773,171.9,231.3,,RANGE,0.9,79855.0,79190.1,0,0,1,0.118,0.21121871344412282,0.577,0.0923,85,0.4824,0.6156,0.2866,-0.6135,current_modules_skip
2026-05-14,1778738417000,LONG,SLOW_GRIND_CONTINUATION,79800.6,2.757,599.9,659.3,,RANGE,0.847,79970.0,78863.0,1,0,0,0.0132,0.3186830362424694,0.638,0.0958,64,0.3181,0.5262,0.6376,-1.4652,current_modules_skip
2026-05-14,1778746767000,LONG,SLOW_GRIND_CONTINUATION,79804.5,2.752,460.7,520.1,,RANGE,0.699,79970.0,79420.8,0,0,1,0.2264,-0.1042213548086745,1.407,0.0921,78,0.3644,0.1687,0.483,-1.4737,current_modules_skip
2026-05-14,1778739048000,LONG,SLOW_GRIND_CONTINUATION,79865.9,2.673,590.0,649.1,,RANGE,0.906,79970.0,78863.0,0,0,1,0.0756,0.18093410254697467,0.107,0.095,71,0.3067,0.5435,0.8408,-1.4512,current_modules_skip
2026-05-14,1778765473000,LONG,UNCLEAR,79899.0,2.631,159.8,211.1,,RANGE,0.83,80043.7,79190.1,0,0,0,0.0627,0.35628992187369307,0.78,0.0933,85,0.5047,0.6425,0.3246,-0.2885,current_modules_skip
2026-05-13,1778634977000,SHORT,RANGE_FADE_HIGH_TO_LOW,80833.0,2.612,854.1,882.0,,RANGE,0.763,80978.7,80363.5,0,0,1,-0.3957,-0.08020323267352894,2.634,0.0942,66,0.2105,0.4661,0.2934,-0.6187,current_modules_skip
2026-05-03,1777774551000,LONG,RANGE_FADE_LOW_TO_HIGH,78159.2,2.611,1420.1,1424.5,,RANGE,0.131,78781.5,78065.1,0,0,0,-0.0217,-0.0634953893833828,0.0,0.0999,67,0.3446,-0.2363,-0.6843,-0.3783,current_modules_skip
2026-05-04,1777864869000,SHORT,LIQUIDITY_SWEEP_REVERSAL,80242.2,2.611,407.1,419.0,,TREND_UP,0.9,80465.4,78225.0,1,0,1,-0.2191,0.021622361817146857,1.837,0.0969,62,0.2147,0.4597,2.3908,2.743,current_modules_skip
