cluster_id,rep_zone_id,date,direction,confirmedTs,entry,outcome_class,hit2,hit2_5,hit3,MFE,MAE,time_to_2_min,time_to_2_5_min,time_to_3_min,zones_in_cluster,duplicate_count,regime,setup_family,is_live_detectable,range_pos,dist_to_range_low_pct,dist_to_range_high_pct,dist_to_range_mid_pct,sweep_high,sweep_low,reclaim_zoneMid,rejection_proof,OFI,taker_imb_15m,taker_imb_5m,microprice_5m_bps,thin_path_score,opposing_wall_score,wall_persistence_sec,refill_proxy_eng,supp_refill_ratio_5m,entropy,prior_move_60m,prior_move_180m,prior_move_1d,local_volatility_180m,net_flow_5m,depth_imb_top25
move|LONG|2026-05-04|1777859402000,BTC-USDT-SWAP-LONG-1777859208000-4,2026-05-04,LONG,1777859402000,78926.8,STRONG_LIVE_DETECTABLE,1,1,0,2.935,-0.988,149.0,,,8,7,RANGE,ABSORPTION_REVERSAL,1,0.66,0.66,0.33999999999999997,0.16000000000000003,0,0,1,1,0.22345678339860772,-0.1661,-0.0986,21.026,0.093,79,285,0.49918844567119036,1.0016,0.2837,0.637,-0.4558,0.8675,1.3593,5562.03,-0.492
move|LONG|2026-05-04|1777891042000,BTC-USDT-SWAP-LONG-1777890491000-18,2026-05-04,LONG,1777891042000,78887.8,STRONG_LIVE_DETECTABLE,1,1,1,3.07,-0.589,257.7,967.7,1142.1,1,0,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.424,0.424,0.5760000000000001,0.07600000000000001,0,1,1,1,-0.02848362208956418,0.0364,-0.1309,12.086,0.1012,40,255,0.4994699857965054,0.9996,0.2462,-1.0239,-1.0511,0.5969,2.2369,-3312.6,-0.832
move|LONG|2026-05-05|1777940298000,BTC-USDT-SWAP-LONG-1777939222000-1,2026-05-05,LONG,1777940298000,79890.0,HIT2_WEAK,1,0,0,2.381,-0.102,767.0,,,2,1,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.281,0.281,0.719,0.21899999999999997,0,1,1,1,0.22005786675363556,0.1701,-0.1202,-0.003,0.0992,64,292,0.503335932227673,1.0024,0.2856,0.0463,-0.1882,1.9499,0.8199,7017.26,0.6151
move|LONG|2026-05-05|1777943129000,BTC-USDT-SWAP-LONG-1777942210000-6,2026-05-05,LONG,1777943129000,80096.8,HIT2_WEAK,1,0,0,2.117,0.0,1138.1,,,1,0,RANGE,SLOW_GRIND_CONTINUATION,0,0.597,0.597,0.403,0.09699999999999998,0,0,1,1,0.10025309048350575,0.1258,-0.5055,-0.702,0.1,55,275,0.5016608520742435,1.0008,0.294,0.1871,-0.2668,2.1694,0.8199,1709.8,0.5239
move|LONG|2026-05-05|1777982126000,BTC-USDT-SWAP-LONG-1777981492000-20,2026-05-05,LONG,1777982126000,80891.6,HIT2_WEAK,1,0,0,2.359,-0.333,1401.9,,,2,1,TREND_UP,BREAKOUT_CONTINUATION,0,0.684,0.684,0.31599999999999995,0.18400000000000005,1,0,0,1,-0.08970661317979632,-0.2693,-0.1942,0.522,0.0946,96,266,0.500036695556092,0.9994,0.3659,0.2218,0.1792,2.6473,0.7419,-1386.49,0.4829
move|LONG|2026-05-10|1778375378000,BTC-USDT-SWAP-LONG-1778375198000-4,2026-05-10,LONG,1778375378000,80609.1,HIT2_WEAK,1,0,0,2.301,-0.622,1310.5,,,3,2,RANGE,RANGE_FADE_LOW_TO_HIGH,1,0.224,0.224,0.776,0.276,0,0,1,0,0.06933615472879512,-0.3597,-0.1069,2.379,0.094,59,287,0.5019551214297833,1.0015,0.3193,-0.0305,-0.1126,0.4701,0.3281,5735.76,-0.4356
move|LONG|2026-05-14|1778728544000,BTC-USDT-SWAP-LONG-1778728364000-6,2026-05-14,LONG,1778728544000,79240.8,STRONG_LIVE_DETECTABLE,1,1,1,3.803,-1.883,699.3,757.2,823.3,14,13,RANGE,RANGE_FADE_LOW_TO_HIGH,1,0.252,0.252,0.748,0.248,0,0,1,1,0.12105074149038668,-0.2462,-0.11,5.191,0.0966,64,290,0.5003327585108927,0.9992,0.4047,-0.4111,-0.3762,-2.1328,0.7057,-923.43,0.4432
move|SHORT|2026-05-04|1777864869000,BTC-USDT-SWAP-SHORT-1777864467000-9,2026-05-04,SHORT,1777864869000,80242.2,STRONG_LIVE_DETECTABLE,1,1,0,2.874,-1.858,407.1,419.0,,8,7,TREND_UP,LIQUIDITY_SWEEP_REVERSAL,1,0.9,0.9,0.09999999999999998,0.4,1,0,1,1,0.021622361817146857,-0.2191,-0.1446,1.837,0.0969,62,281,0.5007295740113639,1.0,0.2147,0.4597,2.3908,2.743,2.864,-2391.04,0.6331
move|SHORT|2026-05-06|1778069456000,BTC-USDT-SWAP-SHORT-1778066220000-27,2026-05-06,SHORT,1778069456000,82326.0,HIT2_WEAK,1,0,0,2.187,-0.17,958.8,,,1,0,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.595,0.595,0.405,0.09499999999999997,1,0,1,0,-0.0069753101198290965,0.2461,-0.0925,3.917,0.09,95,283,0.500027469831965,0.9998,0.3277,-0.0778,0.5549,1.622,1.4333,-9239.25,0.3546
move|SHORT|2026-05-06|1778065143000,BTC-USDT-SWAP-SHORT-1778064176000-24,2026-05-06,SHORT,1778065143000,82250.0,HIT2_WEAK,1,0,0,2.097,-0.669,1409.3,,,1,0,RANGE,RANGE_FADE_HIGH_TO_LOW,0,0.882,0.882,0.118,0.382,0,0,0,1,0.0678316007725867,-0.1855,-0.3255,-0.417,0.0949,81,282,0.503042761333395,1.0013,0.1262,0.3705,1.148,1.8025,1.3521,8487.38,0.9505
move|SHORT|2026-05-07|1778112469000,BTC-USDT-SWAP-SHORT-1778112289000-2,2026-05-07,SHORT,1778112469000,81323.4,STRONG_LIVE_DETECTABLE,1,1,1,3.001,-0.443,919.1,,,3,2,RANGE,ABSORPTION_REVERSAL,1,0.609,0.609,0.391,0.10899999999999999,0,0,1,1,-0.19945729914380708,-0.1651,-0.2511,10.64,0.0976,59,285,0.5022767226723653,1.0032,0.4444,0.2554,-0.1655,0.3757,0.7682,14184.52,0.9385
move|SHORT|2026-05-07|1778114259000,BTC-USDT-SWAP-SHORT-1778113324000-4,2026-05-07,SHORT,1778114259000,81103.8,HIT2_WEAK,1,0,0,2.075,-0.715,1009.4,,,1,0,RANGE,SLOW_GRIND_CONTINUATION,0,0.256,0.256,0.744,0.244,0,0,1,1,-0.3952505434160839,0.067,-0.0934,3.796,0.0947,79,287,0.4988509957053777,1.0017,0.367,-0.2432,-0.4714,0.1246,0.7682,13461.31,0.6217
move|SHORT|2026-05-07|1778151541000,BTC-USDT-SWAP-SHORT-1778150798000-16,2026-05-07,SHORT,1778151541000,80800.5,HIT2_WEAK,1,0,0,2.081,-0.439,966.3,,,1,0,RANGE,SLOW_GRIND_CONTINUATION,0,0.267,0.267,0.733,0.23299999999999998,0,1,1,1,-0.05993031864656197,-0.0924,-0.2228,0.72,0.0932,80,296,0.5017676502715779,1.0059,0.3931,-0.1284,-0.8283,-1.7723,1.2797,5019.51,-0.1625
move|SHORT|2026-05-12|1778544267000,BTC-USDT-SWAP-SHORT-1778544002000-1,2026-05-12,SHORT,1778544267000,81701.7,HIT2_WEAK,1,0,0,2.353,-0.08,1001.4,,,3,2,RANGE,SLOW_GRIND_CONTINUATION,0,0.419,0.419,0.581,0.08100000000000002,0,0,0,1,-0.2858647158141063,-0.1349,-0.1845,,0.0958,71,250,0.5032780943571105,1.0069,0.4319,-0.0346,-0.1463,-0.4554,0.4806,2817.44,0.7346
move|SHORT|2026-05-13|1778634977000,BTC-USDT-SWAP-SHORT-1778634622000-6,2026-05-13,SHORT,1778634977000,80833.0,STRONG_LIVE_DETECTABLE,1,1,1,3.019,-0.863,854.1,882.0,,7,6,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.763,0.763,0.237,0.263,0,0,1,1,-0.08020323267352894,-0.3957,-0.2949,2.634,0.0942,66,260,0.500311624642152,1.0016,0.2105,0.4661,0.2934,-0.6187,0.7655,13919.03,0.8873
move|SHORT|2026-05-15|1778836857000,BTC-USDT-SWAP-SHORT-1778836619000-14,2026-05-15,SHORT,1778836857000,80478.2,STRONG_LIVE_DETECTABLE,1,1,1,3.54,-0.761,270.1,1289.3,1314.5,10,9,RANGE,ABSORPTION_REVERSAL,1,0.246,0.246,0.754,0.254,0,0,1,1,-0.15740782272342857,-0.1507,-0.0903,6.035,0.0979,68,272,0.49906157706032317,1.0001,0.4165,-0.1829,0.2052,0.8374,0.8361,4518.77,0.2377
move|SHORT|2026-05-15|1778850711000,BTC-USDT-SWAP-SHORT-1778850510000-17,2026-05-15,SHORT,1778850711000,80100.0,HINDSIGHT_ONLY,1,1,1,3.121,-0.119,1058.4,1081.5,1276.7,1,0,RANGE,SLOW_GRIND_CONTINUATION,0,0.121,0.121,0.879,0.379,0,0,0,1,-0.10778930631107346,0.1666,-0.1584,-0.009,0.0941,73,275,0.5002836805633949,1.0006,0.4149,-0.501,-0.5774,0.3393,0.9161,2689.64,0.2597
move|SHORT|2026-05-17|1779013342000,BTC-USDT-SWAP-SHORT-1779013159000-12,2026-05-17,SHORT,1779013342000,78406.0,HIT2_WEAK,1,0,0,2.385,-0.235,799.5,,,2,1,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.819,0.819,0.18100000000000005,0.31899999999999995,0,0,1,1,0.03841816682089836,-0.1642,-0.1653,0.71,0.0939,95,295,0.4970062097992124,0.9956,0.2827,0.3917,0.4839,0.7257,0.6404,-11327.81,-0.9615
move|SHORT|2026-05-18|1779109004000,BTC-USDT-SWAP-SHORT-1779108309000-11,2026-05-18,SHORT,1779109004000,77572.5,HIT2_WEAK,1,0,0,2.004,-0.06,153.9,,,1,0,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.824,0.824,0.17600000000000005,0.32399999999999995,1,0,1,1,-0.12724710515693796,0.0485,-0.205,0.107,0.095,74,285,0.4997488380092565,0.9989,0.4238,0.3916,0.8655,-1.0022,1.4847,-7632.57,-0.1228
noise|SHORT|2026-05-03|1777766702000,BTC-USDT-SWAP-SHORT-1777766406000-2,2026-05-03,SHORT,1777766702000,78670.0,NOISE,0,0,0,0.837,-2.948,,,,6,5,RANGE,UNCLEAR,0,0.349,0.349,0.651,0.15100000000000002,0,0,0,1,0.08189825509239329,-0.1034,-0.1857,0.567,0.0998,57,295,0.5013417104610233,1.0141,0.2997,-0.0494,0.2853,0.2728,0.9858,6768.54,0.9026
