date,confirmed_iso,direction,setup_family,entry,result,pnl_after_cost,MFE,time_to_2_min,strong
2026-05-04,2026-05-04T02:49:35+00:00,SHORT,FALSE_BREAKOUT_RECLAIM,80082.2,WIN,1.86,2.417,448.8,0
2026-05-04,2026-05-04T10:37:22+00:00,LONG,LIQUIDITY_SWEEP_REVERSAL,78887.8,WIN,1.86,3.07,257.7,1
2026-05-05,2026-05-05T00:18:18+00:00,LONG,LIQUIDITY_SWEEP_REVERSAL,79890.0,WIN,1.86,2.381,767.0,0
2026-05-05,2026-05-05T04:03:56+00:00,SHORT,LIQUIDITY_SWEEP_REVERSAL,80855.1,TIMEOUT,-0.9375,0.46,,0
2026-05-05,2026-05-05T06:11:48+00:00,SHORT,LIQUIDITY_SWEEP_REVERSAL,80879.9,TIMEOUT,-0.564,0.49,,0
2026-05-05,2026-05-05T13:33:55+00:00,SHORT,FALSE_BREAKOUT_RECLAIM,81460.2,LOSS,-1.64,0.99,,0
2026-05-06,2026-05-06T03:49:59+00:00,SHORT,LIQUIDITY_SWEEP_REVERSAL,81491.5,LOSS,-1.64,0.866,,0
2026-05-06,2026-05-06T10:29:15+00:00,SHORT,RANGE_FADE_HIGH_TO_LOW,82081.8,TIMEOUT,1.73,1.896,,0
2026-05-07,2026-05-07T10:51:42+00:00,LONG,LIQUIDITY_SWEEP_REVERSAL,80810.0,LOSS,-1.64,0.427,,0
2026-05-07,2026-05-07T15:34:30+00:00,LONG,FALSE_BREAKOUT_RECLAIM,79917.5,TIMEOUT,-0.3032,0.754,,0
2026-05-08,2026-05-08T00:16:45+00:00,SHORT,RANGE_FADE_HIGH_TO_LOW,80010.1,TIMEOUT,-0.2396,1.114,,0
2026-05-10,2026-05-10T01:09:38+00:00,LONG,RANGE_FADE_LOW_TO_HIGH,80609.1,WIN,1.86,2.301,1310.5,0
2026-05-10,2026-05-10T15:55:02+00:00,SHORT,RANGE_FADE_HIGH_TO_LOW,81305.9,TIMEOUT,-0.1584,1.326,,0
2026-05-11,2026-05-11T12:56:23+00:00,SHORT,LIQUIDITY_SWEEP_REVERSAL,81019.0,TIMEOUT,0.0646,0.758,,0
2026-05-12,2026-05-12T10:53:38+00:00,LONG,RANGE_FADE_LOW_TO_HIGH,80659.6,TIMEOUT,0.0538,0.819,,0
2026-05-12,2026-05-12T14:18:45+00:00,LONG,LIQUIDITY_SWEEP_REVERSAL,80639.4,LOSS,-1.64,0.844,,0
2026-05-13,2026-05-13T00:07:03+00:00,LONG,RANGE_FADE_LOW_TO_HIGH,80439.9,LOSS,-1.64,1.094,,0
2026-05-13,2026-05-13T01:16:17+00:00,SHORT,RANGE_FADE_HIGH_TO_LOW,80833.0,WIN,1.86,2.612,854.1,1
2026-05-13,2026-05-13T03:51:37+00:00,SHORT,RANGE_FADE_HIGH_TO_LOW,81171.8,WIN,1.86,3.019,596.5,1
2026-05-13,2026-05-13T14:15:58+00:00,LONG,LIQUIDITY_SWEEP_REVERSAL,79715.4,TIMEOUT,0.2156,0.412,,0
2026-05-14,2026-05-14T05:43:06+00:00,SHORT,RANGE_FADE_HIGH_TO_LOW,79660.7,LOSS,-1.64,0.591,,0
2026-05-18,2026-05-18T01:04:03+00:00,LONG,RANGE_FADE_LOW_TO_HIGH,77129.0,TIMEOUT,-0.2529,0.834,,0
2026-05-18,2026-05-18T06:14:58+00:00,LONG,LIQUIDITY_SWEEP_REVERSAL,76850.0,TIMEOUT,0.002,1.201,,0
2026-05-18,2026-05-18T12:56:44+00:00,SHORT,LIQUIDITY_SWEEP_REVERSAL,77572.5,WIN,1.86,2.004,153.9,0
