cluster_id,date,direction,first_zone_id,first_confirmed_ts,target_hit_ts,MFE_best,hit2,hit2_5,hit3,zones_in_cluster,setup_family,regime,range_pos,swept_above,swept_below,reclaim,eng_ofi,taker_imb,microprice_5m,thin_path,walls,entropy,prior_60m,prior_180m,prior_1d
h2|LONG|0,2026-05-03,LONG,BTC-USDT-SWAP-LONG-1777772522000-9,1777774551000,1777859757,2.935,1,1,0,8,RANGE_FADE_LOW_TO_HIGH,RANGE,0.131,0,0,0,-0.0634953893833828,-0.0217,0.0,0.0999,67,0.3446,-0.2363,-0.6843,-0.3783
h2|LONG|1,2026-05-04,LONG,BTC-USDT-SWAP-LONG-1777890491000-18,1777891042000,1777906502,3.07,1,1,1,1,LIQUIDITY_SWEEP_REVERSAL,RANGE,0.424,0,1,1,-0.02848362208956418,0.0364,12.086,0.1012,40,0.2462,-1.0239,-1.0511,0.5969
h2|LONG|2,2026-05-05,LONG,BTC-USDT-SWAP-LONG-1777939222000-1,1777940298000,1777986320,2.381,1,0,0,2,LIQUIDITY_SWEEP_REVERSAL,RANGE,0.281,0,1,1,0.22005786675363556,0.1701,-0.003,0.0992,64,0.2856,0.0463,-0.1882,1.9499
h2|LONG|3,2026-05-05,LONG,BTC-USDT-SWAP-LONG-1777942210000-6,1777943129000,1778011417,2.117,1,0,0,1,SLOW_GRIND_CONTINUATION,RANGE,0.597,0,0,1,0.10025309048350575,0.1258,-0.702,0.1,55,0.294,0.1871,-0.2668,2.1694
h2|LONG|4,2026-05-05,LONG,BTC-USDT-SWAP-LONG-1777981492000-20,1777982126000,1778066239,2.359,1,0,0,2,BREAKOUT_CONTINUATION,TREND_UP,0.684,1,0,0,-0.08970661317979632,-0.2693,0.522,0.0946,96,0.3659,0.2218,0.1792,2.6473
h2|LONG|5,2026-05-10,LONG,BTC-USDT-SWAP-LONG-1778373266000-2,1778373902000,1778454005,2.301,1,0,0,3,SLOW_GRIND_CONTINUATION,RANGE,0.515,0,0,1,0.2003869236058533,0.223,0.779,0.0918,76,0.2152,0.0979,-0.0141,0.6697
h2|LONG|6,2026-05-13,LONG,BTC-USDT-SWAP-LONG-1778686342000-27,1778687211000,1778770100,3.803,1,1,1,14,RANGE_FADE_LOW_TO_HIGH,RANGE,0.062,0,0,0,0.5161824604683809,-0.1279,0.22,0.0966,57,0.3698,-0.5581,-1.1559,-1.2919
h2|SHORT|7,2026-05-04,SHORT,BTC-USDT-SWAP-SHORT-1777860306000-6,1777861274000,1777889203,2.874,1,1,0,8,FALSE_BREAKOUT_RECLAIM,RANGE,0.831,1,0,0,0.4130041297652851,-0.0231,0.008,0.0901,65,0.3823,1.9006,1.2048,2.2693
h2|SHORT|8,2026-05-06,SHORT,BTC-USDT-SWAP-SHORT-1778066220000-27,1778069456000,1778126986,2.187,1,0,0,1,LIQUIDITY_SWEEP_REVERSAL,RANGE,0.595,1,0,1,-0.0069753101198290965,0.2461,3.917,0.09,95,0.3277,-0.0778,0.5549,1.622
h2|SHORT|9,2026-05-06,SHORT,BTC-USDT-SWAP-SHORT-1778064176000-24,1778065143000,1778149701,2.097,1,0,0,1,RANGE_FADE_HIGH_TO_LOW,RANGE,0.882,0,0,0,0.0678316007725867,-0.1855,-0.417,0.0949,81,0.1262,0.3705,1.148,1.8025
h2|SHORT|10,2026-05-07,SHORT,BTC-USDT-SWAP-SHORT-1778112289000-2,1778112469000,1778167118,3.001,1,1,1,3,ABSORPTION_REVERSAL,RANGE,0.609,0,0,1,-0.19945729914380708,-0.1651,10.64,0.0976,59,0.4444,0.2554,-0.1655,0.3757
