zone_id,date,direction,setup_family,unique_move_cluster_id,cluster_size,is_first_in_cluster,is_duplicate,is_first_live_detectable,target_hit_ts,time_from_confirm_to_target_min,MFE,did_any_module_alert_before_cluster_move,could_new_module_alert_before_move,hindsight_risk
BTC-USDT-SWAP-LONG-1777772522000-9,2026-05-03,LONG,RANGE_FADE_LOW_TO_HIGH,2.5|LONG|0,5,YES,NO,NO,1777860023,1420.1,2.611,NO,NO,MED
BTC-USDT-SWAP-LONG-1777792252000-11,2026-05-03,LONG,FALSE_BREAKOUT_RECLAIM,2.5|LONG|0,5,NO,YES,NO,1777862460,1118.5,2.934,NO,NO,LOW
BTC-USDT-SWAP-LONG-1777792892000-12,2026-05-03,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|0,5,NO,YES,NO,1777862461,1101.9,2.858,NO,NO,HIGH
BTC-USDT-SWAP-LONG-1777796159000-13,2026-05-03,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|0,5,NO,YES,NO,1777862461,1055.3,2.8,NO,NO,HIGH
BTC-USDT-SWAP-LONG-1777853128000-1,2026-05-04,LONG,RANGE_FADE_LOW_TO_HIGH,2.5|LONG|0,5,NO,YES,NO,1777863345,110.8,2.935,NO,NO,MED
BTC-USDT-SWAP-LONG-1777890491000-18,2026-05-04,LONG,LIQUIDITY_SWEEP_REVERSAL,2.5|LONG|1,1,YES,NO,YES,1777959568,257.7,3.07,NO,YES,LOW
BTC-USDT-SWAP-LONG-1778717941000-2,2026-05-14,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|2,12,YES,NO,NO,1778777992,875.2,3.175,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778719751000-4,2026-05-14,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|2,12,NO,YES,NO,1778778182,895.4,3.075,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778728364000-6,2026-05-14,LONG,RANGE_FADE_LOW_TO_HIGH,2.5|LONG|2,12,NO,YES,YES,1778777943,699.3,3.483,NO,YES,MED
BTC-USDT-SWAP-LONG-1778729820000-9,2026-05-14,LONG,UNCLEAR,2.5|LONG|2,12,NO,YES,NO,1778774408,655.1,3.72,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778730834000-10,2026-05-14,LONG,UNCLEAR,2.5|LONG|2,12,NO,YES,NO,1778774408,647.8,3.803,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778734797000-11,2026-05-14,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|2,12,NO,YES,NO,1778777970,593.9,3.307,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778737507000-13,2026-05-14,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|2,12,NO,YES,NO,1778777976,599.9,2.757,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778738417000-14,2026-05-14,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|2,12,NO,YES,NO,1778777992,590.0,2.673,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778746046000-16,2026-05-14,LONG,SLOW_GRIND_CONTINUATION,2.5|LONG|2,12,NO,YES,NO,1778777976,460.7,2.752,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778752277000-17,2026-05-14,LONG,RANGE_FADE_LOW_TO_HIGH,2.5|LONG|2,12,NO,YES,NO,1778777943,347.6,2.939,NO,YES,MED
BTC-USDT-SWAP-LONG-1778763716000-18,2026-05-14,LONG,UNCLEAR,2.5|LONG|2,12,NO,YES,NO,1778777971,171.9,2.773,NO,YES,HIGH
BTC-USDT-SWAP-LONG-1778764923000-19,2026-05-14,LONG,UNCLEAR,2.5|LONG|2,12,NO,YES,NO,1778778138,159.8,2.631,NO,YES,HIGH
BTC-USDT-SWAP-SHORT-1777864467000-9,2026-05-04,SHORT,LIQUIDITY_SWEEP_REVERSAL,2.5|SHORT|3,2,YES,NO,YES,1777890008,407.1,2.611,NO,YES,LOW
BTC-USDT-SWAP-SHORT-1777868198000-11,2026-05-04,SHORT,UNCLEAR,2.5|SHORT|3,2,NO,YES,NO,1777889903,346.0,2.874,NO,YES,HIGH
BTC-USDT-SWAP-SHORT-1778138721000-13,2026-05-07,SHORT,RANGE_FADE_HIGH_TO_LOW,2.5|SHORT|4,1,YES,NO,YES,1778209518,470.3,3.001,NO,YES,MED
BTC-USDT-SWAP-SHORT-1778634622000-6,2026-05-13,SHORT,RANGE_FADE_HIGH_TO_LOW,2.5|SHORT|5,3,YES,NO,YES,1778687896,854.1,2.612,NO,YES,MED
BTC-USDT-SWAP-SHORT-1778636116000-8,2026-05-13,SHORT,RANGE_FADE_HIGH_TO_LOW,2.5|SHORT|5,3,NO,YES,NO,1778687796,806.4,2.859,NO,YES,MED
BTC-USDT-SWAP-SHORT-1778644071000-10,2026-05-13,SHORT,RANGE_FADE_HIGH_TO_LOW,2.5|SHORT|5,3,NO,YES,NO,1778688590,596.5,3.019,NO,YES,MED
BTC-USDT-SWAP-SHORT-1778803317000-1,2026-05-15,SHORT,RANGE_FADE_HIGH_TO_LOW,2.5|SHORT|6,6,YES,NO,NO,1778853062,788.5,3.395,NO,NO,MED
BTC-USDT-SWAP-SHORT-1778804554000-4,2026-05-15,SHORT,RANGE_FADE_HIGH_TO_LOW,2.5|SHORT|6,6,NO,YES,NO,1778853050,782.9,3.429,NO,NO,MED
BTC-USDT-SWAP-SHORT-1778805492000-5,2026-05-15,SHORT,RANGE_FADE_HIGH_TO_LOW,2.5|SHORT|6,6,NO,YES,NO,1778852761,732.9,3.54,NO,NO,MED
BTC-USDT-SWAP-SHORT-1778811800000-9,2026-05-15,SHORT,SLOW_GRIND_CONTINUATION,2.5|SHORT|6,6,NO,YES,NO,1778853064,672.9,2.819,NO,NO,HIGH
BTC-USDT-SWAP-SHORT-1778812213000-10,2026-05-15,SHORT,SLOW_GRIND_CONTINUATION,2.5|SHORT|6,6,NO,YES,NO,1778853611,649.1,3.047,NO,NO,HIGH
BTC-USDT-SWAP-SHORT-1778828865000-13,2026-05-15,SHORT,SLOW_GRIND_CONTINUATION,2.5|SHORT|6,6,NO,YES,NO,1778915581,384.8,3.335,NO,NO,HIGH
BTC-USDT-SWAP-SHORT-1778836619000-14,2026-05-15,SHORT,ABSORPTION_REVERSAL,2.5|SHORT|7,4,YES,NO,YES,1778915729,270.1,3.279,NO,YES,MED
BTC-USDT-SWAP-SHORT-1778838340000-15,2026-05-15,SHORT,SLOW_GRIND_CONTINUATION,2.5|SHORT|7,4,NO,YES,NO,1778923080,242.4,3.185,NO,YES,HIGH
