metric,value
zones_total,24
zones_triggered,16
zones_reached,0
hit_rate_among_triggered,0
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,8788
suppressions_active_open,6419
suppressions_active_triggered,2265
suppressions_cooldown,104
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,0
unique_reached_moves,0
duplicate_move_credits,0
raw_triggered_hit_rate,0
unique_move_adjusted_hit_rate,0
status_RESOLVED_FAILED,16
direction_SHORT,11
status_INVALIDATED,7
direction_LONG,13
status_EXPIRED,1
