date,l2_status,l2_rows,l2_snapshots,trades_status,trades_rows,crossed_pct,median_spread_bps,quality
2026-05-21,CONVERTED,79966271,96,MISSING,,0.338,0.0129,L2_ONLY
2026-05-22,CONVERTED,77191647,96,CONVERTED,2029852,0.29,0.0129,FULL
2026-05-23,CONVERTED,67987778,96,CONVERTED,2412532,0.452,0.0132,FULL
2026-05-24,CONVERTED,59854620,96,CONVERTED,2182860,0.49,0.013,FULL
2026-05-25,CONVERTED,63897968,96,CONVERTED,1888760,0.338,0.013,FULL
2026-05-26,CONVERTED,83510098,96,CONVERTED,2656040,0.474,0.0129,FULL
2026-05-27,CONVERTED,84140624,96,CONVERTED,2588467,0.084,0.0132,FULL
2026-05-28,CONVERTED,91797826,96,CONVERTED,3446177,0.453,0.0134,FULL
2026-05-29,CONVERTED,80014345,96,CONVERTED,2454527,0.405,0.0136,FULL
2026-05-30,CONVERTED,41377960,96,CONVERTED,1489021,0.103,0.0136,FULL
