zone_id,venue,date,result,pnl_after_cost,MFE,MAE,hit_2pct,hit_2_5pct,time_to_2pct_min
BTCUSDT-SHORT-1779494198000-27,BINANCE_MAY,2026-05-22,LOSS,-1.64,1.728,-2.541,0,0,
BTC-USDT-SWAP-SHORT-1772725116000-23,OKX_MARCH,2026-03-05,WIN,1.86,3.93,-0.97,1,1,1297.4
BTC-USDT-SWAP-SHORT-1772733604000-28,OKX_MARCH,2026-03-05,WIN,1.86,4.262,-1.197,1,1,1194.3
BTC-USDT-SWAP-SHORT-1772775639000-16,OKX_MARCH,2026-03-06,WIN,1.86,3.575,-1.339,1,1,496.5
BTC-USDT-SWAP-SHORT-1772798800000-24,OKX_MARCH,2026-03-06,WIN,1.86,3.813,-0.346,1,1,105.9
BTC-USDT-SWAP-SHORT-1772842770000-2,OKX_MARCH,2026-03-07,TIMEOUT,1.1304,1.901,-0.511,0,0,
BTC-USDT-SWAP-SHORT-1772850673000-5,OKX_MARCH,2026-03-07,TIMEOUT,1.2009,1.745,-0.671,0,0,
BTC-USDT-SWAP-SHORT-1773842088000-33,OKX_MARCH,2026-03-18,WIN,1.86,4.07,-0.037,1,1,359.3
BTC-USDT-SWAP-SHORT-1773844720000-37,OKX_MARCH,2026-03-18,WIN,1.86,3.612,-0.477,1,1,988.0
BTC-USDT-SWAP-SHORT-1773893807000-13,OKX_MARCH,2026-03-19,WIN,1.86,2.912,-0.163,1,1,510.9
BTC-USDT-SWAP-SHORT-1773918340000-27,OKX_MARCH,2026-03-19,LOSS,-1.64,1.925,-1.768,0,0,
BTC-USDT-SWAP-SHORT-1774168425000-13,OKX_MARCH,2026-03-22,TIMEOUT,-0.0249,1.926,-0.513,0,0,
BTC-USDT-SWAP-SHORT-1774179056000-18,OKX_MARCH,2026-03-22,LOSS,-1.64,1.655,-4.452,0,0,
BTC-USDT-SWAP-SHORT-1774374739000-32,OKX_MARCH,2026-03-24,LOSS,-1.64,0.013,-4.331,0,0,
BTC-USDT-SWAP-SHORT-1774518380000-20,OKX_MARCH,2026-03-26,WIN,1.86,2.831,-0.523,1,1,1346.8
BTC-USDT-SWAP-SHORT-1774538608000-32,OKX_MARCH,2026-03-26,WIN,1.86,4.76,-0.711,1,1,1028.5
BTC-USDT-SWAP-SHORT-1774573301000-5,OKX_MARCH,2026-03-27,WIN,1.86,4.82,-0.487,1,1,561.8
BTC-USDT-SWAP-SHORT-1774600484000-17,OKX_MARCH,2026-03-27,WIN,1.86,3.285,-0.428,1,1,132.4
BTC-USDT-SWAP-SHORT-1774663765000-9,OKX_MARCH,2026-03-28,LOSS,-1.64,0.039,-2.002,0,0,
BTC-USDT-SWAP-SHORT-1779496099000-5,OKX_MAY,2026-05-23,LOSS,-1.64,1.579,-2.638,0,0,
BTC-USDT-SWAP-SHORT-1779522337000-10,OKX_MAY,2026-05-23,LOSS,-1.64,0.282,-3.849,0,0,
BTC-USDT-SWAP-SHORT-1779889073000-21,OKX_MAY,2026-05-27,WIN,1.86,2.894,-0.842,1,1,840.0
BTC-USDT-SWAP-SHORT-1779941576000-12,OKX_MAY,2026-05-28,TIMEOUT,-0.3587,0.72,-1.154,0,0,
BTC-USDT-SWAP-SHORT-1779963338000-23,OKX_MAY,2026-05-28,TIMEOUT,-0.5057,1.061,-0.808,0,0,
