zone_id,venue,date,final_shadow_decision,hybrid_decision,m4_thin_decision,target_hit,stop_hit,timeout,result,pnl_after_cost,MFE,MAE,hit_2pct,hit_2_5pct,hit_3pct,time_to_2pct_min,time_to_2_5pct_min,time_to_3pct_min
BTCUSDT-LONG-1779321652000-1,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.2807,0.739,-1.173,0,0,0,,,
BTCUSDT-SHORT-1779323772000-3,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.1819,1.284,-0.625,0,0,0,,,
BTCUSDT-LONG-1779323426000-2,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.4912,0.64,-1.27,0,0,0,,,
BTCUSDT-LONG-1779325402000-5,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.3,-1.603,0,0,0,,,
BTCUSDT-SHORT-1779325094000-4,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.6095,1.687,-0.214,0,0,0,,,
BTCUSDT-SHORT-1779326244000-6,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.371,1.461,-0.445,0,0,0,,,
BTCUSDT-SHORT-1779326363000-7,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.371,1.461,-0.445,0,0,0,,,
BTCUSDT-LONG-1779326696000-8,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.7024,0.456,-1.45,0,0,0,,,
BTCUSDT-LONG-1779331245000-9,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.295,-1.608,0,0,0,,,
BTCUSDT-SHORT-1779342844000-10,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.1516,1.351,-0.556,0,0,0,,,
