regime,window_id,ts_iso,families,outcome,ret_30m,ret_60m,ret_180m,ret_360m,ret_1d,price_vs_sma180_pct,cvd_30m,cvd_60m,cvd_180m,net_taker_60m,up_from_recent_low_pct,range_180m_pct,bounce_danger,chop,uptrend,seller_control,downside_background,allow_GATE_1_STRICT_DOWNTREND,allow_GATE_2_SELLER_CONTROL,allow_GATE_3_NO_UPTREND,allow_GATE_4_NO_CHOP,allow_GATE_5_COMBINED
TREND_DOWN,DOWN_NOV,2025-11-19T08:02:00+00:00,ACTIVE_MARKDOWN_EVENT|SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.524,0.833,0.738,-0.642,,0.891,-18066.0,16117.8,68880.2,22470.29,0.833,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:03:00+00:00,SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.331,0.8,0.734,-0.609,,0.875,-23627.5,14330.9,69488.8,16117.8,0.8,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:04:00+00:00,ACTIVE_MARKDOWN_EVENT|SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.348,0.742,0.741,-0.645,,0.895,-22103.7,12789.0,68031.0,14330.92,0.742,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:05:00+00:00,SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.364,0.677,0.775,-0.861,,0.871,-23993.9,4010.4,66856.0,12789.0,0.68,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:06:00+00:00,ACTIVE_MARKDOWN_EVENT|CVD_BREAKDOWN_EVENT|SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.254,0.534,0.614,-0.916,,0.786,-28198.3,-2155.6,58644.6,4010.43,0.6,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:09:00+00:00,CVD_BREAKDOWN_EVENT,WIN,0.028,0.525,0.797,-1.008,,0.794,-47555.6,-20310.3,73390.4,-14056.88,0.622,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:11:00+00:00,ACTIVE_MARKDOWN_EVENT|SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.028,0.586,0.772,-1.057,,0.775,-48747.2,-19616.3,69847.9,-16376.62,0.612,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:12:00+00:00,ACTIVE_MARKDOWN_EVENT|CVD_BREAKDOWN_EVENT|SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.051,0.476,0.768,-1.086,,0.748,-50389.0,-26449.4,66548.7,-19616.33,0.59,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:13:00+00:00,ACTIVE_MARKDOWN_EVENT|SELL_PRESSURE_NO_ABSORPTION_EVENT,WIN,0.014,0.465,0.801,-1.068,,0.778,-53555.8,-34759.6,63442.8,-26449.37,0.624,2.145,False,False,True,False,False,False,False,False,True,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:15:00+00:00,CVD_BREAKDOWN_EVENT,WIN,-0.02,0.533,0.805,-1.075,,0.773,-49409.9,-39241.9,60994.5,-37000.7,0.628,2.145,False,False,True,False,False,False,False,False,True,False
