name,n_trades,alerts_per_day,wins,losses,timeouts,winrate_pct,expectancy_pct_per_trade,profit_factor,max_consecutive_losses,long_n,long_expectancy_pct,short_n,short_expectancy_pct,primary_kept,primary_total,primary_recall_pct,target_wins_kept,stop_losses_kept,stop_loss_reduction_pct
BASELINE_filtered_only,19,1.583,5,3,11,26.32,0.6423,3.68,3,10,0.7827,9,0.4864,3,7,42.86,5,3,0.0
top1_per_day,12,1.0,5,2,5,41.67,0.9821,5.363,1,6,1.0073,6,0.957,3,7,42.86,5,2,33.33
top2_per_day,19,1.583,5,3,11,26.32,0.6423,3.68,3,10,0.7827,9,0.4864,3,7,42.86,5,3,0.0
top3_per_day,19,1.583,5,3,11,26.32,0.6423,3.68,3,10,0.7827,9,0.4864,3,7,42.86,5,3,0.0
top1_per_dir_per_day,15,1.25,5,2,8,33.33,0.8258,5.024,2,8,0.8658,7,0.78,3,7,42.86,5,2,33.33
fast_le_30m,14,1.167,4,2,8,28.57,0.8406,5.25,2,8,0.7009,6,1.0269,3,7,42.86,4,2,33.33
fast_le_45m,16,1.333,4,2,10,25.0,0.6865,4.091,3,8,0.7009,8,0.6722,3,7,42.86,4,2,33.33
prior_move_le_0.10pct,16,1.333,4,3,9,25.0,0.4667,2.64,4,9,0.726,7,0.1334,2,7,28.57,4,3,0.0
prior_move_le_0.20pct,17,1.417,4,3,10,23.53,0.5153,2.924,3,10,0.7827,7,0.1334,2,7,28.57,4,3,0.0
prior_move_le_0.30pct,18,1.5,5,3,10,27.78,0.5978,3.363,3,10,0.7827,8,0.3668,3,7,42.86,5,3,0.0
break_pct_le_0.1,8,0.667,2,1,5,25.0,0.5947,3.303,3,4,0.9559,4,0.2335,1,7,14.29,2,1,66.67
break_pct_le_0.15,9,0.75,2,2,5,22.22,0.4175,2.226,3,4,0.9559,5,-0.0132,1,7,14.29,2,2,33.33
break_pct_le_0.2,11,0.917,3,2,6,27.27,0.6546,3.349,2,4,0.9559,7,0.4825,2,7,28.57,3,2,33.33
flow_mult_ge_1.5,6,0.5,1,2,3,16.67,-0.0009,0.998,4,2,-0.0112,4,0.0043,1,7,14.29,1,2,33.33
flow_mult_ge_2.0,3,0.25,1,2,0,33.33,0.0,1.0,2,1,-1.0,2,0.5,1,7,14.29,1,2,33.33
flow_mult_ge_3.0,2,0.167,0,2,0,0.0,-1.0,0.0,2,1,-1.0,1,-1.0,0,7,0.0,0,2,33.33
score_trigger_ge_0.98,11,0.917,3,2,6,27.27,0.4091,2.301,2,6,0.7611,5,-0.0132,1,7,14.29,3,2,33.33
score_trigger_ge_0.99,8,0.667,2,2,4,25.0,0.372,1.998,3,4,0.7397,4,0.0043,1,7,14.29,2,2,33.33
ofi_align_ge_0.05,12,1.0,3,2,7,25.0,0.5716,3.228,2,7,0.7713,5,0.292,1,7,14.29,3,2,33.33
ofi_align_ge_0.1,8,0.667,1,2,5,12.5,0.3651,2.045,3,4,0.2948,4,0.4355,1,7,14.29,1,2,33.33
ofi_align_ge_0.2,3,0.25,0,1,2,0.0,0.1161,1.318,2,2,-0.5474,1,1.4432,0,7,0.0,0,1,66.67
combo_fast30_AND_top2_per_day,14,1.167,4,2,8,28.57,0.8406,5.25,2,8,0.7009,6,1.0269,3,7,42.86,4,2,33.33
combo_fast45_AND_top1_per_dir_per_day,14,1.167,4,2,8,28.57,0.6982,3.817,3,7,0.6163,7,0.78,3,7,42.86,4,2,33.33
combo_flow_ge_2_AND_top2_per_day,3,0.25,1,2,0,33.33,0.0,1.0,2,1,-1.0,2,0.5,1,7,14.29,1,2,33.33
combo_break_le_0.15_AND_top2_per_day,9,0.75,2,2,5,22.22,0.4175,2.226,3,4,0.9559,5,-0.0132,1,7,14.29,2,2,33.33
combo_score_trigger_ge_0.99_AND_top1_per_day,8,0.667,2,2,4,25.0,0.372,1.998,3,4,0.7397,4,0.0043,1,7,14.29,2,2,33.33
combo_fast30_AND_break_le_0.15,7,0.583,2,2,3,28.57,0.6488,2.99,2,4,0.9559,3,0.2394,1,7,14.29,2,2,33.33
combo_fast30_AND_flow_ge_2_AND_top2_per_day,3,0.25,1,2,0,33.33,0.0,1.0,2,1,-1.0,2,0.5,1,7,14.29,1,2,33.33
combo_ofi_align_ge_0.1_AND_top2_per_day,8,0.667,1,2,5,12.5,0.3651,2.045,3,4,0.2948,4,0.4355,1,7,14.29,1,2,33.33
