name,n_trades,alerts_per_day,wins,losses,timeouts,winrate_pct,expectancy_pct_per_trade,profit_factor,max_consecutive_losses,long_n,long_expectancy_pct,short_n,short_expectancy_pct,primary_kept,primary_total,primary_recall_pct,target_wins_kept,stop_losses_kept,stop_loss_reduction_pct
BASELINE_filtered_only,41,2.929,11,24,6,26.83,-0.0497,0.92,6,23,0.0885,18,-0.2263,12,15,80.0,11,24,0.0
top1_per_day,14,1.0,4,9,1,28.57,-0.1266,0.819,4,7,-0.1429,7,-0.1103,8,15,53.33,4,9,62.5
top2_per_day,25,1.786,7,16,2,28.0,-0.083,0.876,5,13,0.1538,12,-0.3395,10,15,66.67,7,16,33.33
top3_per_day,32,2.286,9,19,4,28.12,-0.0316,0.95,6,17,0.1801,15,-0.2716,11,15,73.33,9,19,20.83
top1_per_dir_per_day,22,1.571,6,15,1,27.27,-0.1714,0.761,6,11,0.0909,11,-0.4338,10,15,66.67,6,15,37.5
fast_le_30m,34,2.429,8,20,6,23.53,-0.1188,0.812,7,19,0.1598,15,-0.4716,9,15,60.0,8,20,16.67
fast_le_45m,39,2.786,10,23,6,25.64,-0.0779,0.876,6,23,0.0885,16,-0.3171,11,15,73.33,10,23,4.17
prior_move_le_0.10pct,34,2.429,9,20,5,26.47,-0.0559,0.911,5,20,0.2086,14,-0.4339,8,15,53.33,9,20,16.67
prior_move_le_0.20pct,39,2.786,11,22,6,28.21,-0.001,0.998,5,22,0.138,17,-0.1808,11,15,73.33,11,22,8.33
prior_move_le_0.30pct,39,2.786,11,22,6,28.21,-0.001,0.998,5,22,0.138,17,-0.1808,11,15,73.33,11,22,8.33
break_pct_le_0.1,19,1.357,5,13,1,26.32,-0.1212,0.823,4,8,-0.25,11,-0.0275,9,15,60.0,5,13,45.83
break_pct_le_0.15,24,1.714,6,16,2,25.0,-0.1698,0.757,5,10,-0.1,14,-0.2196,9,15,60.0,6,16,33.33
break_pct_le_0.2,30,2.143,8,20,2,26.67,-0.1358,0.804,6,14,0.0714,16,-0.3171,11,15,73.33,8,20,16.67
flow_mult_ge_1.5,24,1.714,6,15,3,25.0,-0.1275,0.806,5,10,0.4712,14,-0.5551,7,15,46.67,6,15,37.5
flow_mult_ge_2.0,12,0.857,3,7,2,25.0,-0.1384,0.786,3,5,0.4223,7,-0.5388,4,15,26.67,3,7,70.83
flow_mult_ge_3.0,6,0.429,2,4,0,33.33,0.0,1.0,2,3,0.0,3,0.0,4,15,26.67,2,4,83.33
score_trigger_ge_0.98,27,1.929,8,16,3,29.63,-0.0022,0.996,4,12,0.476,15,-0.3848,9,15,60.0,8,16,33.33
score_trigger_ge_0.99,25,1.786,6,16,3,24.0,-0.1624,0.758,6,11,0.3375,14,-0.5551,7,15,46.67,6,16,33.33
ofi_align_ge_0.05,27,1.929,5,17,5,18.52,-0.2829,0.586,6,15,-0.2377,12,-0.3395,7,15,46.67,5,17,29.17
ofi_align_ge_0.1,23,1.643,4,15,4,17.39,-0.337,0.529,6,12,-0.1397,11,-0.5522,5,15,33.33,4,15,37.5
ofi_align_ge_0.2,11,0.786,2,7,2,18.18,-0.2218,0.658,5,8,-0.1422,3,-0.434,2,15,13.33,2,7,70.83
combo_fast30_AND_top2_per_day,23,1.643,5,15,3,21.74,-0.2441,0.656,6,12,0.0384,11,-0.5522,8,15,53.33,5,15,37.5
combo_fast45_AND_top1_per_dir_per_day,21,1.5,5,14,2,23.81,-0.194,0.724,5,11,0.0909,10,-0.5074,9,15,60.0,5,14,41.67
combo_flow_ge_2_AND_top2_per_day,11,0.786,2,7,2,18.18,-0.3328,0.529,4,4,0.0279,7,-0.5388,4,15,26.67,2,7,70.83
combo_break_le_0.15_AND_top2_per_day,22,1.571,5,15,2,22.73,-0.2306,0.678,5,8,-0.25,14,-0.2196,9,15,60.0,5,15,37.5
combo_score_trigger_ge_0.99_AND_top1_per_day,12,0.857,3,8,1,25.0,-0.231,0.684,5,6,0.0,6,-0.462,5,15,33.33,3,8,66.67
combo_fast30_AND_break_le_0.15,22,1.571,5,15,2,22.73,-0.2306,0.678,4,10,-0.1,12,-0.3395,8,15,53.33,5,15,37.5
combo_fast30_AND_flow_ge_2_AND_top2_per_day,10,0.714,2,6,2,20.0,-0.266,0.607,4,4,0.0279,6,-0.462,4,15,26.67,2,6,75.0
combo_ofi_align_ge_0.1_AND_top2_per_day,17,1.214,3,12,2,17.65,-0.3573,0.524,5,8,-0.25,9,-0.4527,5,15,33.33,3,12,50.0
