selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_n,h2_n,h1_precision_pct,h2_precision_pct,long_n,short_n,long_precision_pct,short_precision_pct
S::cand_pressure_against_ge_0.5579,single,835,28.793,101,109,12.1,82.11,13.05,411,424,13.38,10.85,403,432,12.41,11.81
S::cand_pressure_against_ge_0.5579::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,35.71,26.67,16,13,31.25,30.77
S::cand_pressure_against_ge_0.5579::top2,single+top2,58,2.0,14,2,24.14,11.38,3.45,28,30,25.0,23.33,31,27,32.26,14.81
S::cand_pressure_against_le_0.5579,single,209,7.207,22,30,10.53,17.89,14.35,95,114,12.63,8.77,106,103,12.26,8.74
S::cand_pressure_against_le_0.5579::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,14,15,14.29,20.0,12,17,16.67,17.65
S::cand_pressure_against_le_0.5579::top2,single+top2,57,1.966,11,5,19.3,8.94,8.77,28,29,25.0,13.79,30,27,23.33,14.81
S::cand_pressure_against_ge_0.572,single,627,21.621,78,86,12.44,63.41,13.72,310,317,14.52,10.41,307,320,13.36,11.56
S::cand_pressure_against_ge_0.572::top1,single+top1,29,1.0,7,0,24.14,5.69,0.0,14,15,28.57,20.0,15,14,33.33,14.29
S::cand_pressure_against_ge_0.572::top2,single+top2,58,2.0,12,2,20.69,9.76,3.45,28,30,25.0,16.67,30,28,33.33,7.14
S::cand_pressure_against_le_0.572,single,417,14.379,45,53,10.79,36.59,12.71,196,221,11.22,10.41,201,216,10.95,10.65
S::cand_pressure_against_le_0.572::top1,single+top1,29,1.0,6,3,20.69,4.88,10.34,14,15,14.29,26.67,14,15,14.29,26.67
S::cand_pressure_against_le_0.572::top2,single+top2,58,2.0,12,4,20.69,9.76,6.9,28,30,25.0,16.67,27,31,22.22,19.35
S::cand_pressure_against_ge_0.5921,single,418,14.414,54,58,12.92,43.9,13.88,202,216,15.35,10.65,204,214,14.71,11.21
S::cand_pressure_against_ge_0.5921::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,35.71,13.33,17,12,35.29,8.33
S::cand_pressure_against_ge_0.5921::top2,single+top2,58,2.0,13,1,22.41,10.57,1.72,28,30,25.0,20.0,31,27,35.48,7.41
S::cand_pressure_against_le_0.5921,single,626,21.586,70,81,11.18,56.91,12.94,305,321,12.13,10.28,304,322,10.86,11.49
S::cand_pressure_against_le_0.5921::top1,single+top1,29,1.0,7,2,24.14,5.69,6.9,14,15,21.43,26.67,16,13,18.75,30.77
S::cand_pressure_against_le_0.5921::top2,single+top2,58,2.0,10,6,17.24,8.13,10.34,28,30,17.86,16.67,27,31,14.81,19.35
S::cand_pressure_against_ge_0.6289,single,210,7.241,29,23,13.81,23.58,10.95,91,119,16.48,11.76,97,113,16.49,11.5
S::cand_pressure_against_ge_0.6289::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,35.71,13.33,14,15,42.86,6.67
S::cand_pressure_against_ge_0.6289::top2,single+top2,58,2.0,14,2,24.14,11.38,3.45,28,30,28.57,20.0,27,31,37.04,12.9
S::cand_pressure_against_le_0.6289,single,834,28.759,94,116,11.27,76.42,13.91,416,418,12.5,10.05,411,423,11.44,11.11
S::cand_pressure_against_le_0.6289::top1,single+top1,29,1.0,8,1,27.59,6.5,3.45,14,15,28.57,26.67,17,12,23.53,33.33
S::cand_pressure_against_le_0.6289::top2,single+top2,58,2.0,13,4,22.41,10.57,6.9,28,30,25.0,20.0,32,26,21.88,23.08
S::cand_buy_pressure_ge_0.558,single,429,14.793,51,58,11.89,41.46,13.52,210,219,11.43,12.33,0,429,,11.89
S::cand_buy_pressure_ge_0.558::top1,single+top1,29,1.0,4,0,13.79,3.25,0.0,14,15,14.29,13.33,0,29,,13.79
S::cand_buy_pressure_ge_0.558::top2,single+top2,58,2.0,9,2,15.52,7.32,3.45,28,30,14.29,16.67,0,58,,15.52
S::cand_buy_pressure_le_0.558,single,107,3.69,9,16,8.41,7.32,14.95,50,57,8.0,8.77,0,107,,8.41
S::cand_buy_pressure_le_0.558::top1,single+top1,27,0.931,4,2,14.81,3.25,7.41,13,14,15.38,14.29,0,27,,14.81
S::cand_buy_pressure_le_0.558::top2,single+top2,52,1.793,6,7,11.54,4.88,13.46,25,27,16.0,7.41,0,52,,11.54
S::cand_buy_pressure_ge_0.5716,single,322,11.103,38,49,11.8,30.89,15.22,157,165,12.74,10.91,0,322,,11.8
S::cand_buy_pressure_ge_0.5716::top1,single+top1,29,1.0,3,0,10.34,2.44,0.0,14,15,14.29,6.67,0,29,,10.34
S::cand_buy_pressure_ge_0.5716::top2,single+top2,58,2.0,10,2,17.24,8.13,3.45,28,30,21.43,13.33,0,58,,17.24
S::cand_buy_pressure_le_0.5716,single,214,7.379,23,25,10.75,18.7,11.68,103,111,8.74,12.61,0,214,,10.75
S::cand_buy_pressure_le_0.5716::top1,single+top1,29,1.0,6,3,20.69,4.88,10.34,14,15,21.43,20.0,0,29,,20.69
S::cand_buy_pressure_le_0.5716::top2,single+top2,57,1.966,9,7,15.79,7.32,12.28,28,29,14.29,17.24,0,57,,15.79
S::cand_buy_pressure_ge_0.592,single,215,7.414,25,32,11.63,20.33,14.88,105,110,13.33,10.0,0,215,,11.63
S::cand_buy_pressure_ge_0.592::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,21.43,20.0,0,29,,20.69
S::cand_buy_pressure_ge_0.592::top2,single+top2,58,2.0,9,2,15.52,7.32,3.45,28,30,21.43,10.0,0,58,,15.52
S::cand_buy_pressure_le_0.592,single,321,11.069,36,42,11.21,29.27,13.08,155,166,9.68,12.65,0,321,,11.21
S::cand_buy_pressure_le_0.592::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,14.29,26.67,0,29,,20.69
S::cand_buy_pressure_le_0.592::top2,single+top2,58,2.0,9,5,15.52,7.32,8.62,28,30,14.29,16.67,0,58,,15.52
S::cand_buy_pressure_ge_0.6299,single,108,3.724,13,11,12.04,10.57,10.19,49,59,12.24,11.86,0,108,,12.04
S::cand_buy_pressure_ge_0.6299::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,14,15,14.29,20.0,0,29,,17.24
S::cand_buy_pressure_ge_0.6299::top2,single+top2,56,1.931,8,4,14.29,6.5,7.14,26,30,15.38,13.33,0,56,,14.29
S::cand_buy_pressure_le_0.6299,single,428,14.759,47,64,10.98,38.21,14.95,211,217,10.43,11.52,0,428,,10.98
S::cand_buy_pressure_le_0.6299::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,14.29,26.67,0,29,,20.69
S::cand_buy_pressure_le_0.6299::top2,single+top2,58,2.0,9,5,15.52,7.32,8.62,28,30,14.29,16.67,0,58,,15.52
S::cand_sell_pressure_ge_0.5575,single,407,14.034,50,50,12.29,40.65,12.29,201,206,15.42,9.22,407,0,12.29,
S::cand_sell_pressure_ge_0.5575::top1,single+top1,29,1.0,8,2,27.59,6.5,6.9,14,15,35.71,20.0,29,0,27.59,
S::cand_sell_pressure_ge_0.5575::top2,single+top2,58,2.0,13,4,22.41,10.57,6.9,28,30,32.14,13.33,58,0,22.41,
S::cand_sell_pressure_le_0.5575,single,102,3.517,13,15,12.75,10.57,14.71,46,56,17.39,8.93,102,0,12.75,
S::cand_sell_pressure_le_0.5575::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,35.71,13.33,29,0,24.14,
S::cand_sell_pressure_le_0.5575::top2,single+top2,53,1.828,10,2,18.87,8.13,3.77,26,27,26.92,11.11,53,0,18.87,
S::cand_sell_pressure_ge_0.5726,single,306,10.552,41,37,13.4,33.33,12.09,153,153,16.99,9.8,306,0,13.4,
S::cand_sell_pressure_ge_0.5726::top1,single+top1,29,1.0,8,1,27.59,6.5,3.45,14,15,35.71,20.0,29,0,27.59,
S::cand_sell_pressure_ge_0.5726::top2,single+top2,58,2.0,14,3,24.14,11.38,5.17,28,30,32.14,16.67,58,0,24.14,
S::cand_sell_pressure_le_0.5726,single,203,7.0,22,28,10.84,17.89,13.79,95,108,13.68,8.33,203,0,10.84,
S::cand_sell_pressure_le_0.5726::top1,single+top1,29,1.0,6,4,20.69,4.88,13.79,14,15,28.57,13.33,29,0,20.69,
S::cand_sell_pressure_le_0.5726::top2,single+top2,58,2.0,10,7,17.24,8.13,12.07,28,30,28.57,6.67,58,0,17.24,
S::cand_sell_pressure_ge_0.5923,single,204,7.034,30,26,14.71,24.39,12.75,98,106,18.37,11.32,204,0,14.71,
S::cand_sell_pressure_ge_0.5923::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,42.86,20.0,29,0,31.03,
S::cand_sell_pressure_ge_0.5923::top2,single+top2,58,2.0,14,2,24.14,11.38,3.45,28,30,32.14,16.67,58,0,24.14,
S::cand_sell_pressure_le_0.5923,single,305,10.517,33,39,10.82,26.83,12.79,150,155,14.0,7.74,305,0,10.82,
S::cand_sell_pressure_le_0.5923::top1,single+top1,29,1.0,5,4,17.24,4.07,13.79,14,15,28.57,6.67,29,0,17.24,
S::cand_sell_pressure_le_0.5923::top2,single+top2,58,2.0,8,7,13.79,6.5,12.07,28,30,21.43,6.67,58,0,13.79,
S::cand_sell_pressure_ge_0.6243,single,103,3.552,17,12,16.5,13.82,11.65,45,58,22.22,12.07,103,0,16.5,
S::cand_sell_pressure_ge_0.6243::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,28.57,20.0,29,0,24.14,
S::cand_sell_pressure_ge_0.6243::top2,single+top2,55,1.897,11,6,20.0,8.94,10.91,25,30,28.0,13.33,55,0,20.0,
S::cand_sell_pressure_le_0.6243,single,406,14.0,46,54,11.33,37.4,13.3,203,203,14.29,8.37,406,0,11.33,
S::cand_sell_pressure_le_0.6243::top1,single+top1,29,1.0,6,2,20.69,4.88,6.9,14,15,35.71,6.67,29,0,20.69,
S::cand_sell_pressure_le_0.6243::top2,single+top2,58,2.0,11,5,18.97,8.94,8.62,28,30,28.57,10.0,58,0,18.97,
S::cand_absorb_score_ge_0.6119,single,835,28.793,100,110,11.98,81.3,13.17,412,423,13.35,10.64,401,434,12.47,11.52
