selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses,long_n,long_winrate_pct,short_n,short_winrate_pct
S::score_trigger_ge_1.0::top1,delay_10m,stop_1.5,29,18,62.07,0.7628,0.6228,2.592,2.172,18.0624,3,16,62.5,13,61.54
S::score_trigger_ge_1.0::top1,delay_10m,stop_1.5,29,18,62.07,0.7628,0.6228,2.592,2.172,18.0624,3,16,62.5,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+is_during_correct_move_FALSE::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+is_during_correct_move_FALSE::top1,delay_10m,stop_1.5,29,17,58.62,0.7092,0.5692,2.48,2.071,16.5059,3,16,56.25,13,61.54
S::score_trigger_ge_1.0::top1,delay_5m,stop_1.5,29,17,58.62,0.8338,0.6938,3.139,2.584,20.12,3,16,56.25,13,61.54
S::score_trigger_ge_1.0::top1,delay_5m,stop_1.5,29,17,58.62,0.8338,0.6938,3.139,2.584,20.12,3,16,56.25,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
P::score_trigger_ge_1.0+is_during_correct_move_FALSE::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
P::score_trigger_ge_1.0+is_during_correct_move_FALSE::top1,delay_5m,stop_1.5,29,16,55.17,0.7837,0.6437,3.01,2.469,18.668,3,16,50.0,13,61.54
S::score_trigger_ge_1.0::top1,confirmed,stop_1.25,29,16,55.17,0.7158,0.5758,2.712,2.222,16.6985,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,confirmed,stop_1.5,29,16,55.17,0.6382,0.4982,2.288,1.908,14.4485,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,delay_5m,stop_1.25,29,16,55.17,0.7222,0.5822,2.737,2.229,16.8845,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,delay_10m,stop_1.25,29,16,55.17,0.6163,0.4763,2.263,1.866,13.8124,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,delay_15m,stop_1.5,29,16,55.17,0.6054,0.4654,2.144,1.793,13.4967,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,confirmed,stop_1.25,29,16,55.17,0.7158,0.5758,2.712,2.222,16.6985,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,confirmed,stop_1.5,29,16,55.17,0.6382,0.4982,2.288,1.908,14.4485,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,delay_5m,stop_1.25,29,16,55.17,0.7222,0.5822,2.737,2.229,16.8845,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,delay_10m,stop_1.25,29,16,55.17,0.6163,0.4763,2.263,1.866,13.8124,3,16,56.25,13,53.85
S::score_trigger_ge_1.0::top1,delay_15m,stop_1.5,29,16,55.17,0.6054,0.4654,2.144,1.793,13.4967,3,16,56.25,13,53.85
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,confirmed,stop_1.25,29,15,51.72,0.6757,0.5357,2.616,2.137,15.535,3,16,50.0,13,53.85
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,confirmed,stop_1.5,29,15,51.72,0.5981,0.4581,2.207,1.835,13.285,3,16,50.0,13,53.85
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_5m,stop_1.25,29,15,51.72,0.6722,0.5322,2.617,2.124,15.4325,3,16,50.0,13,53.85
P::score_trigger_ge_1.0+pct_correct_move_already_done_le_0.0::top1,delay_10m,stop_1.25,29,15,51.72,0.5626,0.4226,2.153,1.769,12.2559,3,16,50.0,13,53.85
